marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,16414143,R3W4P9UBGNGH1U,B00YL0EKWE,852431543,LG G4 Case Hard Transparent Slim Clear Cover for LG G4,Wireless,2,1,3,N,Y,Looks good  functions meh,2 issues  -  Once I turned on the circle apps and installed this case   my battery drained twice as fast as usual.  I ended up turning off the circle apps  which kind of makes the case just a case...  with a hole in it.  Second   the wireless charging doesn't work.  I have a Motorola 360 watch and a Qi charging pad. The watch charges fine but this case doesn't. But hey  it looks nice.,2015-08-31
US,50800750,R15V54KBMTQWAY,B00XK95RPQ,516894650,Selfie Stick Fiblastiq&trade; Extendable Wireless Bluetooth Selfie Stick with built-in Bluetooth Adjustable Phone Holder,Wireless,4,0,0,N,N,A fun little gadget,I’m embarrassed to admit that until recently  I have had a very negative opinion about “selfie sticks” aka “monopods” aka “narcissticks.” But having reviewed a number of them recently  they’re growing on me. This one is pretty nice and simple to set up and with easy instructions illustrated on the back of the box (not sure why some reviewers have stated that there are no instructions when they are clearly printed on the box unless they received different packaging than I did). Once assembled  the pairing via bluetooth and use of the stick are easy and intuitive. Nothing to it.<br /><br />The stick comes with a USB charging cable but arrived with a charge so you can use it immediately  though it’s probably a good idea to charge it right away so that you have no interruption of use out of the box. Make sure the stick is switched to on (it will light up) and extend your stick to the length you desire up to about a yard’s length and snap away.<br /><br />The phone clamp held the phone sturdily so I wasn’t worried about it slipping out. But the longer you extend the stick  the harder it is to maneuver.  But that will happen with any stick and is not specific to this one in particular.<br /><br />Two things that could improve this: 1) add the option to clamp this in portrait orientation instead of having to try and hold the stick at the portrait angle  which makes it feel unstable; 2) add the opening for a tripod so that this can be used to sit upright on a table for skyping and facetime eliminating the need to hold the phone up with your hand  causing fatigue.<br /><br />But other than that  this is a nice quality monopod for a variety of picture taking opportunities.<br /><br />I received a sample in exchange for my honest opinion.,2015-08-31
US,15184378,RY8I449HNXSVF,B00SXRXUKO,984297154,Tribe AB40 Water Resistant Sports Armband with Key Holder for 4.7-Inch iPhone 6S/6/5/5S/5C  Galaxy S4 + Screen Protector - Dark Pink,Wireless,5,0,0,N,Y,Five Stars,Fits iPhone 6 well,2015-08-31
US,10203548,R18TLJYCKJFLSR,B009V5X1CE,279912704,RAVPower® Element 10400mAh External Battery USB Portable Charger (Dual USB Outputs  Ultra Compact Design)  Travel Charger for iPhone 6 iPhone 6 plus iPhone 5  5S  5C  4S  4  iPad Air  4  3  2  Mini 2 (Apple adapters not included); Samsung Galaxy S5  S4  S3  S2  Note 3  Note 2; HTC One  EVO  Thunderbolt  Incredible  Droid DNA  Motorola ATRIX  Droid  Moto X  Google Glass  Nexus 4  Nexus 5  Nexus 7 ,Wireless,5,0,0,N,Y,Great charger,Great charger.  I easily get 3+ charges on a Samsung Galaxy 3.  Works perfectly for camping trips or long days on the boat.,2015-08-31
US,488280,R1NK26SWS53B8Q,B00D93OVF0,662791300,Fosmon Micro USB Value Pack Bundle for Samsung Galaxy Exhilarate - Includes Home / Travel Charger  Car / Vehicle Charger and USB Cable,Wireless,5,0,0,N,Y,Five Stars,Great for the price :-),2015-08-31
US,13334021,R11LOHEDYJALTN,B00XVGJMDQ,421688488,iPhone 6 Case  Vofolen Impact Resistant Protective Shell iPhone 6S Wallet Cover Shockproof Rubber Bumper Case Anti-scratches Hard Cover Skin Card Slot Holder for iPhone 6 6S,Wireless,5,0,0,N,Y,Five Stars,Great Case  better customer service!,2015-08-31
US,27520697,R3ALQVQB2P9LA7,B00KQW1X1C,554285554,Nokia Lumia 630 RM-978 White Factory Unlocked - International Version No Warranty,Wireless,4,0,0,N,Y,Four Stars,Easy to set up and use. Great functions for the price,2015-08-31
US,48086021,R3MWLXLNO21PDQ,B00IP1MQNK,488006702,Lumsing 10400mah external battery,Wireless,5,0,0,N,Y,Five Stars,Works great,2015-08-31
US,12738196,R2L15IS24CX0LI,B00HVORET8,389677711,iPhone 5S Battery Case - iPhone 5 Battery Case   Maxboost Atomic S [MFI Certified] External Protective Battery Charging Case Power Bank Charger All Versions of Apple iPhone 5/5S [Juice Battery Pack],Wireless,5,0,0,N,Y,So far so good,So far so good. It is essentially identical to the one it replaced from another company. That one stopped working after 7 months so I am a bit apprehensive about this one.,2015-08-31
US,15867807,R1DJ8976WPWVZU,B00HX3G6J6,299654876,HTC One M8 Screen Protector  Skinomi TechSkin Full Coverage Screen Protector for HTC One M8 Clear HD Anti-Bubble Film,Wireless,3,0,0,N,Y,seems durable but these are always harder to get on ...,seems durable but these are always harder to get on right than people make them out to be. also send to curl up at the edges after a while. with today's smartphones  you hardly need screen protectors anyway.,2015-08-31
