B0007L8A7M,[0.8481],[5],"[[quality, great, sound, price]]","[[quality great sound price, 0.8481, 5]]"
B000EGQS5G,"[0.5719, 0.5994, 0.4404, 0.2023]","[5, 5, 5, 4]","[[product, fast, delivery], [work, fit, fine, say], [delivery, work, perfect], [perfect, replacement, lost, thank]]","[[product fast delivery, 0.5719, 5], [work fit fine say, 0.5994, 5], [delivery work perfect, 0.4404, 5], [perfect replacement lost thank, 0.2023, 4]]"
B000PC62O6,[-0.34],[4],"[[item, work, describe, get, picture, audio, file, dirt, att, quickfire, computer]]","[[item work describe get picture audio file dirt att quickfire computer, -0.34, 4]]"
B000WUH5LU,[0.8689],[5],"[[installation, kit, ive, get, price, range, wire, quality, use]]","[[installation kit ive get price range wire quality use, 0.8689, 5]]"
B001BNYUJ2,[0.7184],[5],"[[speaker, worth, money]]","[[speaker worth money, 0.7184, 5]]"
B002GHBX9W,[0.6249],[4],"[[box, price]]","[[box price, 0.6249, 4]]"
B002U8573K,[0.7476],[3],"[[order, speaker, come, work, red, red, cadillac, excite, install, buy, cadillac, coupe, deville, think, red, advertise, come, contact, seller, tell, change, color, solid, dont, picture, show, excite, come, dont, want, wait, return, get, red, one, dont, appreciate, false, advertisement]]","[[order speaker come work red red cadillac excite install buy cadillac coupe deville think red advertise come contact seller tell change color solid dont picture show excite come dont want wait return get red one dont appreciate false advertisement, 0.7476, 3]]"
B003I0UA5E,[0.4951],[3],"[[work, month, volume, get, tube, get, moisture, way, clean]]","[[work month volume get tube get moisture way clean, 0.4951, 3]]"
B003P17X8I,"[0.4404, 0.296]","[5, 3]","[[ship, box, label, plug, car, watt, vdc, vdc, power, inverter, modify, sine, wavebr, br, inverter, step, buck, dcdc, converter, word, inverter, reserve, device, convert, dc, ac, output, ac, perfroms, dcdc, buck, converter, seem, ok], [product]]","[[ship box label plug car watt vdc vdc power inverter modify sine wavebr br inverter step buck dcdc converter word inverter reserve device convert dc ac output ac perfroms dcdc buck converter seem ok, 0.4404, 5], [product, 0.296, 3]]"
B003ZWVVIU,[-0.2057],[1],[[work]],"[[work, -0.2057, 1]]"
B004HGUVPM,[0.4404],[5],[[quality]],"[[quality, 0.4404, 5]]"
B004L62KIO,[0.4404],[5],[[product]],"[[product, 0.4404, 5]]"
B005HS5MKS,"[0.8519, 0.7987, 0.6369]","[5, 5, 5]","[[battery, life, great, use, die, range, walk, end, driveway, get, mail, im, call, yards, sound, quality, crystal, clear, light, weight, dont, get, ear, fatigue, wear], [headset, sleek, sharp, youll, love]]","[[battery life great use die range walk end driveway get mail im call yards sound quality crystal clear light weight dont get ear fatigue wear, 0.8519, 5], [headset sleek sharp youll love, 0.7987, 5], [, 0.6369, 5]]"
B006671H0S,[0.4754],[5],[[nice]],"[[nice, 0.4754, 5]]"
B006V6F9BC,[0.5574],[5],"[[arrive, packaging, way, schedule, havent, use, backup]]","[[arrive packaging way schedule havent use backup, 0.5574, 5]]"
B008ALV0V4,"[0.8321, 0.0, 0.8225, -0.6908, 0.5356, 0.4404, 0.611, 0.4247, 0.8586, 0.9625, 0.4404, 0.4678, 0.8972, 0.0, 0.9885, 0.4005, 0.9135, 0.7003, 0.3597, 0.5859, 0.3612, 0.9661, 0.6249, 0.5046, 0.7506]","[5, 5, 3, 1, 4, 5, 2, 5, 5, 5, 4, 4, 4, 5, 5, 5, 4, 4, 5, 4, 5, 5, 5, 1, 5]","[[phone, mount, sticky, m, tape, file, claim, get, refund, seller, product], [work, great, iphone, husband, iphone, mount, great, grip, straightforward, cradle, device, get, phone, piece, hardware, leave, access, wire, entry, button, use, everyday, hold], [hold, cell, phone, car, dash, use, gps, function, buy, husband, daughter, love, better, past, price, model, adjusts, size, cell, phone, hand, place, holder, dash], [secure], [look, product, go, couldnt, happier, use, attach, windshield, mophie, juice, pack, iphone, hold, move, car, please, suction, move], [cell, phone, holder, hold, textured, dash, move, take, make, stick, move, part, gear, flimsy, piece, repeat, use, put, phone, hand, done, practice, con, keep, phone, edge, dash, get, power, cord], [buy, hubby, use, stand, suppose, release, gel, somethingorother, car, get, gel, adhere, phone, nobody, business, leave, nasty, find, thought, hey, price, love, kid, use, theyre, drive, mount, put, windshield, hubby, put, dashboard, easy, put, phone, easy, take, phone, size, fine, hold, pain, backside, remove, get, use, love, review, help, decide, get, think, help, someone, else, day], [get, license, need, use, phone, direction, purchase, see, review, fasten, pad, drive, bridge, flew, dash, board, hit, face, knock, glass, see, startle, drift, lane, cause, accident, saftey, hazard, recommend], [turn, disappointment, bought, please, windshield, position, phone, day, order, arm, snap, write, repair, replace, know, thats, get, go, cheap, hop, bit, longer], [option, ramx, system, thats], [install, shipping, handling, cost, item, hence, star], [product, iphone, fit, ive, buy, go, buy, daughter, perfect, use, gps, mention, safer, im, give, star, dash, cause, unit, fall, believe, fix, round, disk, adheres, dashboard, suction, cup, underneath, work, better], [buy, like, phone, clamp, work, avant, w, thick, case, held, phone, base, stuck, runner, odyssey, secure, day, day, sun, base, lose, suction, keep, fall, try, wash, suction, cup, dash, instruction, base, hold, hour, get, stick, im, guess, hot, sun, bake, gooeyness, suction, cup], [use, time, work, issue, sits, hot, california, sun, come, unattached, fall, suppose, expect, inside, car, park, sun, degree], [item, come, sooner, expect, describe, use, christmas, present], [graet, buy, put, stay, didnt, fell, day], [attach, dash, hold, phone, test, drive, concern, phone, continue, use], [buy, look, version, use, time, drive], [awesome, buy], [hold, samsung, fine, base, attache, leave, attach, day, sunny, afternoon, come, thing, doesnt, fall, drive, doesnt, get, hot, guess, overall, cute, piece, job], [nice, unit, stick, windshield, hold, phone, happy], [pricequality, work, expect], [look, job, hold, time, price, fit, phone, list], [gadget, work, use, glue, refuse, use, ruin, dash, finish]]","[[phone mount sticky m tape file claim get refund seller product, 0.8321, 5], [work great iphone husband iphone mount great grip straightforward cradle device get phone piece hardware leave access wire entry button use everyday hold, 0.0, 5], [hold cell phone car dash use gps function buy husband daughter love better past price model adjusts size cell phone hand place holder dash, 0.8225, 3], [secure, -0.6908, 1], [look product go couldnt happier use attach windshield mophie juice pack iphone hold move car please suction move, 0.5356, 4], [cell phone holder hold textured dash move take make stick move part gear flimsy piece repeat use put phone hand done practice con keep phone edge dash get power cord, 0.4404, 5], [buy hubby use stand suppose release gel somethingorother car get gel adhere phone nobody business leave nasty find thought hey price love kid use theyre drive mount put windshield hubby put dashboard easy put phone easy take phone size fine hold pain backside remove get use love review help decide get think help someone else day, 0.611, 2], [get license need use phone direction purchase see review fasten pad drive bridge flew dash board hit face knock glass see startle drift lane cause accident saftey hazard recommend, 0.4247, 5], [turn disappointment bought please windshield position phone day order arm snap write repair replace know thats get go cheap hop bit longer, 0.8586, 5], [option ramx system thats, 0.9625, 5], [install shipping handling cost item hence star, 0.4404, 4], [product iphone fit ive buy go buy daughter perfect use gps mention safer im give star dash cause unit fall believe fix round disk adheres dashboard suction cup underneath work better, 0.4678, 4], [buy like phone clamp work avant w thick case held phone base stuck runner odyssey secure day day sun base lose suction keep fall try wash suction cup dash instruction base hold hour get stick im guess hot sun bake gooeyness suction cup, 0.8972, 4], [use time work issue sits hot california sun come unattached fall suppose expect inside car park sun degree, 0.0, 5], [item come sooner expect describe use christmas present, 0.9885, 5], [graet buy put stay didnt fell day, 0.4005, 5], [attach dash hold phone test drive concern phone continue use, 0.9135, 4], [buy look version use time drive, 0.7003, 4], [awesome buy, 0.3597, 5], [hold samsung fine base attache leave attach day sunny afternoon come thing doesnt fall drive doesnt get hot guess overall cute piece job, 0.5859, 4], [nice unit stick windshield hold phone happy, 0.3612, 5], [pricequality work expect, 0.9661, 5], [look job hold time price fit phone list, 0.6249, 5], [gadget work use glue refuse use ruin dash finish, 0.5046, 1], [, 0.7506, 5]]"
