B00022OBOC,[0.6956],[5],"[[price, sound]]","[[price sound, 0.6956, 5]]"
B0014C0IAK,[0.25],[2],"[[stop, work, us, expect, motorola]]","[[stop work us expect motorola, 0.25, 2]]"
B0015FTZQO,[0.2732],[5],"[[work, item, expect]]","[[work item expect, 0.2732, 5]]"
B001RNNX76,[0.7096],[5],"[[work, great, replacement, speaker, need, blown, dodge, ram, front, speaker, job, fine]]","[[work great replacement speaker need blown dodge ram front speaker job fine, 0.7096, 5]]"
B002WC17Q0,[0.6369],[5],[[form]],"[[form, 0.6369, 5]]"
B004E10KGU,"[0.0, 0.3444]","[4, 1]","[[buy, year, model, discontinue, present, opportunity, pick, jambox, good, price, purchase, bluetooth, speaker, creative, brand, speaker, impress, bose, blow, others, water, give, background, understood, know, experience, quality, product, category, product, play, loudest, set, bass, thump, audio, see, quality, bluetooth, speaker, delt, play, jack, u, dubstep, artist, bass, distort, try, bass, heavy, receive, feedback, return, look, cool, didnt, cut], [work, advertise]]","[[buy year model discontinue present opportunity pick jambox good price purchase bluetooth speaker creative brand speaker impress bose blow others water give background understood know experience quality product category product play loudest set bass thump audio see quality bluetooth speaker delt play jack u dubstep artist bass distort try bass heavy receive feedback return look cool didnt cut, 0.0, 4], [work advertise, 0.3444, 1]]"
B004OVEH32,[0.5143],[1],"[[feel, solid, open, amp, sound, inch, hcca, hour, total, play, time, smoke, volume, none, less, open, unit, discover, heat, dissapation, design, mosfets, manufacturer, screw, mosfets, sink, maximum, dissapation, heat, cadence, metal, clip, glue, place, push, transistor, sink, sink, get, warm, glue, get, mosfets, burn, cause, clip, get]]","[[feel solid open amp sound inch hcca hour total play time smoke volume none less open unit discover heat dissapation design mosfets manufacturer screw mosfets sink maximum dissapation heat cadence metal clip glue place push transistor sink sink get warm glue get mosfets burn cause clip get, 0.5143, 1]]"
B005C76ZXC,[0.6597],[3],"[[receive, advertize, came, write, instruction, know, installation, display]]","[[receive advertize came write instruction know installation display, 0.6597, 3]]"
B005LBEGAI,"[-0.128, 0.4404, 0.0, 0.0, 0.5574, 0.6249]","[4, 5, 1, 5, 5, 5]","[[work, issue, continue, charge, fail], [sell, product, dont, work], [product, receive, promise, item, order, work], [need]]","[[work issue continue charge fail, -0.128, 4], [sell product dont work, 0.4404, 5], [product receive promise item order work, 0.0, 1], [need, 0.0, 5], [, 0.5574, 5], [, 0.6249, 5]]"
B005TLZGJ0,"[0.6744, 0.3182, 0.6249, 0.3384, 0.2023]","[4, 4, 5, 5, 5]","[[work, meet, need], [battery, doesnt, yet, take, couple, charge, cycle], [work, fine], [phonebatteries, get, isnt, battery, fault, replacement, work, heat]]","[[work meet need, 0.6744, 4], [battery doesnt yet take couple charge cycle, 0.3182, 4], [work fine, 0.6249, 5], [phonebatteries get isnt battery fault replacement work heat, 0.3384, 5], [, 0.2023, 5]]"
B006JDRDTI,[0.9837],[5],"[[casing, fit, galaxy, great, touch, great, feel, look, yes, bargain, price]]","[[casing fit galaxy great touch great feel look yes bargain price, 0.9837, 5]]"
B006WVX9R2,"[0.8689, 0.7003]","[5, 5]","[[instal, radio, daughter, toyota, yesterday, installation, setup, try, parrot, bluetooth, blown, clarity, sound, phone, radio, love, radio], [sound, great, interference, use]]","[[instal radio daughter toyota yesterday installation setup try parrot bluetooth blown clarity sound phone radio love radio, 0.8689, 5], [sound great interference use, 0.7003, 5]]"
B0071I0OPA,"[-0.4404, 0.5719]","[1, 5]","[[hook, watt, channel, crossover, output, onlybr, damage, speaker, purchase], [decent, speaker, put, givi, top, box, honda, silverwing, sound, im, plan, buying, set, put, front, ive, get, figure, run, wire]]","[[hook watt channel crossover output onlybr damage speaker purchase, -0.4404, 1], [decent speaker put givi top box honda silverwing sound im plan buying set put front ive get figure run wire, 0.5719, 5]]"
B0077RV300,[0.1623],[1],"[[come, instruction, try, return, seller, reply, dislike, know, work, charge, time, seem, charge]]","[[come instruction try return seller reply dislike know work charge time seem charge, 0.1623, 1]]"
B007YFPSXI,[0.9571],[5],"[[headphone, find, jog, light, weight, awesome, sound, quality, coment, wish, silicone, earbuds, fit, better, recommend, headphone]]","[[headphone find jog light weight awesome sound quality coment wish silicone earbuds fit better recommend headphone, 0.9571, 5]]"
B0084BRIOS,[0.8689],[5],"[[case, come, day, amazon, say, deliver, package, say, iphone, iphone, fit, problem, touch, screen, work, case, finger, stylus, come, case, use, phone, itunes, voice, memo, record, playback, camera, work, sound, case, affect, use, phone, submerge, case, water, phone, im, trust, watertight, case, recommend]]","[[case come day amazon say deliver package say iphone iphone fit problem touch screen work case finger stylus come case use phone itunes voice memo record playback camera work sound case affect use phone submerge case water phone im trust watertight case recommend, 0.8689, 5]]"
B00896EZB2,"[-0.2755, 0.6115, 0.0, 0.0, 0.296, 0.6249]","[1, 5, 1, 1, 3, 5]","[[suckedbr, come, day, put, onbr, thats, cheap], [couldnt, see, phone], [work], [order, excellent, quality], [didnt], [ok]]","[[suckedbr come day put onbr thats cheap, -0.2755, 1], [couldnt see phone, 0.6115, 5], [work, 0.0, 1], [order excellent quality, 0.0, 1], [didnt, 0.296, 3], [ok, 0.6249, 5]]"
B008B5VNSE,[0.8481],[5],"[[item, great, price, quick, ship]]","[[item great price quick ship, 0.8481, 5]]"
