B0000CEPC8,[0.0],[5],"[[receive, expect]]","[[receive expect, 0.0, 5]]"
B00026BMBI,"[-0.0516, 0.6956, 0.7693, 0.6249]","[1, 4, 3, 4]","[[nice, set, drive, factory, stereo, lot, power, bass, sound, consider], [speaker, price], [description, say, fit, jeep, factory, rig, placehad, fit, happyspeakers, sound, money], [speaker, blow, week, installation, sound, sound, worse, stock, speaker]]","[[nice set drive factory stereo lot power bass sound consider, -0.0516, 1], [speaker price, 0.6956, 4], [description say fit jeep factory rig placehad fit happyspeakers sound money, 0.7693, 3], [speaker blow week installation sound sound worse stock speaker, 0.6249, 4]]"
B0002BEQNE,"[0.5719, 0.7845, 0.2023, 0.0, -0.1232]","[5, 5, 5, 5, 3]","[[work, fine, radio, retrofit, wrangler], [make], [antenna, bos, setero, fade, radio], [work, use, make, need, install, market, radio], [perfect, upgrade]]","[[work fine radio retrofit wrangler, 0.5719, 5], [make, 0.7845, 5], [antenna bos setero fade radio, 0.2023, 5], [work use make need install market radio, 0.0, 5], [perfect upgrade, -0.1232, 3]]"
B000I7RI7I,[0.0],[5],"[[buy, purchase]]","[[buy purchase, 0.0, 5]]"
B000K50GFE,[-0.2438],[2],"[[get, altima, instal, bos, radio, fit, cut, side, hit, lip, radio, mess, instal]]","[[get altima instal bos radio fit cut side hit lip radio mess instal, -0.2438, 2]]"
B000PDR1LS,[0.4927],[4],"[[receive, learn, use, good, instruction, find, satellite, fast, compare, garmin, gps]]","[[receive learn use good instruction find satellite fast compare garmin gps, 0.4927, 4]]"
B000VKUHWK,[0.7678],[5],"[[wash, find, holster, slip, one, clip, fall, move, phone, feel, price]]","[[wash find holster slip one clip fall move phone feel price, 0.7678, 5]]"
B0017TXE56,[0.0],[5],"[[need, custom, radio, install, nissan, frontier]]","[[need custom radio install nissan frontier, 0.0, 5]]"
B001DCJAJG,[0.0],[3],"[[purchase, work]]","[[purchase work, 0.0, 3]]"
B001GQ2PR8,[0.7717],[5],"[[fit, ford, f, superduty]]","[[fit ford f superduty, 0.7717, 5]]"
B001RNNYAC,"[0.5125, -0.4404]","[5, 3]","[[power, grind, wire, decent, fuse, fuse, box, speaker, wire, rca, cable, worthless], [end, undo, knukoncepts, gauge, amp, kit, wire, car, fun, use, kit, quality, difference, night, day, btw, kit, write, cost, steal, get, wire, come, w, terminal, preinstalled, camrys, battery, terminalbr, br, craftsmanship, go, design, amp, fuse, box, come, w, kit, alone, justifies, ask, price, steal, kit, bestbut, cost, use, kit, wire, alpine, mrvf, amp, wire, fit, modification, need, expect, stripping, end, fit, amp, terminalsbr, br, please, dont, waste, time, knukoncepts, amp, kit, gauge, wire, cheapest, package, refer, nice, exterior, insulator, use, everything, auto, wire, stripper, utility, knife, wire, broke, easilybr, br, attach, photo, convey, quality, difference]]","[[power grind wire decent fuse fuse box speaker wire rca cable worthless, 0.5125, 5], [end undo knukoncepts gauge amp kit wire car fun use kit quality difference night day btw kit write cost steal get wire come w terminal preinstalled camrys battery terminalbr br craftsmanship go design amp fuse box come w kit alone justifies ask price steal kit bestbut cost use kit wire alpine mrvf amp wire fit modification need expect stripping end fit amp terminalsbr br please dont waste time knukoncepts amp kit gauge wire cheapest package refer nice exterior insulator use everything auto wire stripper utility knife wire broke easilybr br attach photo convey quality difference, -0.4404, 3]]"
B001UC9NOQ,[0.2023],[5],"[[arrive, work, fine]]","[[arrive work fine, 0.2023, 5]]"
B0023NVYYS,[0.6597],[5],"[[product, recommend]]","[[product recommend, 0.6597, 5]]"
B002BE0SUA,[0.4404],[5],"[[work, good]]","[[work good, 0.4404, 5]]"
B002UL49D6,[0.4576],[4],"[[amp, make, come, thing, say, put, remote, control, bass, make, use, size, power, ground, wire, try, use, gauge, wire, wire, way, bracket, amp, size, recommend, gauge]]","[[amp make come thing say put remote control bass make use size power ground wire try use gauge wire wire way bracket amp size recommend gauge, 0.4576, 4]]"
B003NREG7U,[0.0],[1],"[[work, run]]","[[work run, 0.0, 1]]"
B00406KBSG,[-0.5994],[5],"[[problem, okeydokey]]","[[problem okeydokey, -0.5994, 5]]"
B004V595L0,[-0.765],[1],"[[work, package, dirt, stuck, micro, usb, port, returnvery, disappoint]]","[[work package dirt stuck micro usb port returnvery disappoint, -0.765, 1]]"
B005KD9576,[-0.5994],[5],"[[problem, use, product, triple, minute]]","[[problem use product triple minute, -0.5994, 5]]"
B005PVXIWQ,"[0.5859, -0.6885, 0.0, -0.4215]","[5, 3, 3, 1]","[[buy, wife, daughter, work, dont, make, model, anymore, sent, replacement, newer, model, broke, month], [im, hard, bluetooth, device, try, model, flip], [motorola, flip, bluetooth, headset, speak, sister, morning, bluetooth, say, motorola, elite, flip, bluetooth], [didnt, work, time, expire, key, didnt, work]]","[[buy wife daughter work dont make model anymore sent replacement newer model broke month, 0.5859, 5], [im hard bluetooth device try model flip, -0.6885, 3], [motorola flip bluetooth headset speak sister morning bluetooth say motorola elite flip bluetooth, 0.0, 3], [didnt work time expire key didnt work, -0.4215, 1]]"
B005SV08SK,[0.0],[1],"[[work, phone]]","[[work phone, 0.0, 1]]"
B0075PQM1Y,[0.3612],[3],"[[work, itbroke, try, get, window, pay, get]]","[[work itbroke try get window pay get, 0.3612, 3]]"
B008MQYXI4,"[-0.8079, -0.6034]","[2, 3]","[[get, dirty, lace, stick], [color, quality, nothing, photo]]","[[get dirty lace stick, -0.8079, 2], [color quality nothing photo, -0.6034, 3]]"
B0091EL9K6,"[0.0, 0.9317]","[5, 5]","[[ship, shipping, notification, minutes, place, order, receive, day, perfect, fit, fenix, come, screw, screw, driver, strap, back, case, strap, thick, hinge, didnt, strap, move, root, cause, strap, snap, year, use], [looking]]","[[ship shipping notification minutes place order receive day perfect fit fenix come screw screw driver strap back case strap thick hinge didnt strap move root cause strap snap year use, 0.0, 5], [looking, 0.9317, 5]]"
B0092HWU2I,"[0.2732, 0.7264]","[5, 5]","[[happy, purchase, work], [work, receive, expect]]","[[happy purchase work, 0.2732, 5], [work receive expect, 0.7264, 5]]"
B009JOVCZ0,"[0.9583, 0.9489]","[5, 5]","[[use, detector, couple, month, job, alert, police, presence, use, app, detector, help, monitor, speed, nice, tool, report, false, positive, police, presence, expect, detector, budget, detector, own, one, year], [well, expect, price, nice, work, unit, work, icobra, software, save, get, speeding, ticket, alternative, unit, passport, etc]]","[[use detector couple month job alert police presence use app detector help monitor speed nice tool report false positive police presence expect detector budget detector own one year, 0.9583, 5], [well expect price nice work unit work icobra software save get speeding ticket alternative unit passport etc, 0.9489, 5]]"
B00A0Y7YY6,[0.9081],[5],"[[case, perfect]]","[[case perfect, 0.9081, 5]]"
B00ABBZNPA,"[0.6249, 0.0, 0.0]","[4, 5, 4]","[[expect], [job]]","[[expect, 0.6249, 4], [job, 0.0, 5], [, 0.0, 4]]"
B00AK3UQX8,"[0.6369, 0.0, 0.6249, 0.7939, 0.875, 0.4404]","[5, 5, 5, 4, 5, 5]","[[color, case, great, deal, amazon], [sturdy, case, nice, look, perfect, iphone, s], [otter, box, color], [advertize]]","[[color case great deal amazon, 0.6369, 5], [sturdy case nice look perfect iphone s, 0.0, 5], [otter box color, 0.6249, 5], [advertize, 0.7939, 4], [, 0.875, 5], [, 0.4404, 5]]"
B00AULGEXQ,[-0.2263],[3],"[[stop, work, month]]","[[stop work month, -0.2263, 3]]"
