B0007WRQVC,[0.0],[5],"[[describe, work]]","[[describe work, 0.0, 5]]"
B000KL2WJQ,[0.2023],[5],"[[work, fine]]","[[work fine, 0.2023, 5]]"
B000KYUQ2S,"[0.6249, 0.4404, 0.8126]","[5, 5, 5]","[[work, fine, thank], [expect, program], [work, great]]","[[work fine thank, 0.6249, 5], [expect program, 0.4404, 5], [work great, 0.8126, 5]]"
B00178SHRM,[-0.296],[5],[[issue]],"[[issue, -0.296, 5]]"
B001HN5BPS,"[0.4215, 0.0]","[5, 3]","[[money, storm], [nice]]","[[money storm, 0.4215, 5], [nice, 0.0, 3]]"
B001MWRY0Y,[0.7269],[5],"[[excellent, replacement, came, security, system, fade, ring, fell, offbr, ive, couple, month, know, fade]]","[[excellent replacement came security system fade ring fell offbr ive couple month know fade, 0.7269, 5]]"
B003FGWGPS,"[0.7506, 0.2484, 0.0, 0.3384]","[5, 4, 5, 5]","[[use, travel, remote, area, require, area, extend, get, g, use, device, work, verizon, att], [reception, area, get, bar], [work], [perfect, tool, travel, remote, region, desire, cell, bar, signal]]","[[use travel remote area require area extend get g use device work verizon att, 0.7506, 5], [reception area get bar, 0.2484, 4], [work, 0.0, 5], [perfect tool travel remote region desire cell bar signal, 0.3384, 5]]"
B003MX4D0U,"[0.7243, 0.6249, 0.0, 0.4215, 0.6249, -0.4404]","[1, 5, 3, 5, 5, 3]","[[handy, last, month, wear, guess], [nice], [cool, designconcept, annoy, pull, end, others, wont, retract, way, suppose, work, describe], [find, cheap, use, dosent, retract, get, frustrate, use, regular, basis, price, back], [work, great], [work, great]]","[[handy last month wear guess, 0.7243, 1], [nice, 0.6249, 5], [cool designconcept annoy pull end others wont retract way suppose work describe, 0.0, 3], [find cheap use dosent retract get frustrate use regular basis price back, 0.4215, 5], [work great, 0.6249, 5], [work great, -0.4404, 3]]"
B003VSE93C,[0.6801],[5],"[[construction, use, truck, fob, spot]]","[[construction use truck fob spot, 0.6801, 5]]"
B003ZKLH1S,[0.9493],[5],"[[phone, case, slide, phone, piece, fit, provide, safety, piece, mind, hand, phone, toddler, phone, drop, case, survive]]","[[phone case slide phone piece fit provide safety piece mind hand phone toddler phone drop case survive, 0.9493, 5]]"
B00400CJ0A,[0.4215],[2],"[[dont, try, put, sub, box, make, cheap, one, watt, system]]","[[dont try put sub box make cheap one watt system, 0.4215, 2]]"
B00462QB3I,[-0.1727],[1],"[[work, week, charge, power, mat, continue, charge, use, usb, port, week, stop, work, guess, price, youll, get, dollar, week, value, product, case, suppose, thats, becomes, inconvenient, remove, case, need, charge, phone, go, silicone, cover, nice, idea, poor, execution]]","[[work week charge power mat continue charge use usb port week stop work guess price youll get dollar week value product case suppose thats becomes inconvenient remove case need charge phone go silicone cover nice idea poor execution, -0.1727, 1]]"
B0059MIV7S,[0.8481],[5],"[[product, great, service]]","[[product great service, 0.8481, 5]]"
B005SUHQOA,[0.836],[5],[[product]],"[[product, 0.836, 5]]"
B007QXNQXC,"[-0.4215, 0.9661, -0.2263, -0.6136]","[2, 4, 1, 1]","[[get, use, didnt, work, waste, money], [unit, defective, delivery, dont, recommend, im, return], [god, think, order, pencil, sharpener, well, expect, charge, pen, pencil, wife, childrenwe, love, plug, electronics, get, outlet, make, room, desolate, apartment, life, well], [stop, work, minute, plug, dont, buy]]","[[get use didnt work waste money, -0.4215, 2], [unit defective delivery dont recommend im return, 0.9661, 4], [god think order pencil sharpener well expect charge pen pencil wife childrenwe love plug electronics get outlet make room desolate apartment life well, -0.2263, 1], [stop work minute plug dont buy, -0.6136, 1]]"
B007V4N6UE,[0.296],[3],"[[work, expect, hyundai, box, picture, get, work, fine, guess, expect, hyundai, part]]","[[work expect hyundai box picture get work fine guess expect hyundai part, 0.296, 3]]"
