9712951502,[0.3724],[1],"[[phone, say, fake, knock]]","[[phone say fake knock, 0.3724, 1]]"
B0002J2E5S,[-0.34],[5],"[[work, problem]]","[[work problem, -0.34, 5]]"
B0009J6PYW,"[0.1901, 0.6369]","[4, 5]","[[work], [tell, antenna, fit, toyota, stock, radio, doesnt, resell, item]]","[[work, 0.1901, 4], [tell antenna fit toyota stock radio doesnt resell item, 0.6369, 5]]"
B000PTS558,[-0.1531],[1],"[[poor, fit, compare, schoche, make, head, unit, sit]]","[[poor fit compare schoche make head unit sit, -0.1531, 1]]"
B0013MWT44,"[0.6249, 0.1779, 0.8519]","[5, 5, 5]","[[work, great], [box, good, quality, ext, cab, silverado, sit, pop, seat, seat, lock, place], [quality, fit, silverado]]","[[work great, 0.6249, 5], [box good quality ext cab silverado sit pop seat seat lock place, 0.1779, 5], [quality fit silverado, 0.8519, 5]]"
B0013N0UCQ,[0.4404],[5],"[[ship, fast, sound]]","[[ship fast sound, 0.4404, 5]]"
B0015BZKY4,[-0.2755],[1],"[[aftermarket, radio, doesnt, din]]","[[aftermarket radio doesnt din, -0.2755, 1]]"
B0015QUR9W,[0.6249],[5],"[[work, great, countertop, hot, water, dispenser, hadnt, use, couple, year, somehow, misplace, cord, move]]","[[work great countertop hot water dispenser hadnt use couple year somehow misplace cord move, 0.6249, 5]]"
B0025QSN6K,"[0.4404, 0.4404]","[5, 3]","[[work, day, start, false, alert, turn, x, k, min, mean, solid, beep, anything, wont, go, get, hit, month, work, well]]","[[work day start false alert turn x k min mean solid beep anything wont go get hit month work well, 0.4404, 5], [, 0.4404, 3]]"
B002CJNCS4,"[-0.4215, 0.0]","[1, 4]","[[waste, money, piece, junkstarted, leak, plug, couldnt, use, shape, plugavoid, buy, product]]","[[waste money piece junkstarted leak plug couldnt use shape plugavoid buy product, -0.4215, 1], [, 0.0, 4]]"
B002JIMZU4,"[0.854, 0.9185]","[4, 5]","[[work, year, untili, wash, dry, laundry, dayoops, work, ticking, main, button, wasnt, easiest, time, eh, figure, time, didnt, seem, keep, charge, work, drop, time, let, say, endfault, charge, case, didnt, lose, timeoyyyy, anyone, get, bungee, cord, attach, blue, tooth, phone, key, everything, misplace], [sound, case, dont, loose, great, battery, indicator, year, work, main, concern, buy, want, something, use, attend, call, meeting, drive, car, regular, headset, didnt, traffic, noise, meeting, use, dont, know, car, update, cant, believe, bought, year, work, plus, run, dryer, leave, pocket, place, case, think, sure, id, need, buy, surprise, work, day, buy, charge, remains, battery, work, fine]]","[[work year untili wash dry laundry dayoops work ticking main button wasnt easiest time eh figure time didnt seem keep charge work drop time let say endfault charge case didnt lose timeoyyyy anyone get bungee cord attach blue tooth phone key everything misplace, 0.854, 4], [sound case dont loose great battery indicator year work main concern buy want something use attend call meeting drive car regular headset didnt traffic noise meeting use dont know car update cant believe bought year work plus run dryer leave pocket place case think sure id need buy surprise work day buy charge remains battery work fine, 0.9185, 5]]"
B003B2VAQW,[0.7178],[5],"[[product, come, case]]","[[product come case, 0.7178, 5]]"
B003KN2TF8,"[0.9214, 0.9001, 0.96]","[5, 5, 5]","[[sound, amaze, jbl, quality, build, sound, amazing, ask], [quality, speaker, spec, concert, im, power, mine, use, stock, headunit, bump, take, day, use, start, amp, door], [wire, front, speaker, silverado, cab, left, factory, bose, rear, speaker, add, quality, high, sound, kicker, sub, system, sound, great, sub, onbr, br, crank, volume, hear, speaker, reach, limit, stock, head, unit, turn, anyone, rid, cant, handle, loud, turn, bass, mids, head, unit, prefer, sound, crisp, clean, sound]]","[[sound amaze jbl quality build sound amazing ask, 0.9214, 5], [quality speaker spec concert im power mine use stock headunit bump take day use start amp door, 0.9001, 5], [wire front speaker silverado cab left factory bose rear speaker add quality high sound kicker sub system sound great sub onbr br crank volume hear speaker reach limit stock head unit turn anyone rid cant handle loud turn bass mids head unit prefer sound crisp clean sound, 0.96, 5]]"
B003VLY4H0,[0.807],[5],"[[product, please]]","[[product please, 0.807, 5]]"
B004J6L1AE,[0.296],[3],[[ok]],"[[ok, 0.296, 3]]"
B0052ZOS42,[0.193],[4],"[[keep, phone, case, work, rhyme, phone]]","[[keep phone case work rhyme phone, 0.193, 4]]"
B005E06WE4,[-0.5994],[1],"[[get, pay]]","[[get pay, -0.5994, 1]]"
B005LRARXC,[-0.6608],[2],"[[fit, look]]","[[fit look, -0.6608, 2]]"
B006073P40,[0.0],[1],[[work]],"[[work, 0.0, 1]]"
B006G3KC4E,[0.6369],[4],[[price]],"[[price, 0.6369, 4]]"
B007A2ESZE,[-0.2516],[1],"[[circuit, breaker, design, look, packaging, mine, fail, connect, wire, test, trip, button, somethnig, inside, broke, chinese, po, replace, bussmann, cb, amp, type, iii, circuit, breaker, save, trouble, get, bussmann]]","[[circuit breaker design look packaging mine fail connect wire test trip button somethnig inside broke chinese po replace bussmann cb amp type iii circuit breaker save trouble get bussmann, -0.2516, 1]]"
