B0000AXP2J,[0.765],[5],"[[excellent, thanks]]","[[excellent thanks, 0.765, 5]]"
B0002J2E62,[0.6369],[5],"[[fit, toyota, camry]]","[[fit toyota camry, 0.6369, 5]]"
B00078NIUY,[0.0],[5],"[[receive, expect]]","[[receive expect, 0.0, 5]]"
B000PTLMAS,[0.3384],[5],"[[work, others, didnt]]","[[work others didnt, 0.3384, 5]]"
B001AO2TZO,[0.0],[1],"[[cant, place, blow, fuse]]","[[cant place blow fuse, 0.0, 1]]"
B001ED6EIE,[0.4404],[4],[[case]],"[[case, 0.4404, 4]]"
B0027FM3Y2,[0.0],[5],[[work]],"[[work, 0.0, 5]]"
B002QZH91U,[0.0],[3],"[[work, kinda, flimsy]]","[[work kinda flimsy, 0.0, 3]]"
B003L781UU,"[0.4404, 0.6369]","[4, 5]","[[work, town, country, remote, need, change, system, headphone, stereo, set, headphone, use, stereo, listen, radio, cd], [buy]]","[[work town country remote need change system headphone stereo set headphone use stereo listen radio cd, 0.4404, 4], [buy, 0.6369, 5]]"
B003O5HP88,"[0.7579, 0.6249, 0.0]","[5, 5, 4]","[[product, excellent, price, save, purchase, phone], [look, right, havent, use], [work]]","[[product excellent price save purchase phone, 0.7579, 5], [look right havent use, 0.6249, 5], [work, 0.0, 4]]"
B0040UJ17O,[-0.8569],[1],"[[head, set, fall, apart, take, package, look, part, underneath, rubber, glue, let, dry, send, try, lift, rubber, rip, quality, star, price, think, send, buy, risk]]","[[head set fall apart take package look part underneath rubber glue let dry send try lift rubber rip quality star price think send buy risk, -0.8569, 1]]"
B0042DILE8,[0.4939],[4],"[[didnt, work, display, scramble, purple, white, well, luck, problem, contact, seller]]","[[didnt work display scramble purple white well luck problem contact seller, 0.4939, 4]]"
