1059241536,[-0.7559],[1],"[[poor, break, day]]","[[poor break day, -0.7559, 1]]"
9973224515,[0.0],[1],"[[didnt, work]]","[[didnt work, 0.0, 1]]"
9973243277,[0.4939],[5],"[[work, galaxy, cell, phone, galaxy, tablet]]","[[work galaxy cell phone galaxy tablet, 0.4939, 5]]"
B0007KMZII,[0.6249],[5],"[[get, transmitter, sooner, expect, didnt, get, instruction, program, google, instruction, get, program, minute, work]]","[[get transmitter sooner expect didnt get instruction program google instruction get program minute work, 0.6249, 5]]"
B0009SZHR4,"[0.0, 0.6597]","[4, 5]","[[work, perfect, direction, buy, put, amp, car, input], [need, add, motor, need, integrate, reverse, polarity, system]]","[[work perfect direction buy put amp car input, 0.0, 4], [need add motor need integrate reverse polarity system, 0.6597, 5]]"
B000AKX15G,[0.2656],[2],"[[expect, tell, picture, product, description, expect, picture, expect, get, disk, come, nuvi, disk, arrive, mm, diameter, mm, thick, get, order, depend, hand, moment, dont, want, something, dash, dont, order]]","[[expect tell picture product description expect picture expect get disk come nuvi disk arrive mm diameter mm thick get order depend hand moment dont want something dash dont order, 0.2656, 2]]"
B000MPRJCU,[0.4404],[5],[[product]],"[[product, 0.4404, 5]]"
B001JT12FI,"[0.6369, -0.4019]","[5, 1]","[[material, kit, get, snap, mine, broke, areasbr, br, instal, kit, warp, make, look, imperfectbr, br, recommend, look, kit, way, go, issue, user], [fit, prelude, make]]","[[material kit get snap mine broke areasbr br instal kit warp make look imperfectbr br recommend look kit way go issue user, 0.6369, 5], [fit prelude make, -0.4019, 1]]"
B002ERZAC0,"[0.0245, 0.6249]","[2, 4]","[[work, great], [fit, take, suction, cup, replace, cobra, mount, dont, understand, cobra, doesnt, sell, suction, cup, sale, dollar]]","[[work great, 0.0245, 2], [fit take suction cup replace cobra mount dont understand cobra doesnt sell suction cup sale dollar, 0.6249, 4]]"
B00361ET6Q,[0.6249],[4],"[[way, carry, garage, door, opener]]","[[way carry garage door opener, 0.6249, 4]]"
B0039YON7A,[-0.6894],[2],"[[battery, show, charge, d, ont, know, get, charge, way, know, battery, charge, fullybr, fine]]","[[battery show charge d ont know get charge way know battery charge fullybr fine, -0.6894, 2]]"
B003SST7AA,[0.3612],[5],"[[work, advertise, thank]]","[[work advertise thank, 0.3612, 5]]"
B004FOXFIG,[-0.1779],[3],"[[job, charge, cell, phone, battery, ship, battery, fit, phone, charge, use, unit, include, samsung, battery, keep, charger, strange]]","[[job charge cell phone battery ship battery fit phone charge use unit include samsung battery keep charger strange, -0.1779, 3]]"
B004UFHXNI,"[-0.2415, 0.296]","[5, 5]","[[sub, amaze, im, run, prefab, box, w, slam], [loud, shake, car]]","[[sub amaze im run prefab box w slam, -0.2415, 5], [loud shake car, 0.296, 5]]"
B004YTQ4UI,[0.6697],[5],"[[love, say, itll, doesnt, style]]","[[love say itll doesnt style, 0.6697, 5]]"
