B0009A0CSQ,[0.4404],[4],[[sale]],"[[sale, 0.4404, 4]]"
B000BOC9K4,[0.4404],[5],[[thanks]],"[[thanks, 0.4404, 5]]"
B000H9E9UG,[0.0516],[1],"[[say, stay, product, look, limit, time, hour, max, track, thing, kill, battery, crazy, change, day, go, screw, time, hassle, unit, follow, manufacturer, instruction, say, took, care, battery, compartment, seal, usb, cap, top, track, intermittent, gap, waypoints]]","[[say stay product look limit time hour max track thing kill battery crazy change day go screw time hassle unit follow manufacturer instruction say took care battery compartment seal usb cap top track intermittent gap waypoints, 0.0516, 1]]"
B001322OJO,[0.8316],[5],"[[work, happy]]","[[work happy, 0.8316, 5]]"
B0013KX2K6,[0.5719],[5],"[[excellent, product]]","[[excellent product, 0.5719, 5]]"
B001XOBU4C,"[0.2382, 0.7351]","[4, 5]","[[perfect, direct, fit], [install, keep, chime, power, key, turn, nothing, fancy, suppose]]","[[perfect direct fit, 0.2382, 4], [install keep chime power key turn nothing fancy suppose, 0.7351, 5]]"
B002SP2X5U,[-0.0772],[2],"[[item, distorts, sound, people, listen, earbuds, agreed, sound]]","[[item distorts sound people listen earbuds agreed sound, -0.0772, 2]]"
B002UKCV5K,[-0.5499],[2],"[[receive, phone, lock, couldnt, use, network, unlock, pin, search, internet, find, problem]]","[[receive phone lock couldnt use network unlock pin search internet find problem, -0.5499, 2]]"
B002WMDQPA,[0.7351],[5],"[[excellent, thank]]","[[excellent thank, 0.7351, 5]]"
B0036DDT74,[-0.3412],[1],"[[phone, smartphone]]","[[phone smartphone, -0.3412, 1]]"
B003DQ1DCM,"[0.5423, 0.7902]","[4, 5]","[[get, pair, phone, call, sony, tech, support, deal, sony, ericsson, product, anymore, radio, work, fine], [end, mw, try, sony, sb, lack, sonys, touch, sound, quality, pooooori, use, mw, couple, year, use, bluetooth, headset, rid, withstood, water, splash, dust, etc, sound, quality, better, sony, bluetooth, headset, use, disconnect, music, stream, disconnect, bass, thump, couple, sony, walkman, player, phone, use, htc, macbook, pro, bass, sound, crystal, clear, battery, run, hour]]","[[get pair phone call sony tech support deal sony ericsson product anymore radio work fine, 0.5423, 4], [end mw try sony sb lack sonys touch sound quality pooooori use mw couple year use bluetooth headset rid withstood water splash dust etc sound quality better sony bluetooth headset use disconnect music stream disconnect bass thump couple sony walkman player phone use htc macbook pro bass sound crystal clear battery run hour, 0.7902, 5]]"
B003G7NHNG,[-0.7346],[1],"[[whatsoever, use, product, none, caller, hear, reception, earpiece, disconnect, give, moment, mention, ear, clip, made, disappoint, purchase]]","[[whatsoever use product none caller hear reception earpiece disconnect give moment mention ear clip made disappoint purchase, -0.7346, 1]]"
B003NA0658,"[-0.6377, 0.4005]","[2, 2]","[[broke, expect], [break, end, connects, phone, use, buy, couple, month]]","[[broke expect, -0.6377, 2], [break end connects phone use buy couple month, 0.4005, 2]]"
B004HHJWEW,"[0.5563, 0.4215]","[5, 4]","[[nice, cellphone]]","[[nice cellphone, 0.5563, 5], [, 0.4215, 4]]"
B0052D38UE,"[0.4404, 0.5719, 0.6249]","[4, 5, 4]","[[work, great, keep, update], [time], [perfect]]","[[work great keep update, 0.4404, 4], [time, 0.5719, 5], [perfect, 0.6249, 4]]"
B0056G13QI,"[0.0, -0.7056]","[4, 3]","[[make, gps, mount, adapter, work, glenn], [purchase, use, custom, d, print, cellphone, holder, socket, fit, ball, result, trouble, hold, phone, place, socket, spring, load, tighten, tension]]","[[make gps mount adapter work glenn, 0.0, 4], [purchase use custom d print cellphone holder socket fit ball result trouble hold phone place socket spring load tighten tension, -0.7056, 3]]"
B0056GJLUI,[0.5719],[5],"[[outdated, lightning, connector, sturdy, device, get, quick, time, charge, pinch, recharge, aside, nice, device]]","[[outdated lightning connector sturdy device get quick time charge pinch recharge aside nice device, 0.5719, 5]]"
B005DIBHA6,"[-0.4767, 0.8402, 0.8934, 0.1263]","[2, 5, 5, 5]","[[use, year, take, time, upload, update, time, year, get, newest, road, condition, change, freebr, learn, trust, mistake, make, listen, thinking, wasnt], [speech, unit], [amaze, love, picture, exit, get, closer, turn], [gps, deliver, condition, thanks]]","[[use year take time upload update time year get newest road condition change freebr learn trust mistake make listen thinking wasnt, -0.4767, 2], [speech unit, 0.8402, 5], [amaze love picture exit get closer turn, 0.8934, 5], [gps deliver condition thanks, 0.1263, 5]]"
B006N0231U,[0.0],[3],[[work]],"[[work, 0.0, 3]]"
B006O1NKT2,[0.9152],[5],"[[awesome, handsfree, speakerphone, user, love]]","[[awesome handsfree speakerphone user love, 0.9152, 5]]"
