6073894996,[0.8519],[5],"[[work, great]]","[[work great, 0.8519, 5]]"
B000136P8W,"[0.6249, 0.0]","[5, 5]","[[work, great], [use, time]]","[[work great, 0.6249, 5], [use time, 0.0, 5]]"
B000LP4RM6,[0.802],[3],"[[work, make, sound, well, get, amplifier]]","[[work make sound well get amplifier, 0.802, 3]]"
B000MCKA5Q,[0.4215],[4],"[[nice, quality, image]]","[[nice quality image, 0.4215, 4]]"
B000SV5HGS,[0.7722],[5],"[[doesnt, show, fingerprint, price, case, protect, well, youre, phone]]","[[doesnt show fingerprint price case protect well youre phone, 0.7722, 5]]"
B001EBLWHY,[0.6599],[3],"[[dash, kit, work, fine, flimsy, expect, piece, front, radio, face, arch, match, trim, piece, vent, expect, base, review, metra, version, work, doesnt, look, perfect, ]]","[[dash kit work fine flimsy expect piece front radio face arch match trim piece vent expect base review metra version work doesnt look perfect , 0.6599, 3]]"
B002FLKVVU,[0.6249],[5],"[[work, great, money]]","[[work great money, 0.6249, 5]]"
B002G4VVME,[-0.3412],[2],"[[battery, bakup, good, price]]","[[battery bakup good price, -0.3412, 2]]"
B002VIU01I,[0.2382],[4],"[[deal, flip, phone]]","[[deal flip phone, 0.2382, 4]]"
B0038RBDBW,[0.0],[4],"[[advertise, cat, keep, chew, cord, end, charger]]","[[advertise cat keep chew cord end charger, 0.0, 4]]"
B003CYL7K8,[0.6908],[5],"[[sound, good, nice, power]]","[[sound good nice power, 0.6908, 5]]"
B004IMR90U,[0.8481],[5],"[[product, great, vendor, shop]]","[[product great vendor shop, 0.8481, 5]]"
B004LZEPJC,[0.8016],[5],"[[satisfy, br, work, great, ]]","[[satisfy br work great , 0.8016, 5]]"
B004TMH8W8,[0.7845],[3],"[[nice, case, fit]]","[[nice case fit, 0.7845, 3]]"
B0074WMQLS,"[0.0, 0.3612, 0.8481, 0.743, 0.3944, 0.0, 0.4404, 0.9378, 0.6249]","[5, 5, 5, 5, 5, 5, 5, 5, 5]","[[work, screw, doesnt, come, loose], [stuff], [product, great, price], [work], [ram, product], [work, shoud], [ram, make, excellent, quality, stuff, arm, different, variety, arm, length, use, depend, item, mount, bike], [muy, bueno], [use, want, use, ram, ball, mount, system, arm, lightweight, quick, easy, adjust, havent, use, ram, mount, dont, worry, theyre, use, hold, lot, weight, keep, place, use, cell, phonegps, case, gopro, mount, motorcycle, ball, ive, either, fact, mount, hold, lot, weight, im, put]]","[[work screw doesnt come loose, 0.0, 5], [stuff, 0.3612, 5], [product great price, 0.8481, 5], [work, 0.743, 5], [ram product, 0.3944, 5], [work shoud, 0.0, 5], [ram make excellent quality stuff arm different variety arm length use depend item mount bike, 0.4404, 5], [muy bueno, 0.9378, 5], [use want use ram ball mount system arm lightweight quick easy adjust havent use ram mount dont worry theyre use hold lot weight keep place use cell phonegps case gopro mount motorcycle ball ive either fact mount hold lot weight im put, 0.6249, 5]]"
B0080YYVH6,"[-0.8074, -0.5096]","[2, 1]","[[send, phone, company, pay, postage, say, put, account, lot, timebr, phone, work, take, verizon, verify, phonenow, gun, shy, order, phone, send, back, son, use, borrow, phone], [wasnt, great, get, apps, phone, one, program]]","[[send phone company pay postage say put account lot timebr phone work take verizon verify phonenow gun shy order phone send back son use borrow phone, -0.8074, 2], [wasnt great get apps phone one program, -0.5096, 1]]"
B008I6LK4I,[0.4927],[5],"[[radio, m, operation]]","[[radio m operation, 0.4927, 5]]"
B008I6X8RU,[0.0],[1],"[[dont, stick]]","[[dont stick, 0.0, 1]]"
B0090ORVXG,[0.5859],[5],"[[wow, exelent]]","[[wow exelent, 0.5859, 5]]"
B0098JU0GI,[-0.3865],[2],"[[didnt, work, good]]","[[didnt work good, -0.3865, 2]]"
B009KY47GA,"[0.765, 0.8749]","[5, 4]","[[case, year, half, shape, nice, smooth, matte, finish, slippery, shiny, case, ive, drop, phone, plenty, time, case, prevent, wouldbe, disastersbr, br, headphone, lightning, port, hole, fit, thirdparty, lightning, cable, headphone, jack, aware, say, anything, case]]","[[case year half shape nice smooth matte finish slippery shiny case ive drop phone plenty time case prevent wouldbe disastersbr br headphone lightning port hole fit thirdparty lightning cable headphone jack aware say anything case, 0.765, 5], [, 0.8749, 4]]"
