1059656000,[0.0],[5],"[[describe, work, flawlesslythanks]]","[[describe work flawlesslythanks, 0.0, 5]]"
B0012BO3NQ,[0.8316],[5],"[[fit, perfect, work]]","[[fit perfect work, 0.8316, 5]]"
B0015H7924,[0.9804],[1],"[[badbr, think, headrest, unsafe, rearend, collision, tilt, hit, tilt, limit, whole, headrest, tilt, connection, post, go, seat, confident, protect, neck, rearend, collisionbr, br, problem, audio, work, sound, headphone, plug, speaker, sound, headphone, plug, check, operation, dvd, player, work, fine, try, head, phone, luck, contact, pyle, say, return, itbr, br, good, fit, car, honda, crv, install, include, post, shim, use, car, headrest, hole, note, shim, slot, cut, instruction, dont, say, think, latch, seat, engage, notch, headrest, post, post, adjust, allow, post, spacing, mechanism, keep, headrest, center]]","[[badbr think headrest unsafe rearend collision tilt hit tilt limit whole headrest tilt connection post go seat confident protect neck rearend collisionbr br problem audio work sound headphone plug speaker sound headphone plug check operation dvd player work fine try head phone luck contact pyle say return itbr br good fit car honda crv install include post shim use car headrest hole note shim slot cut instruction dont say think latch seat engage notch headrest post post adjust allow post spacing mechanism keep headrest center, 0.9804, 1]]"
B00170DKSQ,[0.9015],[5],"[[work, great, silverado, install, perfect, way, add, amp, sub, cut, wire]]","[[work great silverado install perfect way add amp sub cut wire, 0.9015, 5]]"
B001UE6MIO,"[0.5719, -0.5991, 0.8765, -0.6597, -0.8874, 0.4754, 0.8875, 0.5346, 0.6249, 0.8658, 0.0, 0.431, -0.6486, 0.8225, 0.3612, 0.5106, 0.9932]","[5, 1, 4, 1, 3, 5, 5, 5, 5, 4, 5, 3, 1, 5, 5, 4, 5]","[[set, set, end, give, mother, use, car, trip, goodwill, garden, shop, etc, loses, trac, time, shop, done, mhr, radio, motorola, set, walkie, talkie, type, radio, user, say, motorola, provide, product, find, work, well, expect, find, particuliar, radio, work, excellent, dont, work, mile, state, line, elevation, interference, kind, read, review, walkie, talkie, radio, type, product, maker, brand, achieves, number, dont, put, weight, number, dont, find, someone, need, stay, push, button, conversation, radio, get, exagerated, number, test, mile, work, fine, recharger, belt, clip, lost, user, guide, time, go, bytwowayradiosdotcom, follow, productsmotorolamanualsmhrmanualpdf, get, user, print, mention, give, set, aunt, go, cruise, group, tour, love, find, ability, use, rechargable, regular, battery, feature, monies, think, beat, learn, curve, take, minute, coffee, blast, sincebr, set, includesbr, br, radiosbr, br, belt, clip, swivel, type, junk, one, break, radio, swivel, degree, detach, unit, push, button, br, br, charger, red, turn, unit, place, need, charge, turn, charge, take, hour, chargefor, charge, let, radio, charge, night, get, warm, chargingbr, br, cable, chargerbr, br, battery, pack, unit, radio, accept, battery, situation, warrantsbr, br, nice, feature, find, use, think, use, radio, battery, recharger, batteriesbr, br, mhr, winner, motorola, frugal, aficionado, youand, need, charge, turn, charge, take, hour, chargefor, charge, let, radio, charge, night, get, warm, charge, charger, battery, pack, unit, radio, accept, battery, situation, warrant, nice, feature, find, use, think, use, radio, battery, recharger, battery, mhr, winner, motorola, frugal, aficionado], [nice, sit], [work, great, radio, part, come, handy, travel], [light, weight, price, nice, feature, get, family, son, test, mile, night, town, recommend], [expect], [handset, stop, work, using, time, cant, return, happy, purchase], [go, use, europe, hike, problem, battery, hold, charge, charge, hold, charge, le, hour, charge, result], [range, amount, timebr, br, seem, lack, battery, department, battery, charge], [battery, bad, die, month, charger, broke, wont, charge], [take, trip, drive, anchor, point, alaska, prudhoe, bay, alaska, glad, work, awesome, battery, life, dalton, highway, prudhoe, bay, alaska, cell, service, mile, range, walkie, talkie, ideal, convoy, take, wondering, vehicle, need], [work, great, instruction, bit, preset, channel, work, save, lot, time, farm, run, talk, walkie], [son, love], [buy, wife, stroke, year, shop, need, work, awesome, range, mile, distance, urban, set, house, tree, half, mountain, barren, obstruction, tree, try, talk, someone, bottom, mile, line, obstruction, tree, terrain, m], [thank], [excellent, product, work], [close, range, ground, work, need, communicate, ranch, canyon, land, hill, hill, work, mile], [piece, crap, put, battery, pack, start, smoking, instruction, put, battery, pack, instruction, didnt, power, waste, money]]","[[set set end give mother use car trip goodwill garden shop etc loses trac time shop done mhr radio motorola set walkie talkie type radio user say motorola provide product find work well expect find particuliar radio work excellent dont work mile state line elevation interference kind read review walkie talkie radio type product maker brand achieves number dont put weight number dont find someone need stay push button conversation radio get exagerated number test mile work fine recharger belt clip lost user guide time go bytwowayradiosdotcom follow productsmotorolamanualsmhrmanualpdf get user print mention give set aunt go cruise group tour love find ability use rechargable regular battery feature monies think beat learn curve take minute coffee blast sincebr set includesbr br radiosbr br belt clip swivel type junk one break radio swivel degree detach unit push button br br charger red turn unit place need charge turn charge take hour chargefor charge let radio charge night get warm chargingbr br cable chargerbr br battery pack unit radio accept battery situation warrantsbr br nice feature find use think use radio battery recharger batteriesbr br mhr winner motorola frugal aficionado youand need charge turn charge take hour chargefor charge let radio charge night get warm charge charger battery pack unit radio accept battery situation warrant nice feature find use think use radio battery recharger battery mhr winner motorola frugal aficionado, 0.5719, 5], [nice sit, -0.5991, 1], [work great radio part come handy travel, 0.8765, 4], [light weight price nice feature get family son test mile night town recommend, -0.6597, 1], [expect, -0.8874, 3], [handset stop work using time cant return happy purchase, 0.4754, 5], [go use europe hike problem battery hold charge charge hold charge le hour charge result, 0.8875, 5], [range amount timebr br seem lack battery department battery charge, 0.5346, 5], [battery bad die month charger broke wont charge, 0.6249, 5], [take trip drive anchor point alaska prudhoe bay alaska glad work awesome battery life dalton highway prudhoe bay alaska cell service mile range walkie talkie ideal convoy take wondering vehicle need, 0.8658, 4], [work great instruction bit preset channel work save lot time farm run talk walkie, 0.0, 5], [son love, 0.431, 3], [buy wife stroke year shop need work awesome range mile distance urban set house tree half mountain barren obstruction tree try talk someone bottom mile line obstruction tree terrain m, -0.6486, 1], [thank, 0.8225, 5], [excellent product work, 0.3612, 5], [close range ground work need communicate ranch canyon land hill hill work mile, 0.5106, 4], [piece crap put battery pack start smoking instruction put battery pack instruction didnt power waste money, 0.9932, 5]]"
B002NWL1R4,[0.6187],[3],"[[touch, stretch, make, keep, product, fault]]","[[touch stretch make keep product fault, 0.6187, 3]]"
B002RXCNG2,[0.0],[2],"[[wont, charge, phone, get, amp, usb, auto, charger, pay, attention, purchase, believe, amp, usb]]","[[wont charge phone get amp usb auto charger pay attention purchase believe amp usb, 0.0, 2]]"
B0033YEG46,[0.0],[5],[[advertise]],"[[advertise, 0.0, 5]]"
B003AYSB8Q,[0.6908],[1],"[[didnt, work, wouldnt, charge, argue, get, buck, get, buy, price]]","[[didnt work wouldnt charge argue get buck get buy price, 0.6908, 1]]"
B003E3HPD0,[0.8427],[4],"[[look, wacom, bamboo, capture, tablet, stuck, straight, side, thing, way, look, place, decide, look, angle, found, thought, connector, fit, port, recess, please, find, cable, connector, came, fine, power, tablet, work, star, doesnt, seem, quality, work]]","[[look wacom bamboo capture tablet stuck straight side thing way look place decide look angle found thought connector fit port recess please find cable connector came fine power tablet work star doesnt seem quality work, 0.8427, 4]]"
B003I86PIM,[0.2732],[5],"[[work, seem, expect]]","[[work seem expect, 0.2732, 5]]"
