B00025HDK8,"[-0.0258, 0.8674, 0.8481]","[5, 3, 5]","[[product, great, price, describe], [tha, box, alone, worth], [box, build, worth, box, didnt, pyle, crap, box, worth, cost, put, kicker, compr, sound]]","[[product great price describe, -0.0258, 5], [tha box alone worth, 0.8674, 3], [box build worth box didnt pyle crap box worth cost put kicker compr sound, 0.8481, 5]]"
B000E432KC,[0.296],[2],"[[ok, sound, rattle]]","[[ok sound rattle, 0.296, 2]]"
B001DAT0XE,"[0.5719, 0.6369, 0.0, -0.25, 0.6249, 0.0, 0.0]","[5, 5, 5, 5, 5, 5, 2]","[[expect], [stuck, textured, dash, stay, az, heat, nexus, hang], [doctor, order, work], [aaa, order], [use, camera, rear, windshield, camera, suction, mount, wouldnt, stick, rear, windshield, defrost, wire, run, thing, attach, windshield, issue], [excellent, product]]","[[expect, 0.5719, 5], [stuck textured dash stay az heat nexus hang, 0.6369, 5], [doctor order work, 0.0, 5], [aaa order, -0.25, 5], [use camera rear windshield camera suction mount wouldnt stick rear windshield defrost wire run thing attach windshield issue, 0.6249, 5], [excellent product, 0.0, 5], [, 0.0, 2]]"
B001UDNX3M,[0.989],[5],"[[love, speaker, instal, malibu, front, sound, quality, amaze, think, bass, come, factory, delco, speaker, grant, test, cd, lot, bass, rear, view, mirror, vibrate, lot, think, past, love, want, buy, rear, replace, alpine, recommend, cousin, sound, engineer, im, glad, packaging, take, care, designing, packaging, hold, everything, place, transit, packaging, make, impression, speaker, live, impressionbr, br, factory, head, unit, doesnt, indication, outputwattage, accord, crutchfieldbr, think, im, go, sit, car, listen, music]]","[[love speaker instal malibu front sound quality amaze think bass come factory delco speaker grant test cd lot bass rear view mirror vibrate lot think past love want buy rear replace alpine recommend cousin sound engineer im glad packaging take care designing packaging hold everything place transit packaging make impression speaker live impressionbr br factory head unit doesnt indication outputwattage accord crutchfieldbr think im go sit car listen music, 0.989, 5]]"
B003NYIS68,[-0.0956],[1],"[[product, party, hear, worth, buy]]","[[product party hear worth buy, -0.0956, 1]]"
B003O85BRM,[-0.2755],[5],"[[melt, amp, amp, fuse, gauge]]","[[melt amp amp fuse gauge, -0.2755, 5]]"
B003UES8D4,[0.4404],[3],"[[ipod, rd, generation, iphone, dont]]","[[ipod rd generation iphone dont, 0.4404, 3]]"
B004FP0ZVK,[0.2263],[3],"[[nice, price]]","[[nice price, 0.2263, 3]]"
B004IGIDVA,[0.5267],[5],[[enjoy]],"[[enjoy, 0.5267, 5]]"
B004UC706G,[0.0],[5],[[buy]],"[[buy, 0.0, 5]]"
B00508I5WC,"[0.0, 0.0, 0.6597, 0.4215]","[3, 5, 5, 5]","[[work, advertise], [work, cheap], [lg, phone, puppy, bit, chargeri, think, buy, phonetry, chargerwork, good, originalthanks], [doesnt, charge, htc, fast, charger]]","[[work advertise, 0.0, 3], [work cheap, 0.0, 5], [lg phone puppy bit chargeri think buy phonetry chargerwork good originalthanks, 0.6597, 5], [doesnt charge htc fast charger, 0.4215, 5]]"
B0050TNPMG,[0.6249],[5],[[product]],"[[product, 0.6249, 5]]"
B005FC0JRC,[-0.6128],[1],"[[terriblelousy, quality, anddid, phone, description, state, upset]]","[[terriblelousy quality anddid phone description state upset, -0.6128, 1]]"
B006DJM7PI,[0.0],[3],"[[condition, describe, scratch, work, button]]","[[condition describe scratch work button, 0.0, 3]]"
B006PADSQ2,"[0.6249, 0.8625]","[1, 1]","[[bench, test, unit, time, seem, work, install, soninlaw, come, help, unit, intermittent, past, return, date, help, power, cord, unit, approach, helpthanking, advance], [work, couple, week, nothing, result]]","[[bench test unit time seem work install soninlaw come help unit intermittent past return date help power cord unit approach helpthanking advance, 0.6249, 1], [work couple week nothing result, 0.8625, 1]]"
B006S3VEQ2,[-0.4939],[3],"[[use, sound, quality, poor]]","[[use sound quality poor, -0.4939, 3]]"
B007B5Z48K,[0.4404],[5],"[[product, good]]","[[product good, 0.4404, 5]]"
B0080V745K,[0.049],[1],"[[item, iphone, say, post, phone, case, please, watch, buy, item, advertise]]","[[item iphone say post phone case please watch buy item advertise, 0.049, 1]]"
B0084T0YHI,[0.1901],[3],"[[case, look, nice, inside, hardthin, plastic, outer, shell, rubberize, feel, sliding, use, keyboard, bit, difficult, get, use]]","[[case look nice inside hardthin plastic outer shell rubberize feel sliding use keyboard bit difficult get use, 0.1901, 3]]"
B008C2915I,"[-0.4215, -0.3818]","[5, 1]","[[anything, waste, money, sound, quality, cord], [doesnt, work, car, dumbest, purchase, amazon]]","[[anything waste money sound quality cord, -0.4215, 5], [doesnt work car dumbest purchase amazon, -0.3818, 1]]"
B008LQTFHO,[-0.2755],[1],[[didnt]],"[[didnt, -0.2755, 1]]"
B0093IHZ9Y,"[0.128, 0.8214]","[4, 5]","[[hold, couple, card, perfect, dont, want, bring, purse, bar], [need, extension, headphone, jack, plug]]","[[hold couple card perfect dont want bring purse bar, 0.128, 4], [need extension headphone jack plug, 0.8214, 5]]"
B009BEJDZO,[0.765],[5],"[[happy, color]]","[[happy color, 0.765, 5]]"
B009NY9WKI,[-0.5842],[1],"[[junk, dont, fit, dont, bye, phone, droid, xt, want, fit, careless, product, seller, want, pay, send, bye, dont, waste, money, care]]","[[junk dont fit dont bye phone droid xt want fit careless product seller want pay send bye dont waste money care, -0.5842, 1]]"
B009S3M1ZC,"[0.6249, 0.4201, -0.4404, 0.4067, 0.8553]","[4, 3, 3, 3, 5]","[[love], [product, get, pay, price, doesnt, protect, phone, drop, look, opinion, beware, discolors, month, use, phone, everyday], [cover, color, get, discolor, use], [case, great, month, receive, start, discolor, keep, mind, purchase], [case, get, dirty]]","[[love, 0.6249, 4], [product get pay price doesnt protect phone drop look opinion beware discolors month use phone everyday, 0.4201, 3], [cover color get discolor use, -0.4404, 3], [case great month receive start discolor keep mind purchase, 0.4067, 3], [case get dirty, 0.8553, 5]]"
B009VLEXFW,[0.6249],[5],"[[phone, thw, price, arent, phone, keyboard, offer, cell, service, provider]]","[[phone thw price arent phone keyboard offer cell service provider, 0.6249, 5]]"
B00A7YK8PQ,[0.6249],[5],"[[price, work]]","[[price work, 0.6249, 5]]"
B00AJHCJ2Q,[0.25],[5],"[[headphone, money, break, year, use, pay]]","[[headphone money break year use pay, 0.25, 5]]"
B00ATWR0L6,"[-0.1531, 0.6249]","[5, 4]","[[put, look], [problem, screen, protector, job, fine, come, everything, need, screen, protector, need, fingernail]]","[[put look, -0.1531, 5], [problem screen protector job fine come everything need screen protector need fingernail, 0.6249, 4]]"
B00B21H7ZM,[0.6369],[5],"[[order, soon]]","[[order soon, 0.6369, 5]]"
B00B8AXHH4,[0.6369],[3],[[work]],"[[work, 0.6369, 3]]"
B00BEEE5TI,[0.8519],[5],"[[case, work, consider, phone, case, multiple, time, phone, ok, clip, phone, look, feel, part, phone, smooth, nongreasy, surface, make, scratch, nail]]","[[case work consider phone case multiple time phone ok clip phone look feel part phone smooth nongreasy surface make scratch nail, 0.8519, 5]]"
B00BJHB6CY,[0.6249],[5],"[[convenience, product]]","[[convenience product, 0.6249, 5]]"
