B0002OPKC2,[0.6779],[5],"[[sound, surprising]]","[[sound surprising, 0.6779, 5]]"
B0002WRGHG,"[0.1531, -0.1027]","[3, 1]","[[ok, couldnt, keep], [product, use, get, pay]]","[[ok couldnt keep, 0.1531, 3], [product use get pay, -0.1027, 1]]"
B000BS2V30,[0.0],[1],"[[activate, use]]","[[activate use, 0.0, 1]]"
B000F3PU5W,[-0.5267],[3],"[[cover, lake, others, southern, seems, west, side, state, list, tell, cover, use]]","[[cover lake others southern seems west side state list tell cover use, -0.5267, 3]]"
B000KL6KO4,[0.926],[5],"[[nice, touch, cobalt, buy, boy, friend, fit, cubby, bottom, hand]]","[[nice touch cobalt buy boy friend fit cubby bottom hand, 0.926, 5]]"
B000U9WVW6,[-0.2819],[3],"[[work, take, update, make, turn, dont, get, lose, gps]]","[[work take update make turn dont get lose gps, -0.2819, 3]]"
B000YJ8LYO,[0.0],[5],"[[say, phone, charger, work]]","[[say phone charger work, 0.0, 5]]"
B001ILS0N4,[0.0],[5],"[[item, describe, delivery]]","[[item describe delivery, 0.0, 5]]"
B001P86SP2,"[-0.1154, 0.8876]","[1, 5]","[[worse, try, instal, corvette, zno, bass, crank, sterio, cuz, sound, sty, bose, speaker, beat, disappoint, want, return, charge, return, cost], [fit, part, sound, amaze, super, install, im, dodge, ram, laramie, screw, driver, wire, splicer, end, match, speaker, truck, bam, less, minute]]","[[worse try instal corvette zno bass crank sterio cuz sound sty bose speaker beat disappoint want return charge return cost, -0.1154, 1], [fit part sound amaze super install im dodge ram laramie screw driver wire splicer end match speaker truck bam less minute, 0.8876, 5]]"
B00296S2S0,[0.1754],[3],"[[nice, construction, doesnt, fit, rockford, fosgate, punch]]","[[nice construction doesnt fit rockford fosgate punch, 0.1754, 3]]"
B003BVUKJ6,[0.6249],[5],"[[work, great]]","[[work great, 0.6249, 5]]"
B003DTLV8A,[0.7717],[5],"[[audio, quality, clear, microphone]]","[[audio quality clear microphone, 0.7717, 5]]"
B003JQLI4O,[0.4404],[5],"[[product, suppose]]","[[product suppose, 0.4404, 5]]"
B003ZUN2PW,[-0.4215],[1],"[[broke, month]]","[[broke month, -0.4215, 1]]"
B004LMCZMY,"[0.7964, -0.6647]","[5, 5]","[[jl, audio, make, amp], [as, amp, jl, audio, cant, go]]","[[jl audio make amp, 0.7964, 5], [as amp jl audio cant go, -0.6647, 5]]"
B004S55KZ8,[0.9647],[5],"[[replace, factory, speaker, cant, wait, sound, amaze, price, bass, consider, arent, amplify, anything, hear, sound, lesser, speaker, sound, wattage, hope, worry, blow, thembr, br, drawback, suppose, fit, truck, nissan, extend, cab, dont, deal, effort, dont, trust, put, vehicle, amazon, say, fit, problem, speaker, deduct, star, thoughbr, br, updatebr, install, place, stock, speaker, stick, unappealing, prevent, jump, seat, install, effort, dont, want, prefer, use, something, kind, fit, go, return, nd, pair, order, power, better]]","[[replace factory speaker cant wait sound amaze price bass consider arent amplify anything hear sound lesser speaker sound wattage hope worry blow thembr br drawback suppose fit truck nissan extend cab dont deal effort dont trust put vehicle amazon say fit problem speaker deduct star thoughbr br updatebr install place stock speaker stick unappealing prevent jump seat install effort dont want prefer use something kind fit go return nd pair order power better, 0.9647, 5]]"
B005G0M7D2,[0.8923],[4],"[[case, fit, iphone, take, snorkel, swimming, dolphin, deep, pool, drop, water, get, case, picture, video, turn, excellent, quality, complaint, sound, video, kind, expect, airtight, case, wasnt, disappoint, surprise, take, picture, water, snap, picture, surface, screen, water, button, work, home, button, find, way, use, video, feature, take, screen, shot, frame, like, recommend, product, anyone, look, way, capture, memory, water, worry]]","[[case fit iphone take snorkel swimming dolphin deep pool drop water get case picture video turn excellent quality complaint sound video kind expect airtight case wasnt disappoint surprise take picture water snap picture surface screen water button work home button find way use video feature take screen shot frame like recommend product anyone look way capture memory water worry, 0.8923, 4]]"
B005O14VGY,[0.5719],[5],[[excellent]],"[[excellent, 0.5719, 5]]"
B005SUHPVE,"[0.6249, 0.7906, 0.8439, -0.5994]","[5, 5, 5, 5]","[[quality, happy, phone, case], [complaint], [thanks], [offer, great, protection, phone]]","[[quality happy phone case, 0.6249, 5], [complaint, 0.7906, 5], [thanks, 0.8439, 5], [offer great protection phone, -0.5994, 5]]"
