B0002BG6QY,[0.0],[3],"[[work, polk, db, speaker]]","[[work polk db speaker, 0.0, 3]]"
B0002ZPUMG,"[0.4404, 0.9648, 0.4404]","[3, 5, 5]","[[perfect, fit, happy, customer, happy, heck, guy, thanks], [way, use, horn, relay]]","[[perfect fit happy customer happy heck guy thanks, 0.4404, 3], [way use horn relay, 0.9648, 5], [, 0.4404, 5]]"
B000EXS1BS,[0.7943],[4],"[[garmins, car, work, help, find, address, dont, know, find]]","[[garmins car work help find address dont know find, 0.7943, 4]]"
B000MQKVMY,[-0.5994],[3],[[problem]],"[[problem, -0.5994, 3]]"
B001QATRCA,[-0.296],[3],[[issue]],"[[issue, -0.296, 3]]"
B003D20IE0,[0.7906],[5],"[[trackball, work, well]]","[[trackball work well, 0.7906, 5]]"
B003H83XP6,[-0.2582],[1],"[[worst, bluetooth, see, work, disconnect, sound, clarity, disappoint]]","[[worst bluetooth see work disconnect sound clarity disappoint, -0.2582, 1]]"
B003MY5SK8,[0.368],[3],"[[asinbmysk, otterbox, soft, silicone, protective, skin, case, lg, km, arena, blackbr, isnt, case, otterbox, defender, case, look, beat, km, button, cover, button, side, purchase, receive, case, look, anything, picture, otterbox, model, otherwise, star, experience]]","[[asinbmysk otterbox soft silicone protective skin case lg km arena blackbr isnt case otterbox defender case look beat km button cover button side purchase receive case look anything picture otterbox model otherwise star experience, 0.368, 3]]"
B003TY2O76,"[0.0, 0.987, 0.0, 0.4641, 0.8519, 0.6369, 0.6249, -0.1102, 0.7269, 0.9288]","[5, 5, 2, 5, 5, 5, 4, 2, 5, 1]","[[sound, quality, poor, party, sound, garble], [price, great, headset, travel, car, hour, day, work, headset, well, quality, bluetooth, connection, im, sure, better, unit, price], [buy, love, use, phone], [driver, love], [perform, describe, try, headset, call, say, sound, echo, chamber, headset, awesome, everyone, speak, say, end, quality, end, excellent, sync, phone, im, technowhiz, minute, charge, headset, saybr, br, give, time, order, keep, car, love], [buy, base, review, got, lemon, sibilance, speaker, muffle, put, hand, mouth, say, sentence, caller, sound, earpiece, thing, ask, someone, end, say, chicken, taste, please, hear, iggen, aeey, ohhh, eeying, headset], [amaze, battery, life, last, week, half, good, sound, block, ear, phone, conversation, worth, penny, coworkers], [wasnt, ever, get, connect, desk, phone, work, buy, brand, box, use, wait, return]]","[[sound quality poor party sound garble, 0.0, 5], [price great headset travel car hour day work headset well quality bluetooth connection im sure better unit price, 0.987, 5], [buy love use phone, 0.0, 2], [driver love, 0.4641, 5], [perform describe try headset call say sound echo chamber headset awesome everyone speak say end quality end excellent sync phone im technowhiz minute charge headset saybr br give time order keep car love, 0.8519, 5], [buy base review got lemon sibilance speaker muffle put hand mouth say sentence caller sound earpiece thing ask someone end say chicken taste please hear iggen aeey ohhh eeying headset, 0.6369, 5], [amaze battery life last week half good sound block ear phone conversation worth penny coworkers, 0.6249, 4], [wasnt ever get connect desk phone work buy brand box use wait return, -0.1102, 2], [, 0.7269, 5], [, 0.9288, 1]]"
B003V37MMC,"[0.6808, 0.4215]","[4, 4]","[[satisfy], [kit, follow, direction, letter, week, battery, tape, come, undone, hear, rattle, inside, gps, case, save, tool, unit, work, battery, rattle]]","[[satisfy, 0.6808, 4], [kit follow direction letter week battery tape come undone hear rattle inside gps case save tool unit work battery rattle, 0.4215, 4]]"
B003VOW5WI,"[-0.5875, 0.4404, 0.5319, 0.424, -0.7288, 0.0, 0.0, -0.1793]","[1, 4, 1, 5, 1, 1, 5, 1]","[[instal, unit, improvement, cell, coverage, increase, strength, iphone, phone, im, engineer, know, instal, issue, drop, call, miss, call, house, return, im, say, wont, work, didnt, work], [work, improve, reception, day], [work, day, stop, work, call, company, sent, inside, antenna, didnt, improve, anything, return, product], [everything, advertise, went, sit, make, phone, call, bar, pole, build], [work, signal, capture, send, signal, home, dont, wont, help, amazon, give, day, figure, wont, allow, return], [reboot, return], [dont, waste, money, pay, instal, reschedule, instal, help, room, want, return, cant, recommend, installer, take, scam], [way, country, didnt, get, signal, allnot, bar, im, get, bar, post, review, turn, movlie, hotspot, onand, run, laptop, connection, friend, think, ignore, getting, signal, live, make, call, decent, internet, get, make, call, phone, live, acre, wooded, property, dont, think, help]]","[[instal unit improvement cell coverage increase strength iphone phone im engineer know instal issue drop call miss call house return im say wont work didnt work, -0.5875, 1], [work improve reception day, 0.4404, 4], [work day stop work call company sent inside antenna didnt improve anything return product, 0.5319, 1], [everything advertise went sit make phone call bar pole build, 0.424, 5], [work signal capture send signal home dont wont help amazon give day figure wont allow return, -0.7288, 1], [reboot return, 0.0, 1], [dont waste money pay instal reschedule instal help room want return cant recommend installer take scam, 0.0, 5], [way country didnt get signal allnot bar im get bar post review turn movlie hotspot onand run laptop connection friend think ignore getting signal live make call decent internet get make call phone live acre wooded property dont think help, -0.1793, 1]]"
B004763IJ8,"[0.296, 0.0]","[3, 1]","[[ok], [junk]]","[[ok, 0.296, 3], [junk, 0.0, 1]]"
B004HJ931M,[-0.4768],[5],"[[use, couple, pyle, hydra, speaker, ice, chest, sound, get, warm, problem]]","[[use couple pyle hydra speaker ice chest sound get warm problem, -0.4768, 5]]"
