1948701847,[0.0],[1],[[work]],"[[work, 0.0, 1]]"
B00004TKVD,"[0.0, 0.0]","[1, 4]","[[want, need, rooftop, antenna, work, car, include], [lithium, battery]]","[[want need rooftop antenna work car include, 0.0, 1], [lithium battery, 0.0, 4]]"
B00006JPF2,[0.6249],[5],[[work]],"[[work, 0.6249, 5]]"
B0007POE7S,[0.8925],[5],"[[look, fit, tablet, help, hold, keep, tablet, feel, light, buy, cover, different, color, want, change]]","[[look fit tablet help hold keep tablet feel light buy cover different color want change, 0.8925, 5]]"
B0013WLWMY,[0.5719],[5],"[[work, jus, perfect, headset]]","[[work jus perfect headset, 0.5719, 5]]"
B00170KUM0,[0.0516],[4],"[[product, plug, flimsy, buy, time, product, stop, work, plug, bump, unplug]]","[[product plug flimsy buy time product stop work plug bump unplug, 0.0516, 4]]"
B001I45EGC,[0.808],[2],"[[amazon, seller, great, quick, order, reply, work, fine, samsung, phone, safelink, tracfone, issue, ad, indicate, work, samsung, phone]]","[[amazon seller great quick order reply work fine samsung phone safelink tracfone issue ad indicate work samsung phone, 0.808, 2]]"
B001UGB386,[0.0],[5],"[[m, look]]","[[m look, 0.0, 5]]"
B002B3DZB0,[0.7506],[5],"[[enclosure, fit, seat, crew, cab, frontier, make, shallow, mount, subwoofer]]","[[enclosure fit seat crew cab frontier make shallow mount subwoofer, 0.7506, 5]]"
B002JTWRN8,"[0.0, 0.6908, 0.8028, 0.3612, 0.6499, 0.6249, -0.2755, 0.7841, 0.0, 0.9097]","[3, 5, 4, 5, 5, 5, 2, 5, 5, 5]","[[product, work, vehicle, transmission, way, gear, shifter], [product, fit, adjusts, variety, cup, holder, buy, car, doesnt, iphone, larger, phone, love, product, ship, day, place, order, recommend], [didnt, fit, move], [make, drive, use, phone, safer, pocket, get, phone, call, come, drive, bluetooth, set, hand, phone, use], [work, advertise, grip, cup, holder, good, grip, phonebr, id, give, star, flexibility, range], [work], [work, gps, secure], [thing, rule, need, use, gps, want, use, phone, speaker, take, second, pop, tighten, ideal, car, cup, holder, doesnt, anything, perfect]]","[[product work vehicle transmission way gear shifter, 0.0, 3], [product fit adjusts variety cup holder buy car doesnt iphone larger phone love product ship day place order recommend, 0.6908, 5], [didnt fit move, 0.8028, 4], [make drive use phone safer pocket get phone call come drive bluetooth set hand phone use, 0.3612, 5], [work advertise grip cup holder good grip phonebr id give star flexibility range, 0.6499, 5], [work, 0.6249, 5], [work gps secure, -0.2755, 2], [thing rule need use gps want use phone speaker take second pop tighten ideal car cup holder doesnt anything perfect, 0.7841, 5], [, 0.0, 5], [, 0.9097, 5]]"
B002L6GDKM,[-0.1429],[3],"[[build, quality, woofer, dont, sound, good]]","[[build quality woofer dont sound good, -0.1429, 3]]"
B002MIT5ZE,[-0.0258],[1],"[[useless, hold, gps, upside, isnt, gave, try, use, wish, buy, clip, version]]","[[useless hold gps upside isnt gave try use wish buy clip version, -0.0258, 1]]"
B003UDWK0W,[0.1263],[3],"[[yes, doesnt, breakbr, pop, breaksbr, adjustment, come, half, circlebr, lightweight, position, feel]]","[[yes doesnt breakbr pop breaksbr adjustment come half circlebr lightweight position feel, 0.1263, 3]]"
B0041F63II,[0.4404],[5],[[stuff]],"[[stuff, 0.4404, 5]]"
B004E10KI8,"[0.8439, 0.0, 0.9217]","[5, 1, 5]","[[product, connects, tone], [didnt, work, send, begin, refurb], [love, love, great, sound, portablebr, drop, floor, get, dent, work, newbr, fit, laptop, stand, wish, anything, better, get]]","[[product connects tone, 0.8439, 5], [didnt work send begin refurb, 0.0, 1], [love love great sound portablebr drop floor get dent work newbr fit laptop stand wish anything better get, 0.9217, 5]]"
