1059451522,[0.0],[3],"[[buy, family, member, mile, feed, end, user]]","[[buy family member mile feed end user, 0.0, 3]]"
1060116561,[-0.6546],[1],"[[go, buy, brand, name, verizon, waste, money]]","[[go buy brand name verizon waste money, -0.6546, 1]]"
B00000K2YR,"[-0.0258, 0.7496, 0.3818, 0.7766, 0.8126, 0.6249]","[1, 5, 4, 4, 5, 5]","[[perfect, swingarm, bag, motorcycle, mount, springd, ft, fiber, whip, fender, tab, set, headphone, purchase, perfect, need, roll, two], [product, seller], [perfect, profile, communication, dismount, operation, bmx, road], [worthless, drive, include, antenna, range, foot, go, try, antenna, see, improve, reception], [chose, midland, invehicle, use, didnt, want, cb, radio, truck, need, something, cna, use, need, radio, fit, bill, use, get, decent, shortrange, reception, use, invehicle, include, antenna, plug, v, outlet, truck, worry, battery, life, longer, range, riad, trip, connect, firestik, ii, antenna, work, expect, nice, radio, good, feature, complicate, use, go, use, v, attachment, combination, stubby, antenna, follow, mod, describe, piece, tape, connector, use, stubby, antenna, conjunction, v, power, supply, use, battery, pack, radio, allow, use, stubby, antenna, plugin, car, connector, reason, radio, lock, stubby, antenna, assume, youre, plug, car, youre, use, outboard, antenna, reason, give, star, build, pa, speaker, port, base, unit, plug, headset, get, work, pa, speaker, andor, speaker, involve, bunch, loose, wire], [cb, radio]]","[[perfect swingarm bag motorcycle mount springd ft fiber whip fender tab set headphone purchase perfect need roll two, -0.0258, 1], [product seller, 0.7496, 5], [perfect profile communication dismount operation bmx road, 0.3818, 4], [worthless drive include antenna range foot go try antenna see improve reception, 0.7766, 4], [chose midland invehicle use didnt want cb radio truck need something cna use need radio fit bill use get decent shortrange reception use invehicle include antenna plug v outlet truck worry battery life longer range riad trip connect firestik ii antenna work expect nice radio good feature complicate use go use v attachment combination stubby antenna follow mod describe piece tape connector use stubby antenna conjunction v power supply use battery pack radio allow use stubby antenna plugin car connector reason radio lock stubby antenna assume youre plug car youre use outboard antenna reason give star build pa speaker port base unit plug headset get work pa speaker andor speaker involve bunch loose wire, 0.8126, 5], [cb radio, 0.6249, 5]]"
B000167KQ0,[0.8885],[5],"[[excellent, product, price, super, fast, delivery, thanks]]","[[excellent product price super fast delivery thanks, 0.8885, 5]]"
B0002VM8QG,[0.9668],[5],"[[okay, get, home, make, sound, system, house, use, replace, cheap, sony, sub, wow, sound, love, blow, im, get, type, speaker, match, way, better, sound, system, anything, hope]]","[[okay get home make sound system house use replace cheap sony sub wow sound love blow im get type speaker match way better sound system anything hope, 0.9668, 5]]"
B000CMGJ0Q,"[0.5574, 0.0]","[5, 5]","[[aaa, order], [work]]","[[aaa order, 0.5574, 5], [work, 0.0, 5]]"
B001H4W86C,[0.9744],[4],"[[nice, size, quality, piece, deep, look, fit, knukonceptz, guage, fine, bolt, line, dig, wire, nice, touch, ive, see, rockford, fosgate, screw, down, buy, use, power, distributor, go, guage, guage, spot, amp, im, usin, reduce, go, guage, input, battery, end, way, thick, length, perfect, ill, file, side, till, thin, b, perfect, im, happy]]","[[nice size quality piece deep look fit knukonceptz guage fine bolt line dig wire nice touch ive see rockford fosgate screw down buy use power distributor go guage guage spot amp im usin reduce go guage input battery end way thick length perfect ill file side till thin b perfect im happy, 0.9744, 4]]"
B002HEDXGA,[-0.4449],[3],"[[didnt, buy, thing, im, sure, need]]","[[didnt buy thing im sure need, -0.4449, 3]]"
B002Q0W80C,[0.4404],[5],"[[sirius, radio]]","[[sirius radio, 0.4404, 5]]"
B0032GREJY,[0.9782],[5],"[[direction, little, understand, figure, get, love, tracker, boat, versa, track, innovation, great, well, wife, love]]","[[direction little understand figure get love tracker boat versa track innovation great well wife love, 0.9782, 5]]"
B003G6H558,"[0.7184, 0.6249]","[5, 4]","[[sound, great, replace, year, polk], [thing, thing, rock, clarity, price, recommend, anybody, loud]]","[[sound great replace year polk, 0.7184, 5], [thing thing rock clarity price recommend anybody loud, 0.6249, 4]]"
