9712974995,[0.6249],[4],"[[customer, service, charger, charge]]","[[customer service charger charge, 0.6249, 4]]"
B00006JPES,"[0.8643, 0.2732]","[5, 3]","[[piece, hardware, make, job, buy], [product, perfect, fit]]","[[piece hardware make job buy, 0.8643, 5], [product perfect fit, 0.2732, 3]]"
B0000ATNH3,"[0.296, 0.0]","[4, 3]","[[ok], [mediocre, antenna, decent, range]]","[[ok, 0.296, 4], [mediocre antenna decent range, 0.0, 3]]"
B000246XQE,[0.0],[1],[[work]],"[[work, 0.0, 1]]"
B0007LCMVM,[-0.1531],[1],"[[fit, sound]]","[[fit sound, -0.1531, 1]]"
B0011ULQNI,"[-0.4215, 0.0]","[1, 1]","[[didnt, meet, seller, reimburse], [turn, use, waste, moneyhad, buy]]","[[didnt meet seller reimburse, -0.4215, 1], [turn use waste moneyhad buy, 0.0, 1]]"
B001P88TOA,[0.6249],[5],"[[speaker, kickass, sound]]","[[speaker kickass sound, 0.6249, 5]]"
B001UGMTKC,"[0.5719, 0.7337, 0.2382]","[5, 4, 1]","[[husband, love, golf, cart], [little, cheap, wont, get], [buy, mount, band, ham, transceivers, flood, market, past, couple, year, purpose, work, fit, cup, holder, handle, weight, oz, radio, position, side, control, radio, clamp, radio, bottom, half, mean, using, top, half, clamp, use, bottom, foot, nonetheless, hold, radio, use, keypad, course, handle, galaxy, problem, question, work, radio, thats, design, im, satisfy]]","[[husband love golf cart, 0.5719, 5], [little cheap wont get, 0.7337, 4], [buy mount band ham transceivers flood market past couple year purpose work fit cup holder handle weight oz radio position side control radio clamp radio bottom half mean using top half clamp use bottom foot nonetheless hold radio use keypad course handle galaxy problem question work radio thats design im satisfy, 0.2382, 1]]"
B0021UAZ7K,[0.0],[1],"[[get, work]]","[[get work, 0.0, 1]]"
B002AQV51A,"[0.4215, 0.6249]","[5, 5]","[[stuff], [nice]]","[[stuff, 0.4215, 5], [nice, 0.6249, 5]]"
B002NENP8U,[-0.128],[5],"[[work, describe, make, purchase, usb, cable, flash, order, pre, flash, vehicle, type, make, mistake, research, pay, car, shop, buck, flash, buying, ]]","[[work describe make purchase usb cable flash order pre flash vehicle type make mistake research pay car shop buck flash buying , -0.128, 5]]"
B003DT4QM8,"[0.4775, -0.3716]","[5, 4]","[[battery, replacement, flawless, tool, break, operation], [difficult, replace, ipod, battery, battery, work, tool, cheap, expect, job, complete]]","[[battery replacement flawless tool break operation, 0.4775, 5], [difficult replace ipod battery battery work tool cheap expect job complete, -0.3716, 4]]"
B0047YRBW0,"[-0.128, 0.4404]","[4, 5]","[[use, cord, problem, roll, im, worry, need, backup, power, keep, phone, tablet, run]]","[[use cord problem roll im worry need backup power keep phone tablet run, -0.128, 4], [, 0.4404, 5]]"
B0047ZW46C,[0.1511],[2],[[charge]],"[[charge, 0.1511, 2]]"
B0048M7A8Q,[0.5719],[5],"[[excellent, work, year, later]]","[[excellent work year later, 0.5719, 5]]"
B004AL7B7K,"[0.0, 0.0, 0.128, -0.25]","[5, 4, 5, 5]","[[replacement, charger, work, arrive, box, package, prevent, damage, arrive, earlier, expect], [work, advertise], [advertise], [problem, month, hope, longer]]","[[replacement charger work arrive box package prevent damage arrive earlier expect, 0.0, 5], [work advertise, 0.0, 4], [advertise, 0.128, 5], [problem month hope longer, -0.25, 5]]"
B004KPLA9Q,[0.8491],[5],"[[buy, twice, lose, product, buy, time, use, oftenbr, br, yes, recommened]]","[[buy twice lose product buy time use oftenbr br yes recommened, 0.8491, 5]]"
