1060747871,[0.7906],[5],"[[product, use, fit, pocket]]","[[product use fit pocket, 0.7906, 5]]"
B0002EXF0G,[0.5859],[5],"[[yep, load, reception]]","[[yep load reception, 0.5859, 5]]"
B0002EXGOQ,[-0.0168],[3],"[[im, sure, good, kit, vehicle, doesnt, pickup, instal, din, head, unit, find, adapter, work, application, buy, metra, doesnt, work, go, frankenstein]]","[[im sure good kit vehicle doesnt pickup instal din head unit find adapter work application buy metra doesnt work go frankenstein, -0.0168, 3]]"
B000BWACX2,"[0.2732, 0.296]","[4, 3]","[[work, price, amount, time, use], [car, work, ok]]","[[work price amount time use, 0.2732, 4], [car work ok, 0.296, 3]]"
B000F8XGJO,"[0.5719, 0.8402]","[5, 5]","[[excellent, device, pick, radar, way], [amaze, radar, detector, bang, buck]]","[[excellent device pick radar way, 0.5719, 5], [amaze radar detector bang buck, 0.8402, 5]]"
B000KL4ECO,[0.296],[3],"[[work, ok]]","[[work ok, 0.296, 3]]"
B000O50VEQ,[0.5719],[5],"[[excellent, product]]","[[excellent product, 0.5719, 5]]"
B000VW8AL8,[0.9219],[4],"[[wanna, add, amp, sub, keep, stock, radio, youll, need, splicing, wire, sure, gain, pot, effect, main, speaker, output, rca, output, dont, think, volume, stock, sub, seem, way, anyway, pac, say, output, linear, k, hz, base, input, stock, radio, arent, output, example, bass, reduce, volume, protect, stock, speaker, keep, distort, happens, sub, bass, reduce, volume, believe, waaaaaay, well, stock, isnt, adding, amp, sub, aftermarket, radio, frequency, output, better, get, amp, remote, gain, control, fiddle, lot, tame, uneven, bass, response, isnt, fault, module, stock, radio, cause, trouble, dont, want, replace, factory, radio, want, add, amp, andor, sub, hack, wire, youre, gonna, need]]","[[wanna add amp sub keep stock radio youll need splicing wire sure gain pot effect main speaker output rca output dont think volume stock sub seem way anyway pac say output linear k hz base input stock radio arent output example bass reduce volume protect stock speaker keep distort happens sub bass reduce volume believe waaaaaay well stock isnt adding amp sub aftermarket radio frequency output better get amp remote gain control fiddle lot tame uneven bass response isnt fault module stock radio cause trouble dont want replace factory radio want add amp andor sub hack wire youre gonna need, 0.9219, 4]]"
B001N2789K,"[0.0, 0.6249, 0.6249]","[5, 5, 5]","[[muy, buen, producto], [work, great], [work]]","[[muy buen producto, 0.0, 5], [work great, 0.6249, 5], [work, 0.6249, 5]]"
B0031AW2UM,[0.0],[5],"[[work, intend]]","[[work intend, 0.0, 5]]"
B00408B7ZU,[0.6249],[5],[[product]],"[[product, 0.6249, 5]]"
B004HHHCAI,[0.0],[3],"[[take, charge]]","[[take charge, 0.0, 3]]"
B004LSN0GS,"[0.0, -0.2263]","[1, 1]","[[stop, work, week], [doesnt, work, id, case, phone, use]]","[[stop work week, 0.0, 1], [doesnt work id case phone use, -0.2263, 1]]"
B004USX7EE,[0.9741],[4],"[[market, cb, antenna, truck, talk, offroaders, know, recommend, firestik, look, offer, went, firestik, ii, chose, foot, length, mount, custom, installation, okay, sacrifice, bit, range, stealth, look, antenna, excellent, quality, thread, stud, mat, mount, tip, work, come, tune, swr, tune, excellent, clear, signal, come, channel, issue, firestik, ii, notice, firestik, ii, cb, antenna, make, modify, plan, antenna, mount, fabricate, come, antenna, cap, buy, black, cap, want, red, cap, drawing, attention]]","[[market cb antenna truck talk offroaders know recommend firestik look offer went firestik ii chose foot length mount custom installation okay sacrifice bit range stealth look antenna excellent quality thread stud mat mount tip work come tune swr tune excellent clear signal come channel issue firestik ii notice firestik ii cb antenna make modify plan antenna mount fabricate come antenna cap buy black cap want red cap drawing attention, 0.9741, 4]]"
B004WK529I,[0.0],[5],"[[tool, apply, material]]","[[tool apply material, 0.0, 5]]"
B004XZHY34,"[0.0, 0.704, 0.8773, 0.9381, 0.4404, 0.9613, 0.5106, 0.0, -0.6369, 0.4019, 0.4019, 0.6249, 0.6369, 0.6213]","[5, 4, 5, 5, 5, 5, 5, 4, 5, 1, 4, 5, 5, 4]","[[wish, give, confirmation, message, connect, power, understand, voice, command, battery], [work, sound, use], [day, work, clarity, understands, command, connect, iphone, limitation, anything, announces, caller, fine, try, fm, transmitter, dont, music, company, supply, phone, good, battery, life], [problem, ive, fight, xm, radio, fm, frequency], [product, come, time, expect], [work, great], [], [need, something, hand, law, older, vehicle], [think, item, speak, text, option, cant, get, info, iphone, standard], [sound, good, work, iphone, hand, calling, talk, excellent, use, meeting, conference, call], [device, buy, exception, recommend, friend], [speakerphone, use, keep, hand, wheel, use], [advertise, star, take, day, ship], [advertise, sound, battery, life, use, call, listen, podcasts, audiobooks, road, fm, transmitter, listen, radio, seldom, use, feature, build, speaker, thanadequate]]","[[wish give confirmation message connect power understand voice command battery, 0.0, 5], [work sound use, 0.704, 4], [day work clarity understands command connect iphone limitation anything announces caller fine try fm transmitter dont music company supply phone good battery life, 0.8773, 5], [problem ive fight xm radio fm frequency, 0.9381, 5], [product come time expect, 0.4404, 5], [work great, 0.9613, 5], [, 0.5106, 5], [need something hand law older vehicle, 0.0, 4], [think item speak text option cant get info iphone standard, -0.6369, 5], [sound good work iphone hand calling talk excellent use meeting conference call, 0.4019, 1], [device buy exception recommend friend, 0.4019, 4], [speakerphone use keep hand wheel use, 0.6249, 5], [advertise star take day ship, 0.6369, 5], [advertise sound battery life use call listen podcasts audiobooks road fm transmitter listen radio seldom use feature build speaker thanadequate, 0.6213, 4]]"
B0054MD4VG,[0.7845],[4],"[[grand, daughter, love]]","[[grand daughter love, 0.7845, 4]]"
B0059KTEBC,"[0.7717, 0.7579, 0.5719, -0.4767, 0.3612, 0.9279, 0.807, 0.8508, 0.4404, 0.3612, 0.5719, 0.4215, 0.296]","[5, 5, 5, 3, 5, 4, 5, 5, 5, 5, 5, 5, 3]","[[excellent, stylus], [product, please], [excellent], [work, finebr, use, ipadbr, ship, slowbr, day, turn, day, usps], [perfect], [work, good], [job, design, price, make], [mini, loop, attach, ipad, awesome, work, ipad, iphone, recommend, product], [make, life, ipads], [work, pointier, tip, exact, detail, work, figure, go, drawing, put, work, okay, draw], [ok], [pen, break], [stylus, attach, ipad]]","[[excellent stylus, 0.7717, 5], [product please, 0.7579, 5], [excellent, 0.5719, 5], [work finebr use ipadbr ship slowbr day turn day usps, -0.4767, 3], [perfect, 0.3612, 5], [work good, 0.9279, 4], [job design price make, 0.807, 5], [mini loop attach ipad awesome work ipad iphone recommend product, 0.8508, 5], [make life ipads, 0.4404, 5], [work pointier tip exact detail work figure go drawing put work okay draw, 0.3612, 5], [ok, 0.5719, 5], [pen break, 0.4215, 5], [stylus attach ipad, 0.296, 3]]"
B005QZ8BDC,[0.6486],[5],"[[buy, wall, charger, lose, ipad, work, charge, iphones, super]]","[[buy wall charger lose ipad work charge iphones super, 0.6486, 5]]"
B006H5PZ7K,"[-0.508, 0.6956, 0.4215, 0.4404, 0.6369, 0.0, 0.4215, 0.3612, 0.7159, 0.0, 0.9136]","[1, 3, 5, 5, 5, 1, 5, 4, 5, 3, 5]","[[nice], [phone, att], [love, timing, excellent, shippingpackaging], [month, start, show, wear, year, price], [please, quality], [nice, case], [fit, expect], [protect, phone, drop], [thank], [didnt, work]]","[[nice, -0.508, 1], [phone att, 0.6956, 3], [love timing excellent shippingpackaging, 0.4215, 5], [month start show wear year price, 0.4404, 5], [please quality, 0.6369, 5], [nice case, 0.0, 1], [fit expect, 0.4215, 5], [protect phone drop, 0.3612, 4], [thank, 0.7159, 5], [didnt work, 0.0, 3], [, 0.9136, 5]]"
B006UZIA60,[0.8555],[5],"[[love, horse]]","[[love horse, 0.8555, 5]]"
B006Z4441G,"[0.0772, 0.0]","[3, 1]","[[make, fell, apart, week, use], [doesnt, work]]","[[make fell apart week use, 0.0772, 3], [doesnt work, 0.0, 1]]"
B007JXR19E,[-0.2755],[2],"[[mine, come, crack, dont, think, im, go, buy, dont, recommend, anybody, buy]]","[[mine come crack dont think im go buy dont recommend anybody buy, -0.2755, 2]]"
B007RC238Q,[0.5423],[1],"[[peace, junk, quick, work, month, email]]","[[peace junk quick work month email, 0.5423, 1]]"
B00861BX7E,"[0.0, 0.296, 0.5719, 0.6369, 0.765, 0.9313]","[5, 5, 5, 5, 5, 5]","[[excelent, ], [nothing, need, days, delivery], [perfect], [excellent, product, quality, thanks], [size, charger, review, modelbr, unit, size, carry, pocket, charge, phone, walk, bulkybr, plenty, power, charge, phone, time, daybr, using, phone, city, find, way, gps, language, translation, day], [receive, unit, order, time, part, account, come, charge, reach, hour, plug, use, charge, htc, mah, recharge, hour, bought, review, give, user, expect, disappoint]]","[[excelent , 0.0, 5], [nothing need days delivery, 0.296, 5], [perfect, 0.5719, 5], [excellent product quality thanks, 0.6369, 5], [size charger review modelbr unit size carry pocket charge phone walk bulkybr plenty power charge phone time daybr using phone city find way gps language translation day, 0.765, 5], [receive unit order time part account come charge reach hour plug use charge htc mah recharge hour bought review give user expect disappoint, 0.9313, 5]]"
B008BFZYBQ,[0.0],[5],[[excelente]],"[[excelente, 0.0, 5]]"
B008KP9ZQ2,[0.6249],[5],[[work]],"[[work, 0.6249, 5]]"
B009KSF7Z6,"[0.0, 0.3612, 0.2732, 0.0]","[1, 5, 5, 4]","[[recommend], [battery, work], [battery], [battery, work, note, hold, charge, couple, day]]","[[recommend, 0.0, 1], [battery work, 0.3612, 5], [battery, 0.2732, 5], [battery work note hold charge couple day, 0.0, 4]]"
B009NWFUSI,[0.0],[2],"[[didnt, work]]","[[didnt work, 0.0, 2]]"
B009XT97P8,[0.7964],[5],"[[case, mate, iphone, made, price, phone, stay, snug, inside, drop, phone, multiple, time, stay, safe, use, case, mate, cover]]","[[case mate iphone made price phone stay snug inside drop phone multiple time stay safe use case mate cover, 0.7964, 5]]"
B00A33B2RO,[-0.3412],[2],"[[put, earbuds]]","[[put earbuds, -0.3412, 2]]"
B00A6V0AHQ,"[0.8932, -0.5233]","[5, 1]","[[perfect, need, need, set, cord, phone, prefer, buy, store, pay, love, car, charger, thanks], [cheap, break, week, use]]","[[perfect need need set cord phone prefer buy store pay love car charger thanks, 0.8932, 5], [cheap break week use, -0.5233, 1]]"
B00B46XSYY,"[0.0, 0.4927]","[5, 5]","[[please], [protect, phone, drop, brand]]","[[please, 0.0, 5], [protect phone drop brand, 0.4927, 5]]"
B00B7CRR4W,[0.0],[4],"[[need, price, afford]]","[[need price afford, 0.0, 4]]"
B00B8PEMJQ,"[0.0, 0.8399]","[5, 5]","[[work, advertise], [awesome, case, fit, snug, hold, ipod, iphone, hold, drop]]","[[work advertise, 0.0, 5], [awesome case fit snug hold ipod iphone hold drop, 0.8399, 5]]"
B00BI9AKJI,"[0.0, 0.296, 0.4404, 0.7783]","[5, 5, 5, 5]","[[ok], [muy, bien], [classy]]","[[ok, 0.0, 5], [muy bien, 0.296, 5], [classy, 0.4404, 5], [, 0.7783, 5]]"
B00BJN45GM,"[0.6369, 0.1779, 0.765]","[5, 3, 5]","[[awesome, thank], [fit, need, screen, make, screen, le, sometimes, pain, use, prefer, commuter, case, phone, well]]","[[awesome thank, 0.6369, 5], [fit need screen make screen le sometimes pain use prefer commuter case phone well, 0.1779, 3], [, 0.765, 5]]"
B00BKV3DZW,[0.5994],[5],"[[work, great, problem, month, keep, happy]]","[[work great problem month keep happy, 0.5994, 5]]"
B00BMJ5EQS,"[0.6249, 0.0]","[5, 1]","[[garbage], [arrive, time, come, package, lens, advertisement, work, iphone]]","[[garbage, 0.6249, 5], [arrive time come package lens advertisement work iphone, 0.0, 1]]"
B00C87RMMW,"[0.9599, 0.886]","[1, 5]","[[perfect, fit, love], [write, review, notice, day, case, come, apart, crease, credit, card, sit, inside, pocket, credit, card, sit, come, look, look, close, addition, quotleatherquot, scuff, corner, look, beige, color, look, cheap, cheap, thats, okay, wont, purchase, look, sturdy, case, phone, card, case, month, star, seem, fairbr, br, addition, september, pocket, credit, card, come, apart, longer, hold, card, work, piece]]","[[perfect fit love, 0.9599, 1], [write review notice day case come apart crease credit card sit inside pocket credit card sit come look look close addition quotleatherquot scuff corner look beige color look cheap cheap thats okay wont purchase look sturdy case phone card case month star seem fairbr br addition september pocket credit card come apart longer hold card work piece, 0.886, 5]]"
B00CQ8DA3S,"[0.0, 0.4902]","[5, 3]","[[im, hairstylist, buy, client, sign, name, credit, card, charge, work, week, stop, work, gone, month, buy, one, seem, work], [expect, come]]","[[im hairstylist buy client sign name credit card charge work week stop work gone month buy one seem work, 0.0, 5], [expect come, 0.4902, 3]]"
B00CQAOIIC,[0.3159],[2],"[[regret, buy, couple, reason, think, wont, care, less, say, apps, ment, year, iphone, thats, problem, second, problem, phone, sooooo, thats, switch, havent, look, phone, apps, screen, thats, thing, like, phone]]","[[regret buy couple reason think wont care less say apps ment year iphone thats problem second problem phone sooooo thats switch havent look phone apps screen thats thing like phone, 0.3159, 2]]"
B00CRQY3EY,[0.7003],[5],"[[case, price]]","[[case price, 0.7003, 5]]"
B00D2ZQ6ZI,"[-0.2011, -0.4215]","[4, 2]","[[product, simple, way, charge, device, power, go, us, aa, battery, output, power, size, usb, port, plug, device, keep, amperage, output, great, tablet, devicesbr, br, prosbr, compact, sturdybr, lead, light, indicate, amount, power, remain, indicate, chargingbr, pack, aa, battery, power, device, v, recharge, liion, chargerbr, br, consbr, lead, light, youll, want, cover, charge, night, ie, bedroombr, package, pin, iphone, cable, v, lighten, cablebr, br, overall, product, use, camp, power, failure], [broke, use]]","[[product simple way charge device power go us aa battery output power size usb port plug device keep amperage output great tablet devicesbr br prosbr compact sturdybr lead light indicate amount power remain indicate chargingbr pack aa battery power device v recharge liion chargerbr br consbr lead light youll want cover charge night ie bedroombr package pin iphone cable v lighten cablebr br overall product use camp power failure, -0.2011, 4], [broke use, -0.4215, 2]]"
B00D3Z2GI8,[0.0],[1],"[[garbage, buy]]","[[garbage buy, 0.0, 1]]"
B00D6P9F2U,[-0.5959],[1],"[[comment, read, galaxy, case, fit, pt, oblr, m, take, chance, niece, fit, contact, seller, returning, bern, go, sure, order, say, galaxy, yea, send, seller, want, put, type, film, bavk, um, case, keeping, seller, go, buy, list, see, phone, fit, snug, loose, phone, fall, niece, careful]]","[[comment read galaxy case fit pt oblr m take chance niece fit contact seller returning bern go sure order say galaxy yea send seller want put type film bavk um case keeping seller go buy list see phone fit snug loose phone fall niece careful, -0.5959, 1]]"
B00DOR7CBG,"[0.2023, 0.4404, 0.4588]","[5, 4, 4]","[[work, great, require, drop, charger, base, come, uvr, radio], [work, fine], [price]]","[[work great require drop charger base come uvr radio, 0.2023, 5], [work fine, 0.4404, 4], [price, 0.4588, 4]]"
B00E8OOGRC,[0.0],[5],"[[item, describe, delivery]]","[[item describe delivery, 0.0, 5]]"
B00EB0NNVI,[0.6697],[4],"[[use, thickness, product, see]]","[[use thickness product see, 0.6697, 4]]"
B00EFZ7TVE,[-0.2755],[1],"[[dont, know, lg, optimus, l, phone, talk, cause, didnt, fit, phone]]","[[dont know lg optimus l phone talk cause didnt fit phone, -0.2755, 1]]"
B00EJXOWBW,"[0.0, 0.9442]","[1, 5]","[[product, great, price, fit, buy, need], [cant, get, work, bubble, go, take, phone, mall, guy]]","[[product great price fit buy need, 0.0, 1], [cant get work bubble go take phone mall guy, 0.9442, 5]]"
B00EKBHBFM,[0.6369],[4],[[pink]],"[[pink, 0.6369, 4]]"
B00EVT3F1M,[0.0],[5],"[[use, run, time]]","[[use run time, 0.0, 5]]"
B00FH9B8RI,[0.7964],[5],"[[case, price]]","[[case price, 0.7964, 5]]"
B00FJYP8DG,[0.7615],[5],"[[super, cute, thin, crack]]","[[super cute thin crack, 0.7615, 5]]"
B00FS5L9D4,[0.4019],[5],"[[hold, phone, position, phone, use, glass, screen, button, record]]","[[hold phone position phone use glass screen button record, 0.4019, 5]]"
B00GLPGDZE,"[0.4404, 0.8442]","[5, 5]","[[protection, perfect, fit], [expect]]","[[protection perfect fit, 0.4404, 5], [expect, 0.8442, 5]]"
B00GRWTWB8,[-0.2263],[1],"[[stop, work]]","[[stop work, -0.2263, 1]]"
B00GU39USE,[0.6369],[5],"[[year, use, love]]","[[year use love, 0.6369, 5]]"
B00GXFNOS6,[-0.3724],[1],"[[impress, wont, buy]]","[[impress wont buy, -0.3724, 1]]"
