B0007WRQ8A,"[0.6124, 0.6808]","[5, 5]","[[yes, thank], [antenna, fit, sr, toyota, pickup, thank]]","[[yes thank, 0.6124, 5], [antenna fit sr toyota pickup thank, 0.6808, 5]]"
B0009OAP5W,[0.1406],[4],"[[headset, fail, adapter, fail, front, desk, user, wont]]","[[headset fail adapter fail front desk user wont, 0.1406, 4]]"
B000LPWFFM,[0.0],[2],"[[din, receiver, nissan, versa, receiver, deep, dash, install, look, unappealing, return, item]]","[[din receiver nissan versa receiver deep dash install look unappealing return item, 0.0, 2]]"
B0012BYOSK,[0.8338],[2],"[[im, happy, quality, wire, fuse, holder, cheap, suppose, come, amp, fuse, kit, didnt, fuse, fine, kit, fuse, advertise, say, include, packaging, didnt, fuse, holder, packaging]]","[[im happy quality wire fuse holder cheap suppose come amp fuse kit didnt fuse fine kit fuse advertise say include packaging didnt fuse holder packaging, 0.8338, 2]]"
B0013CFOBY,[-0.3071],[1],"[[speaker, horrible, picture, horn, come]]","[[speaker horrible picture horn come, -0.3071, 1]]"
B001H3ON0W,"[0.4404, -0.2755, 0.0]","[4, 3, 5]","[[make], [case, hold, galaxy, note, skin, fall, apart, month, fit, galaxy, s], [quality]]","[[make, 0.4404, 4], [case hold galaxy note skin fall apart month fit galaxy s, -0.2755, 3], [quality, 0.0, 5]]"
B001HAYP2Q,[-0.4767],[2],"[[poor, quality]]","[[poor quality, -0.4767, 2]]"
B002HQZULE,[0.1779],[2],"[[cheap, work, play, song, ipod, car]]","[[cheap work play song ipod car, 0.1779, 2]]"
B00370QJQ4,"[0.2382, -0.7876]","[3, 2]","[[amp, work, heat, fast], [loud, give, burn, go, hospital, hook, instal, inspect, audio, place, useless, overheats, minute, ride, take, replace, melt, fuse, regret, get, product, expect, sound, point, everything, hook, selector, switch, broke, get, driver, trick, sub, wattage]]","[[amp work heat fast, 0.2382, 3], [loud give burn go hospital hook instal inspect audio place useless overheats minute ride take replace melt fuse regret get product expect sound point everything hook selector switch broke get driver trick sub wattage, -0.7876, 2]]"
B003E65BGK,"[0.6249, 0.3612]","[5, 5]","[[fit], [awesome]]","[[fit, 0.6249, 5], [awesome, 0.3612, 5]]"
B003QNVFVG,[0.6369],[5],"[[cover, market, phone, screen, hand]]","[[cover market phone screen hand, 0.6369, 5]]"
B0049U40DK,[0.6597],[4],[[make]],"[[make, 0.6597, 4]]"
B004FEIXRY,[0.4927],[5],[[work]],"[[work, 0.4927, 5]]"
B004HJ3HMS,[0.4754],[5],"[[nice, radio]]","[[nice radio, 0.4754, 5]]"
B004T36GCU,[-0.2523],[1],"[[wasnt, satisfactory, quickt, o, freeze, front, camera, point, go, blend]]","[[wasnt satisfactory quickt o freeze front camera point go blend, -0.2523, 1]]"
B004V3KCJG,"[-0.4215, 0.6249]","[1, 5]","[[thing, keep, disattaching, air, vent, try, use, time, fall, vehicle, start, move, waste, money, effort], [work]]","[[thing keep disattaching air vent try use time fall vehicle start move waste money effort, -0.4215, 1], [work, 0.6249, 5]]"
B0054MVJGS,"[0.5719, 0.7717]","[5, 5]","[[work, perfect], [work, charm, thank]]","[[work perfect, 0.5719, 5], [work charm thank, 0.7717, 5]]"
B005HQ4P9O,[0.6249],[4],"[[package, price, dud, bunch]]","[[package price dud bunch, 0.6249, 4]]"
B005YW2NSQ,[0.6249],[5],[[awesome]],"[[awesome, 0.6249, 5]]"
B0060B4Q1C,[0.6369],[5],"[[use, honda, crf, l, worsk, hold, garmin, montana, tight, hold, iphone]]","[[use honda crf l worsk hold garmin montana tight hold iphone, 0.6369, 5]]"
B0064OBNRU,[0.7351],[4],"[[work, great, problem, bounce, drive, make, watch, movie, application, work]]","[[work great problem bounce drive make watch movie application work, 0.7351, 4]]"
B006K3IE36,"[0.8894, -0.6478, 0.6697]","[5, 1, 5]","[[stop, work, purchase, disappoint], [speaker, great, easy, carry, amaze, sound, device, hear, kindle, room], [love, speaker, stylish, loud, compact, look]]","[[stop work purchase disappoint, 0.8894, 5], [speaker great easy carry amaze sound device hear kindle room, -0.6478, 1], [love speaker stylish loud compact look, 0.6697, 5]]"
B007AQ2V7M,"[-0.3818, 0.8316]","[3, 5]","[[fan, rockford, make, make, quality, product, add, mastercraft, help, stock, component, jls, boy, make, difference, use, distort, volume, level, crank, sound, gain, set, installation, breeze, allen, set, screw, compare, tiny, one, use, use, year, amp, compact], [installation, difficult, try, get, screw, slot, areaunder, center, console, boat, go, store, x, get, screw, work, use, piece, plywood, mount, amp, let, say, instal, jl, speaker, life, sound]]","[[fan rockford make make quality product add mastercraft help stock component jls boy make difference use distort volume level crank sound gain set installation breeze allen set screw compare tiny one use use year amp compact, -0.3818, 3], [installation difficult try get screw slot areaunder center console boat go store x get screw work use piece plywood mount amp let say instal jl speaker life sound, 0.8316, 5]]"
B0089VO71U,"[0.4404, -0.2755, 0.9331]","[4, 2, 4]","[[wouldnt, fit, phone, slim, case], [work, nice, note, remove, case, charge, alot, floopy, slack, perfect, mm, longer, connection, keep, case, take, slack, snug, fit, come, samsung, spend, time, think, end, user, cant, use, note, case, mm, short, spring, load, base, tell, others, buy, done, mind, take, case], [item, work, remove, phone, cover, use]]","[[wouldnt fit phone slim case, 0.4404, 4], [work nice note remove case charge alot floopy slack perfect mm longer connection keep case take slack snug fit come samsung spend time think end user cant use note case mm short spring load base tell others buy done mind take case, -0.2755, 2], [item work remove phone cover use, 0.9331, 4]]"
B008DJH5HG,[0.8128],[5],"[[hold, color, fade, area, keep, phone, protect, drop, phone, case, hasnt, fail]]","[[hold color fade area keep phone protect drop phone case hasnt fail, 0.8128, 5]]"
B008GAMNBK,[0.3847],[1],"[[plug, item, car, yesterday, arrive, office, watch, record, audiovideo, frankness, see, performance, regard, quality, videobr, br, believe, quality, product, remove, amazon, website, reflect, name, amazon]]","[[plug item car yesterday arrive office watch record audiovideo frankness see performance regard quality videobr br believe quality product remove amazon website reflect name amazon, 0.3847, 1]]"
B0090UMDD8,[0.0],[5],"[[handy, house, weekend, home]]","[[handy house weekend home, 0.0, 5]]"
B009O7YKWO,[0.6249],[5],"[[fit, great, alot, longer, home, button, itouch, use, belkin, silicone, different, model, itouch, ipod, work, habit, drop, device]]","[[fit great alot longer home button itouch use belkin silicone different model itouch ipod work habit drop device, 0.6249, 5]]"
B00AIAL7GS,[0.7717],[5],"[[pick, fit]]","[[pick fit, 0.7717, 5]]"
B00AMAWZD8,[0.5719],[5],"[[daughter, love, case]]","[[daughter love case, 0.5719, 5]]"
B00B2YWKBU,[-0.4201],[3],"[[difficult, dont]]","[[difficult dont, -0.4201, 3]]"
B00B8K2NO2,[0.296],[5],"[[time, ok]]","[[time ok, 0.296, 5]]"
B00BAXZ71I,[0.1603],[5],"[[receive, battery, yesterday, im, problem, say, receive, yesterday, come, weeks, review, differs, star, noww]]","[[receive battery yesterday im problem say receive yesterday come weeks review differs star noww, 0.1603, 5]]"
B00BS3CYXY,"[-0.7096, 0.0, 0.7351, 0.802]","[1, 1, 5, 4]","[[broke, fit, phone, quality], [perfect, fit], [screen, arrive, crack], [ship, product, adhesive, value, buy]]","[[broke fit phone quality, -0.7096, 1], [perfect fit, 0.0, 1], [screen arrive crack, 0.7351, 5], [ship product adhesive value buy, 0.802, 4]]"
B00BUQSI1G,[0.4215],[5],[[nice]],"[[nice, 0.4215, 5]]"
B00BVRYB5Q,[-0.3252],[3],"[[make, mistake, fit, galaxy]]","[[make mistake fit galaxy, -0.3252, 3]]"
B00C96CMEK,[0.7906],[5],"[[case, heald, year, decide, get, case]]","[[case heald year decide get case, 0.7906, 5]]"
B00CILXESE,[0.8481],[3],"[[look, great, feel, shipping, take, monthcan, tell, make]]","[[look great feel shipping take monthcan tell make, 0.8481, 3]]"
B00CIOWI74,[0.5719],[4],"[[wife, love, phone]]","[[wife love phone, 0.5719, 4]]"
B00CWWEU82,"[0.9089, 0.5994]","[3, 5]","[[purchase, husband, father, day, love], [picture, quality, great, screen, see, player, construction, door, dvd, holder, bust, us, time, reading, scratch, disc, regular, dvd, player, love, player, concept, image, awesome, need, quality, construction, cat, return, ]]","[[purchase husband father day love, 0.9089, 3], [picture quality great screen see player construction door dvd holder bust us time reading scratch disc regular dvd player love player concept image awesome need quality construction cat return , 0.5994, 5]]"
B00CX6GOWM,[0.5791],[3],"[[ship, take, work, cant]]","[[ship take work cant, 0.5791, 3]]"
B00CXO09DY,[0.7351],[5],"[[perfect, fit]]","[[perfect fit, 0.7351, 5]]"
B00D6JNBZS,[-0.5212],[1],"[[mistake, communication, ask, case, lg, get, case, lg, difference, fit]]","[[mistake communication ask case lg get case lg difference fit, -0.5212, 1]]"
B00D8QXBWM,"[0.6249, -0.4215]","[5, 1]","[[battery, connection, broke, slide, inside, unit, begin, use, end, break, case, using, binder, clip, hold, connector, battery, charge]]","[[battery connection broke slide inside unit begin use end break case using binder clip hold connector battery charge, 0.6249, 5], [, -0.4215, 1]]"
B00DB0J0QQ,"[0.8332, 0.4854]","[5, 4]","[[fit, help, alot], [case, price, cutout, headphone, power, cord, button, top, cover, use, remote, control, function]]","[[fit help alot, 0.8332, 5], [case price cutout headphone power cord button top cover use remote control function, 0.4854, 4]]"
B00DSEGSAG,[0.6249],[5],[[get]],"[[get, 0.6249, 5]]"
B00E20UTKK,[0.177],[5],"[[product, work, took, time, pay]]","[[product work took time pay, 0.177, 5]]"
B00EYNRJOE,[-0.5571],[2],"[[keep, fall, windshield, wont, stick, dash, happy]]","[[keep fall windshield wont stick dash happy, -0.5571, 2]]"
B00F1F01BC,[0.891],[5],"[[product, great, value]]","[[product great value, 0.891, 5]]"
B00F3IJJ7E,"[0.6249, 0.6249, 0.6249, -0.8151]","[4, 5, 5, 1]","[[work, aspected], [phone, price], [phone, time, top, screen, start, crack, go, anything, thought, purchase, quality, product, mistaken, amazon, prime, shopper, time, purchase]]","[[work aspected, 0.6249, 4], [phone price, 0.6249, 5], [phone time top screen start crack go anything thought purchase quality product mistaken amazon prime shopper time purchase, 0.6249, 5], [, -0.8151, 1]]"
B00FZHWA3I,[0.9434],[5],"[[screen, protector, protect, phone, come, screen, protectora, thing, like, case, screen, blend, face, kinda, look, camera]]","[[screen protector protect phone come screen protectora thing like case screen blend face kinda look camera, 0.9434, 5]]"
B00G6H5N7Q,"[0.7191, 0.2023]","[4, 2]","[[work, fine, month, charge], [product, find, cant, wear, like, piece, hurt, ear, problem, shorter, period, wear, minute, becomes, dont, wear, day, problem, wear, againbut, hop, something, use, ride, runsbr, ideatheyre, light, sound, ear, im, werent, daughter, borrow, timesand, problem, luckbr, something, aware]]","[[work fine month charge, 0.7191, 4], [product find cant wear like piece hurt ear problem shorter period wear minute becomes dont wear day problem wear againbut hop something use ride runsbr ideatheyre light sound ear im werent daughter borrow timesand problem luckbr something aware, 0.2023, 2]]"
B00GG56JJ4,"[0.624, 0.4754, 0.5719]","[5, 5, 5]","[[excellent, product], [looking, case, hold], [nice, case]]","[[excellent product, 0.624, 5], [looking case hold, 0.4754, 5], [nice case, 0.5719, 5]]"
B00GO372EE,[0.5859],[5],[[work]],"[[work, 0.5859, 5]]"
B00GPISKOO,"[0.3252, 0.0]","[1, 1]","[[fitreturened], [dont, waste, time, less, day, hold, charge]]","[[fitreturened, 0.3252, 1], [dont waste time less day hold charge, 0.0, 1]]"
B00H89MLLM,"[0.0, 0.6863]","[1, 5]","[[arm, base, moveexpand], [buy, replace, dashboard, phone, mount, well, doesnt, touch, nexus, button, windshield, accord, work, fallen, cause, damage, phone, something, need, hand, put, phone, take]]","[[arm base moveexpand, 0.0, 1], [buy replace dashboard phone mount well doesnt touch nexus button windshield accord work fallen cause damage phone something need hand put phone take, 0.6863, 5]]"
