B0007WRQOO,"[0.4404, 0.5719]","[5, 5]","[[work, perfect], [ship, install]]","[[work perfect, 0.4404, 5], [ship install, 0.5719, 5]]"
B000K52CY2,[0.7351],[5],"[[perfect, fit, price]]","[[perfect fit price, 0.7351, 5]]"
B000TMI17I,"[0.6249, 0.0, -0.5994]","[5, 3, 2]","[[cord, fragile], [item, work], [year, audio, quality, good, belkin, brand, scosog, retractor, spring, broke, use, useless]]","[[cord fragile, 0.6249, 5], [item work, 0.0, 3], [year audio quality good belkin brand scosog retractor spring broke use useless, -0.5994, 2]]"
B0016BVDIK,"[-0.4215, 0.0, 0.3252, -0.8481]","[1, 1, 1, 1]","[[didnt, work, waste, money], [device, break, month, use, turn], [work], [half, star, get, u, pay, static, crazy, aux, cord, sooo, short, remote, crap, waste, time, ]]","[[didnt work waste money, -0.4215, 1], [device break month use turn, 0.0, 1], [work, 0.3252, 1], [half star get u pay static crazy aux cord sooo short remote crap waste time , -0.8481, 1]]"
B002HMC1R4,[0.5719],[5],"[[match, perfect, son, nabi]]","[[match perfect son nabi, 0.5719, 5]]"
B002RI7PGA,[0.431],[3],"[[nice, control, bright, bendy, neck, sturdy, clip, handy, slot, plug, doesnt, come, cord, search, hour, try, find, plug, find]]","[[nice control bright bendy neck sturdy clip handy slot plug doesnt come cord search hour try find plug find, 0.431, 3]]"
B002RZLT4M,"[-0.3865, 0.6486, 0.6249, -0.4242]","[2, 1, 5, 2]","[[buy, love, profile, nonslip, pad, disintegrate, cracking, fall, apart, crack, break, hand, touch, problem, cover, warranty], [doesnt, work, good, doesnt, stick, dash], [use, day, work], [pad, doesnt, work, cars, car, stuck, place, sun, rip, upin, place, fell, apart]]","[[buy love profile nonslip pad disintegrate cracking fall apart crack break hand touch problem cover warranty, -0.3865, 2], [doesnt work good doesnt stick dash, 0.6486, 1], [use day work, 0.6249, 5], [pad doesnt work cars car stuck place sun rip upin place fell apart, -0.4242, 2]]"
B002UP98BA,[0.7469],[3],"[[nice, short, mono, hand, jack]]","[[nice short mono hand jack, 0.7469, 3]]"
B004XD49Z2,[0.8075],[5],"[[buy, pack, bundle, lexerd, panasonic, lumix, dmcfh, f, truevue, digital, camera, screen, protector, protect, lumix, camera, screen, pantech, phone, screen, benefit, buy, pack, include, cot, use, pair, handle, screen, protector, hand, damage]]","[[buy pack bundle lexerd panasonic lumix dmcfh f truevue digital camera screen protector protect lumix camera screen pantech phone screen benefit buy pack include cot use pair handle screen protector hand damage, 0.8075, 5]]"
B005K0J3MQ,"[0.8074, 0.7906, 0.6124, -0.3412]","[5, 5, 4, 5]","[[instal, shield, phone, say, thing, durability], [gift, idea], [product, service, zagg], [nice, product, wet, wait, time, use, phone, seem, ok]]","[[instal shield phone say thing durability, 0.8074, 5], [gift idea, 0.7906, 5], [product service zagg, 0.6124, 4], [nice product wet wait time use phone seem ok, -0.3412, 5]]"
B005M0J3DI,"[0.6249, 0.5994]","[5, 5]","[[awesome], [work, great, phone, charge, port, broken]]","[[awesome, 0.6249, 5], [work great phone charge port broken, 0.5994, 5]]"
B006YDFIC2,[-0.4194],[2],"[[nice, difficult, remove, phone]]","[[nice difficult remove phone, -0.4194, 2]]"
B008IB8R5I,"[0.923, 0.6369]","[5, 5]","[[speaker, sound, happy, purchase], [sound]]","[[speaker sound happy purchase, 0.923, 5], [sound, 0.6369, 5]]"
B008IUV50S,"[0.2732, 0.7351]","[5, 5]","[[product, buying, name, brand, store, work, item, come], [need, work]]","[[product buying name brand store work item come, 0.2732, 5], [need work, 0.7351, 5]]"
B008RBSXJO,"[0.5994, 0.0, -0.7579, 0.836, 0.802, 0.4404, 0.6249]","[5, 5, 2, 5, 5, 4, 5]","[[look, lot, seem, price, im, happy], [work, advertise, cause, radio, interference, use, twoway, radio, listen, fm, radio, dont, buy, problem, usb, charger, design], [ship, describe], [work, deliver, promptlybr, satisfy, product], [charge, phone, time, recomment, anyone, get], [car, charger, family, friend]]","[[look lot seem price im happy, 0.5994, 5], [work advertise cause radio interference use twoway radio listen fm radio dont buy problem usb charger design, 0.0, 5], [ship describe, -0.7579, 2], [work deliver promptlybr satisfy product, 0.836, 5], [charge phone time recomment anyone get, 0.802, 5], [car charger family friend, 0.4404, 4], [, 0.6249, 5]]"
B009K62NQY,[0.886],[5],"[[love, protect, iphone]]","[[love protect iphone, 0.886, 5]]"
B009N72TAA,"[0.6249, 0.0, -0.012, 0.7906]","[5, 5, 2, 5]","[[disappoint, life, product, charger, start, end, way], [product, quality, buy], [doesnt, everybody, need], [backup]]","[[disappoint life product charger start end way, 0.6249, 5], [product quality buy, 0.0, 5], [doesnt everybody need, -0.012, 2], [backup, 0.7906, 5]]"
B00BJUE8JO,"[0.8176, 0.8957, 0.6369, 0.3612]","[5, 5, 5, 5]","[[holder, secure, hold, phone, tight, samsung, note, otterbox, case, device, hold], [car, mount], [work, state, use, digital, wireless, rear, view, cameramonitor], [phone, mount, ive, own, sturdy, fit, nexus, buy]]","[[holder secure hold phone tight samsung note otterbox case device hold, 0.8176, 5], [car mount, 0.8957, 5], [work state use digital wireless rear view cameramonitor, 0.6369, 5], [phone mount ive own sturdy fit nexus buy, 0.3612, 5]]"
B00C1BPLAA,[0.4215],[5],"[[save, money]]","[[save money, 0.4215, 5]]"
B00C96CGN2,"[-0.7899, 0.765]","[2, 5]","[[excellent, protection, drop, phone, time, keep, protect], [screen, protector, didnt, fit, part, case, doesnt, shell]]","[[excellent protection drop phone time keep protect, -0.7899, 2], [screen protector didnt fit part case doesnt shell, 0.765, 5]]"
B00CMS5SUU,[-0.5023],[5],"[[screen, camera, protecter, suck, pop, instal, screen, protecter, stick, phone, water, resistant, took, drill, carve, aux, port, fit, everything]]","[[screen camera protecter suck pop instal screen protecter stick phone water resistant took drill carve aux port fit everything, -0.5023, 5]]"
B00CZEVTCW,[0.6249],[5],"[[phone, case]]","[[phone case, 0.6249, 5]]"
B00DGAGC8U,[0.5719],[5],"[[happy, want, get, quick]]","[[happy want get quick, 0.5719, 5]]"
B00DOR94MQ,[0.4404],[5],[[go]],"[[go, 0.4404, 5]]"
B00E3EX52O,[0.707],[5],"[[nice, recommend]]","[[nice recommend, 0.707, 5]]"
B00ECEYBUK,[0.6249],[3],"[[case, work, unless, take, pic, flash, get, hue, picture]]","[[case work unless take pic flash get hue picture, 0.6249, 3]]"
B00EIQSZEK,[-0.5267],[5],"[[sub, hurt, loud]]","[[sub hurt loud, -0.5267, 5]]"
B00EXPFGB6,"[0.3612, 0.8859]","[5, 5]","[[thank], [product, need, cell, phone, gift, everyone, love, perfect, gift, delivery, happy, buyer]]","[[thank, 0.3612, 5], [product need cell phone gift everyone love perfect gift delivery happy buyer, 0.8859, 5]]"
B00F147IC8,"[0.5927, 0.0]","[3, 3]","[[dont, price], [cord, charge]]","[[dont price, 0.5927, 3], [cord charge, 0.0, 3]]"
B00FAUPDJ8,[0.4052],[4],"[[case, get, compliment, provide, protection, fall, crack, throw, overall, super, drop, phone, ton]]","[[case get compliment provide protection fall crack throw overall super drop phone ton, 0.4052, 4]]"
B00G9FVWV6,[0.3252],[1],"[[dont, waste, money, glitchy, date]]","[[dont waste money glitchy date, 0.3252, 1]]"
B00GC6WT6O,[0.5719],[5],"[[perfect, allways]]","[[perfect allways, 0.5719, 5]]"
B00GJT0KXI,[0.9842],[4],"[[bit, phone, work, seem, quality, rubber, part, case, nice, thickness, feel, drop, wont, break, recommend, friend]]","[[bit phone work seem quality rubber part case nice thickness feel drop wont break recommend friend, 0.9842, 4]]"
B00GNN64FI,[-0.5994],[5],"[[complaint, item, describe, arrive]]","[[complaint item describe arrive, -0.5994, 5]]"
B00GODI73O,[0.3612],[5],"[[case, picture, deliver]]","[[case picture deliver, 0.3612, 5]]"
