B0007XPK2I,[0.6249],[5],"[[sound, great]]","[[sound great, 0.6249, 5]]"
B000I2HAVW,[0.4019],[3],"[[kit, customer, support, aggravate]]","[[kit customer support aggravate, 0.4019, 3]]"
B000KKXQCE,[0.7351],[4],"[[perfect, fit]]","[[perfect fit, 0.7351, 4]]"
B000O3XT4W,"[0.7269, -0.4168, 0.836, 0.4404]","[5, 2, 5, 1]","[[speaker, sound, awsome, bass], [seem, sound, hook, watt, amp, put, rms, power, last, minute, youre, run, power, cheap, amp], [buy, week, blew, item, isnt, return, wouldnt, recommend, purchase, worth, price], [stuff, price]]","[[speaker sound awsome bass, 0.7269, 5], [seem sound hook watt amp put rms power last minute youre run power cheap amp, -0.4168, 2], [buy week blew item isnt return wouldnt recommend purchase worth price, 0.836, 5], [stuff price, 0.4404, 1]]"
B000S5Q9CA,"[0.6249, 0.7096, -0.4767, 0.4927, 0.4404, 0.3818, 0.0, 0.3612, 0.5719, 0.9108, 0.2732, 0.296, -0.8341, 0.5574, -0.3497, 0.3612, -0.2732]","[5, 5, 1, 5, 4, 5, 4, 5, 5, 5, 5, 5, 1, 4, 1, 5, 5]","[[quality, car, charger, happy], [work, nexus], [car, charger, smartphone, charge, ive, purchase, include, duracell, charge], [excellent, charger, juices, phone, time], [ok], [bought, car], [need, car, charger, buy, wife, car, ok, mine, piece, junk, come, plug, bent, come, insert, mold, plug, chargei, hold, charge, phone, plug, work, phone], [unit, machine, inform, workbr, br, toss], [havent, try, hop, fine], [bought, past, year, compare, bunch, charger, ive, buy, price, buy, work, today, start, connection, phone, time, deal, issue, decide, die, went, bought, replay, theyre, cheap, coil, stretch, time, need, stretch, side, vehicle, im, use, gps, navigate, cord, stay, phone, car, outlet, cord, thick, observation, end, crack, splitting, thinner, cord, charge, speed, isnt, absoulte, fastest, ive, see, keep, phone, charge, percentage, stationary, use, gps, us, lot, power, im, surprise, idle, seems, charge, phone, hour, overall, charger, price, itll, year, notice, issue, assume, take, care], [rapidcharge, allow, use, gpsnavigation, waze, drawing, battery, oem, charger, keep, drawdown, use, waze, vehicle], [awesome], [thank], [car, charger, cell, phone, us, microusb, coil, doesnt, get, place, stretch, need, indicator, charger, plug, time, think, plug, wasnt, charge, rate, bought, maybe, year, theyve, work, advertise], [excellent, power, adapter, charge, phone, faster, one], [stop, charge, couple, month, car, charger, ive, stop, work, annoying, waste, money]]","[[quality car charger happy, 0.6249, 5], [work nexus, 0.7096, 5], [car charger smartphone charge ive purchase include duracell charge, -0.4767, 1], [excellent charger juices phone time, 0.4927, 5], [ok, 0.4404, 4], [bought car, 0.3818, 5], [need car charger buy wife car ok mine piece junk come plug bent come insert mold plug chargei hold charge phone plug work phone, 0.0, 4], [unit machine inform workbr br toss, 0.3612, 5], [havent try hop fine, 0.5719, 5], [bought past year compare bunch charger ive buy price buy work today start connection phone time deal issue decide die went bought replay theyre cheap coil stretch time need stretch side vehicle im use gps navigate cord stay phone car outlet cord thick observation end crack splitting thinner cord charge speed isnt absoulte fastest ive see keep phone charge percentage stationary use gps us lot power im surprise idle seems charge phone hour overall charger price itll year notice issue assume take care, 0.9108, 5], [rapidcharge allow use gpsnavigation waze drawing battery oem charger keep drawdown use waze vehicle, 0.2732, 5], [awesome, 0.296, 5], [thank, -0.8341, 1], [car charger cell phone us microusb coil doesnt get place stretch need indicator charger plug time think plug wasnt charge rate bought maybe year theyve work advertise, 0.5574, 4], [excellent power adapter charge phone faster one, -0.3497, 1], [stop charge couple month car charger ive stop work annoying waste money, 0.3612, 5], [, -0.2732, 5]]"
B001JEK0BU,[0.8463],[4],"[[battery, arrive, turn, phone, buy, battery, break, bought, gzone, model, battery, work, thicker, use, charging, station, belt, clip, charge, plug, wire, price, shipping, keep, outage, go, camp, please, note, phone, labrador, retriever]]","[[battery arrive turn phone buy battery break bought gzone model battery work thicker use charging station belt clip charge plug wire price shipping keep outage go camp please note phone labrador retriever, 0.8463, 4]]"
B001QN83WM,[0.3818],[5],"[[use, hold, credit, card, license]]","[[use hold credit card license, 0.3818, 5]]"
B002Q0W82A,[0.0],[1],"[[work, shut, doesnt, work]]","[[work shut doesnt work, 0.0, 1]]"
B002TUTL8Q,[0.5719],[5],[[excellent]],"[[excellent, 0.5719, 5]]"
B0036ORN34,[0.6249],[5],"[[work, awesome, gm, car, aux, plug, front]]","[[work awesome gm car aux plug front, 0.6249, 5]]"
B003D2FOOE,"[0.9176, 0.1901]","[5, 1]","[[buy, mp, player, buy, yard, sale, time, didnt, work, dead, battery, hook, player, lit, find, lot, good, tune, work, thank], [cord, fit, mp, player, wouldnt, connect, computer, wall, outlet, plug]]","[[buy mp player buy yard sale time didnt work dead battery hook player lit find lot good tune work thank, 0.9176, 5], [cord fit mp player wouldnt connect computer wall outlet plug, 0.1901, 1]]"
