B00012O6QQ,[0.0],[5],"[[price, cant, beat, look, manufacture, stereo, update, software, feature]]","[[price cant beat look manufacture stereo update software feature, 0.0, 5]]"
B0002BEUYO,"[0.1436, 0.0]","[1, 2]","[[item, receive, work, pay, installer, something, work, lose, ], [work, wait]]","[[item receive work pay installer something work lose , 0.1436, 1], [work wait, 0.0, 2]]"
B000FHAXPA,[0.9354],[5],"[[choice, thought, need, shallow, subwoofer, believe, inch, deep, item, great, bass, use, else, price, couldnt, pas]]","[[choice thought need shallow subwoofer believe inch deep item great bass use else price couldnt pas, 0.9354, 5]]"
B000G2M5FK,[0.9542],[5],"[[order, non, amplify, version, fit, inch, tube, boat, compartment, get, inch, power, tube, mistake, go, installation, time, restraint, instal, connect, event, output, tube, gainbass, adjustment, amplifier, expect, go, protection, mode, surprise, work, bass, kick, miss, add, power, im, keep, bridge, cruiser, interior, exterior, zone, bass, response, vessel, love, inch, fit, installation, simple, add, power, connection, didnt, need, save, trouble, cut, fiberglass, sub, speaker, room, kicker, box]]","[[order non amplify version fit inch tube boat compartment get inch power tube mistake go installation time restraint instal connect event output tube gainbass adjustment amplifier expect go protection mode surprise work bass kick miss add power im keep bridge cruiser interior exterior zone bass response vessel love inch fit installation simple add power connection didnt need save trouble cut fiberglass sub speaker room kicker box, 0.9542, 5]]"
B000KL12R4,[0.5719],[5],"[[fit, perfect]]","[[fit perfect, 0.5719, 5]]"
B0015F0A8G,[-0.3182],[5],[[lose]],"[[lose, -0.3182, 5]]"
B0029YDXHM,[0.2732],[1],"[[phone, trash, bougth, tobuse, country, suposed, b, unlock, surprise, didn, work]]","[[phone trash bougth tobuse country suposed b unlock surprise didn work, 0.2732, 1]]"
B002AR5XIK,"[0.7684, -0.4939, -0.4497]","[5, 4, 2]","[[use, end, cheap, shield, pull, loose], [replace, onebr, end, slide, get, gave, soundbr, get], [sound, compare, cord, radio, shack, year, use, cord, loses, connectivity, glue, hold, cap, monster, logo, longer, hold, place, keep, cord, car, time]]","[[use end cheap shield pull loose, 0.7684, 5], [replace onebr end slide get gave soundbr get, -0.4939, 4], [sound compare cord radio shack year use cord loses connectivity glue hold cap monster logo longer hold place keep cord car time, -0.4497, 2]]"
B002H9LNGW,[-0.4215],[2],"[[waste, money, use, item, case]]","[[waste money use item case, -0.4215, 2]]"
B003NB5120,[0.7096],[5],"[[product, recommend]]","[[product recommend, 0.7096, 5]]"
B003YCNEZ4,[0.5719],[5],[[excellent]],"[[excellent, 0.5719, 5]]"
