B00000J0IT,[0.6115],[5],"[[ship, happy]]","[[ship happy, 0.6115, 5]]"
B0009204RI,[0.6908],[4],"[[radar, detector, save, time]]","[[radar detector save time, 0.6908, 4]]"
B000U0LYHS,[0.5719],[5],"[[battery, work, perfect, size]]","[[battery work perfect size, 0.5719, 5]]"
B0011UNTYC,"[0.2732, 0.7462, 0.4215]","[4, 5, 5]","[[work], [lose, happy, replacement, thanks]]","[[work, 0.2732, 4], [lose happy replacement thanks, 0.7462, 5], [, 0.4215, 5]]"
B001QBG614,[0.296],[3],"[[ok, product, cheap, tape, mount, need, grounding]]","[[ok product cheap tape mount need grounding, 0.296, 3]]"
B00200K1X4,"[0.5719, -0.4215]","[5, 5]","[[instal, ford, mustang, v, shaker, amp, instruction, bite, terse, accurate, use, wire, subwoofer, harness, main, amp, powerbr, br, blue, wire, metra, harness, blue, wire, radio, harness, bluered, wire, axxess, get, wire, togetherbr, br, bluewhite, wire, subwoofer, harness, wire, bluewhite, wire, axxessbr, br, black, groundbr, br, pop], [perfect, upgrade, need]]","[[instal ford mustang v shaker amp instruction bite terse accurate use wire subwoofer harness main amp powerbr br blue wire metra harness blue wire radio harness bluered wire axxess get wire togetherbr br bluewhite wire subwoofer harness wire bluewhite wire axxessbr br black groundbr br pop, 0.5719, 5], [perfect upgrade need, -0.4215, 5]]"
B002IT0V96,"[0.2732, 0.6249]","[4, 5]","[[work], [work, great]]","[[work, 0.2732, 4], [work great, 0.6249, 5]]"
B00365E1H4,[0.9668],[5],"[[buy, unit, trip, carribeans, carnival, cruise, ship, performance, perfect, intentbr, communication, flawless, front, ship, aft, ship, dead, spot, party, stay, communication, othersbr, use, excursion, couple, mile, shore, performance, amaze, group, shorebr, please, purchase, thanks, amazon]]","[[buy unit trip carribeans carnival cruise ship performance perfect intentbr communication flawless front ship aft ship dead spot party stay communication othersbr use excursion couple mile shore performance amaze group shorebr please purchase thanks amazon, 0.9668, 5]]"
B003GSLDR2,[0.8519],[5],"[[work, great, work]]","[[work great work, 0.8519, 5]]"
B003Q54V88,[0.0],[3],"[[work, get, watch]]","[[work get watch, 0.0, 3]]"
B00466R0V6,[-0.2924],[2],"[[im, sorry]]","[[im sorry, -0.2924, 2]]"
B004O01NOO,[0.9759],[1],"[[theee, absolute, worst, speaker, get, make, mistake, blow, bunch, money, sty, thing, distort, crazy, sound, blow, got, instal, yesterday, tell, gonna, happen, way, sound, turn, crazy, infinity, kappa, sound, waaaayy, better, half, price, favor, buy, kicker, k, speaker, sound, amaze, amaze, midbass, great, high, depends, yu, stereoshops, owner, infinity, kappa, well, kicker, waaay, well, kappa, crisp, sounding, speaker, dont, distort, sound, cheap, compare, kappa, amp, havent, hook, amp, im, go, switch, kicker, cuz, make, sure, yu, get, amp, kicker, k, havent, heard, yu, need, get, amp, yu, wanna, hear, baby, theyre]]","[[theee absolute worst speaker get make mistake blow bunch money sty thing distort crazy sound blow got instal yesterday tell gonna happen way sound turn crazy infinity kappa sound waaaayy better half price favor buy kicker k speaker sound amaze amaze midbass great high depends yu stereoshops owner infinity kappa well kicker waaay well kappa crisp sounding speaker dont distort sound cheap compare kappa amp havent hook amp im go switch kicker cuz make sure yu get amp kicker k havent heard yu need get amp yu wanna hear baby theyre, 0.9759, 1]]"
B004VN9KLW,[0.5267],[1],"[[work, jeep, liberty]]","[[work jeep liberty, 0.5267, 1]]"
B004XJLOXQ,[0.4754],[5],[[satisfy]],"[[satisfy, 0.4754, 5]]"
B005QAV6FC,[0.807],[5],"[[order, middle, schooler, need, school, nice, looking, work, order, pair, home, use, use, laptop, ipad]]","[[order middle schooler need school nice looking work order pair home use use laptop ipad, 0.807, 5]]"
B005VPQTUO,[0.6249],[5],"[[work, great, sturdy]]","[[work great sturdy, 0.6249, 5]]"
B006ARYDK0,[-0.5867],[1],"[[make, mistake, buy, phone]]","[[make mistake buy phone, -0.5867, 1]]"
B0072LB27U,"[0.6249, -0.1078, 0.4404]","[5, 2, 5]","[[awesome, product, fast, arrival], [return, refund], [amazon, lie, fit, chevy, impala, brother, law, instal, car, cut, stuff, order, fit, freeze, lot, bluetooth, doesnt, work, dont, purchase, item, save, money, buy, something]]","[[awesome product fast arrival, 0.6249, 5], [return refund, -0.1078, 2], [amazon lie fit chevy impala brother law instal car cut stuff order fit freeze lot bluetooth doesnt work dont purchase item save money buy something, 0.4404, 5]]"
B007OJVVFS,"[0.7778, 0.8934]","[5, 5]","[[stylus, own, order, buy], [problem, price, pack, work, fine, phone, tablet, happy, purchase]]","[[stylus own order buy, 0.7778, 5], [problem price pack work fine phone tablet happy purchase, 0.8934, 5]]"
B0081V55SM,"[0.0, 0.4215, 0.8074, 0.9844, 0.4144, 0.9524, 0.1779, 0.4215, -0.4767, 0.4754, 0.2838, 0.4404, -0.4404, 0.1901, 0.6369, 0.0, -0.296, -0.069, 0.3612, 0.6249, 0.8807, 0.9397, -0.25]","[5, 4, 5, 3, 5, 5, 2, 4, 2, 5, 3, 4, 5, 3, 5, 3, 2, 1, 5, 5, 4, 4, 5]","[[work], [thing, lose, misplace, give, reason, buy, ], [price, mini, great, smaller, hand], [satisfy], [device, phone, tablet, need, cord, allow, remain, anchor, device, minimize, lose, stylus], [workes], [stylusbeing, retire, afford], [theyre, cute, work, fine, give, family, member, love], [nice], [misplace, stylus, hand], [damage], [product, last, day], [dont, waste, money, crap], [gift], [stylus, come, break, wont, buy], [updatebr, yesterday, love, im, say, thesebr, today, plug, attache, phone, earphone, jack, broke, phone, yep, plug, fell, apart, leave, break, nub, phone, please, see, picbr, difficult, get, phone, try, plier, chip, piece, plug, come, make, area, stick, phone, grab, get, try, raise, edge, plug, screwdriver, terrify, get, lose, ability, listen, music, earphone, gahhbr, disappoint, gadget, come, kind, risk, rat, star, yesterday, need, bring, problem, rate, star, think, idea, plug, metal, less, riskybr, br, wasnt, sure, go, feel, thesebr, br, finger, clumsy, ever, got, smart, phone, ive, rely, use, voice, text, feature, text, disturb, people, price, bundle, mini, capacitive, stylus, stylus, pen, give, trybr, br, work, great, texting, word, friend, maneuver, moto, g, phone, fit, earphone, plug, storagebr, br, downside, see, longer, stretchy, cord, store, earphone, jack, need, use, remove, replace, done, id, stretchy, cord, use, attach, forget, sort, dangles, phone, tail, longer, tuck, phone, coverbr, br, update, want, say, guy, get, annoy, dangle, accurate, texting, seen, review, talk, color, come, problem, im, thrill, something, handy, price, order, one, arrive, try, tooke, tail, longer, tuck, phone, coverbr, br, update, want, say, guy, get, annoy, dangle, accurate, texting, seen, review, talk, color, come, problem, im, thrill, something, handy, price, order, one, arrive, try], [get, sooner, expect, meet, expectation, think, buy, child, colorfuli, recommend, child, cell, phone], [comment], [nice, product, use, smartphones, tablet, screen], [product, put, end, phone, n, phone, type, stay, touch, screen, case, good, purchase, give, people], [break, phone, thanks], [work, great]]","[[work, 0.0, 5], [thing lose misplace give reason buy , 0.4215, 4], [price mini great smaller hand, 0.8074, 5], [satisfy, 0.9844, 3], [device phone tablet need cord allow remain anchor device minimize lose stylus, 0.4144, 5], [workes, 0.9524, 5], [stylusbeing retire afford, 0.1779, 2], [theyre cute work fine give family member love, 0.4215, 4], [nice, -0.4767, 2], [misplace stylus hand, 0.4754, 5], [damage, 0.2838, 3], [product last day, 0.4404, 4], [dont waste money crap, -0.4404, 5], [gift, 0.1901, 3], [stylus come break wont buy, 0.6369, 5], [updatebr yesterday love im say thesebr today plug attache phone earphone jack broke phone yep plug fell apart leave break nub phone please see picbr difficult get phone try plier chip piece plug come make area stick phone grab get try raise edge plug screwdriver terrify get lose ability listen music earphone gahhbr disappoint gadget come kind risk rat star yesterday need bring problem rate star think idea plug metal less riskybr br wasnt sure go feel thesebr br finger clumsy ever got smart phone ive rely use voice text feature text disturb people price bundle mini capacitive stylus stylus pen give trybr br work great texting word friend maneuver moto g phone fit earphone plug storagebr br downside see longer stretchy cord store earphone jack need use remove replace done id stretchy cord use attach forget sort dangles phone tail longer tuck phone coverbr br update want say guy get annoy dangle accurate texting seen review talk color come problem im thrill something handy price order one arrive try tooke tail longer tuck phone coverbr br update want say guy get annoy dangle accurate texting seen review talk color come problem im thrill something handy price order one arrive try, 0.0, 3], [get sooner expect meet expectation think buy child colorfuli recommend child cell phone, -0.296, 2], [comment, -0.069, 1], [nice product use smartphones tablet screen, 0.3612, 5], [product put end phone n phone type stay touch screen case good purchase give people, 0.6249, 5], [break phone thanks, 0.8807, 4], [work great, 0.9397, 4], [, -0.25, 5]]"
B00869Q3BC,[0.8908],[5],"[[arrive, describe, work, valuebr, recommend]]","[[arrive describe work valuebr recommend, 0.8908, 5]]"
B008BL8FI4,"[0.9125, 0.6808]","[5, 4]","[[like, phone, lot, move, lglc, love, slide, qwerty, board, issue, get, husband, lg, flip, phone, disappoint, model], [use, phone, year, wantedbr, br, use, cell, emergency, use, call, dont, pay, use, land, line, use, cell, web, search, wont, address, issue, say, phone, qwerty, pad, easy, texting, use, touch, screen, take, photo, performs, document, child, birthday, etc, buy, tracphone, minute, store, use, phonebr, br, qualm, use, screen, show, place, calendaralarmaddress, book, wherever, instead, let, choose, issue, problembr, br, phone]]","[[like phone lot move lglc love slide qwerty board issue get husband lg flip phone disappoint model, 0.9125, 5], [use phone year wantedbr br use cell emergency use call dont pay use land line use cell web search wont address issue say phone qwerty pad easy texting use touch screen take photo performs document child birthday etc buy tracphone minute store use phonebr br qualm use screen show place calendaralarmaddress book wherever instead let choose issue problembr br phone, 0.6808, 4]]"
B008DCTMUQ,[0.2732],[5],[[wirks]],"[[wirks, 0.2732, 5]]"
B0094CX3BI,"[0.0, 0.9709]","[5, 5]","[[like, lot, yes, review, state, time, become, year, take, care, thing, thing, wish, trim, phone, white, clear, white, iphone, side, nice, provide, protection]]","[[like lot yes review state time become year take care thing thing wish trim phone white clear white iphone side nice provide protection, 0.0, 5], [, 0.9709, 5]]"
B0094JJ5EK,[0.0],[1],"[[doesnt, hold, charge]]","[[doesnt hold charge, 0.0, 1]]"
B0097MF0PC,[-0.8957],[1],"[[case, material, use, make, screen, cover, fall, apart, separate, case, put, time, product]]","[[case material use make screen cover fall apart separate case put time product, -0.8957, 1]]"
B0098FKKPI,"[0.7178, 0.9312, 0.52]","[4, 5, 4]","[[case, drop, time, scratch, look, nice, sleek, black], [quality, great, protection, good, better, speck, case, love], [fit, iphone, last, problem]]","[[case drop time scratch look nice sleek black, 0.7178, 4], [quality great protection good better speck case love, 0.9312, 5], [fit iphone last problem, 0.52, 4]]"
B009D4GO54,[0.9707],[5],"[[mpero, kyocera, hydro, c, pack, screen, protector, something, decide, grab, kyocera, hydro, c, phone, protect, bought, amazonthe, time, delivery, spot, come, house, somewwhere, evening, time, go, downstairs, saw, sit, cousin, speaker, year, cousin, point, package, get, ini, happy, screen, protector, work, advertise, one, kyocera, hydros, protect, screenwise, whole, body, unitthese, screen, protector, install, phone, didnt, take, like, thing, gripe, air, bubbleswhenever, try, place, air, get, side, somehow, bubble, kycera, phone, move, le, air, device, good, need, case, phone, theyll, protect]]","[[mpero kyocera hydro c pack screen protector something decide grab kyocera hydro c phone protect bought amazonthe time delivery spot come house somewwhere evening time go downstairs saw sit cousin speaker year cousin point package get ini happy screen protector work advertise one kyocera hydros protect screenwise whole body unitthese screen protector install phone didnt take like thing gripe air bubbleswhenever try place air get side somehow bubble kycera phone move le air device good need case phone theyll protect, 0.9707, 5]]"
B009E3RST0,[0.9042],[5],"[[window, phone, great, product, good, service, seller]]","[[window phone great product good service seller, 0.9042, 5]]"
B00A3NY83Y,[0.7964],[4],"[[work, glad, order]]","[[work glad order, 0.7964, 4]]"
B00A4348RE,[0.4404],[5],"[[install, suppose]]","[[install suppose, 0.4404, 5]]"
