3056514185,[0.0],[5],"[[el, futuro, baby, boy]]","[[el futuro baby boy, 0.0, 5]]"
B0007RRL30,"[0.1911, 0.0516, 0.3384, -0.34]","[1, 5, 5, 1]","[[viper, responder, work], [instruction, wrong, look, work, week, remote, wont, turn, battery, make, sure, connection, werent, obstruct, nothing, work, disarm, truck, buy, worse, buy], [work, great, complaint], [buy, remote, replace, current, month, pass, find, anyone, program, alarm]]","[[viper responder work, 0.1911, 1], [instruction wrong look work week remote wont turn battery make sure connection werent obstruct nothing work disarm truck buy worse buy, 0.0516, 5], [work great complaint, 0.3384, 5], [buy remote replace current month pass find anyone program alarm, -0.34, 1]]"
B0007WTF2K,"[0.7003, 0.4215]","[5, 5]","[[item, price], [nice]]","[[item price, 0.7003, 5], [nice, 0.4215, 5]]"
B000FAQ6S0,[0.4939],[4],"[[work, make]]","[[work make, 0.4939, 4]]"
B000K4V4WY,[0.7351],[5],"[[perfect, fit]]","[[perfect fit, 0.7351, 5]]"
B0016J9U0K,[0.0],[1],[[work]],"[[work, 0.0, 1]]"
B001H3LPTE,"[0.7501, 0.0]","[5, 5]","[[excellent, holster, iphone, secure, hook, loop, closure], [sturdy, work]]","[[excellent holster iphone secure hook loop closure, 0.7501, 5], [sturdy work, 0.0, 5]]"
B001IND46U,[0.6369],[5],[[expect]],"[[expect, 0.6369, 5]]"
B001MRZY3S,[0.296],[2],[[ok]],"[[ok, 0.296, 2]]"
B0029TJK5G,[0.3612],[5],[[fit]],"[[fit, 0.3612, 5]]"
B002IYDHBU,[0.3994],[3],"[[keep, gps, position, need, isnt, picture, gps, sit, donut, shape, cause, gps, point, arm, mount, garmin, isnt, tall, reach, sent, bother, find, otherwise, quality, great, heavy, fabric, heavy, overall, prevent, slippage]]","[[keep gps position need isnt picture gps sit donut shape cause gps point arm mount garmin isnt tall reach sent bother find otherwise quality great heavy fabric heavy overall prevent slippage, 0.3994, 3]]"
B002MQRD8C,"[0.0, 0.1027]","[5, 4]","[[need], [buy, battery, mother, simple, flip, phone, lithium, ion, battery, hold, charge, year, life, battery, longer, chargebr, br, xell, battery, fit, issue]]","[[need, 0.0, 5], [buy battery mother simple flip phone lithium ion battery hold charge year life battery longer chargebr br xell battery fit issue, 0.1027, 4]]"
B0046W2MKY,[0.6249],[5],[[awesome]],"[[awesome, 0.6249, 5]]"
B004MYFTF6,[0.765],[4],"[[companion, travel, happy, purchase, minus, battery, drain, use, month]]","[[companion travel happy purchase minus battery drain use month, 0.765, 4]]"
B0051FWA7U,"[0.0, 0.4404, 0.8718, 0.6249, 0.4404]","[4, 5, 5, 5, 4]","[[heat, make, gps, fall, stick], [put, car, work], [product], [product], [garmin, mount, circle, dash, year, fell, day, decide, friction, mount, replacement, wouldnt, problemsbr, br, drive, honda, there, ton, dash, space, doesnt, slide, isnt, need, renew, suction, cup, dashmounted, adhesivebr, br, amazonbasics, product, ive, order, iphone, cable, camera, bag, etc, wellmade, great, price, recommend]]","[[heat make gps fall stick, 0.0, 4], [put car work, 0.4404, 5], [product, 0.8718, 5], [product, 0.6249, 5], [garmin mount circle dash year fell day decide friction mount replacement wouldnt problemsbr br drive honda there ton dash space doesnt slide isnt need renew suction cup dashmounted adhesivebr br amazonbasics product ive order iphone cable camera bag etc wellmade great price recommend, 0.4404, 4]]"
