B00173IY02,[0.5702],[5],"[[nice, light, clamping, pressure]]","[[nice light clamping pressure, 0.5702, 5]]"
B001ILUYEM,[-0.1695],[3],"[[job, lock, phone, im, charge, put, do]]","[[job lock phone im charge put do, -0.1695, 3]]"
B001PKTFM8,"[0.4404, 0.5674, 0.3612]","[5, 5, 5]","[[update, product], [nothing, download, matter, vendor, price, sold], [enjoy, purchase, card, keep, garmin, gps, update, worry, buy, newer, gpsbr, problem, downloads, city, lot, detour, construction, metro, line, construct, go, card]]","[[update product, 0.4404, 5], [nothing download matter vendor price sold, 0.5674, 5], [enjoy purchase card keep garmin gps update worry buy newer gpsbr problem downloads city lot detour construction metro line construct go card, 0.3612, 5]]"
B001U3ULQO,"[0.2263, 0.765]","[5, 5]","[[work, chrysler, sebring, instruction, harness, option, provide], [everything, fine, useful, expect, delivery, service]]","[[work chrysler sebring instruction harness option provide, 0.2263, 5], [everything fine useful expect delivery service, 0.765, 5]]"
B002AQVO2U,[0.5859],[4],"[[last, year, date, wiring, tore, apart, work, get, pay]]","[[last year date wiring tore apart work get pay, 0.5859, 4]]"
B003TM3QQ6,[0.6369],[5],"[[dad, love]]","[[dad love, 0.6369, 5]]"
B003TM5AJM,[0.6249],[4],"[[look, awesome]]","[[look awesome, 0.6249, 4]]"
B004HMHW9E,"[-0.6935, 0.8313]","[1, 4]","[[sound, tinny, make, engine, run, got, vacation, enjoy, music, time, rode], [buy, face, hjc, motorcycle, helmet, review, mention, spend, time, position, helmet, make, sure, speaker, close, ear, touch, pack, mine, helmet, shell, use, thick, side, m, tape, position, speaker, plenty, loud, bass, response]]","[[sound tinny make engine run got vacation enjoy music time rode, -0.6935, 1], [buy face hjc motorcycle helmet review mention spend time position helmet make sure speaker close ear touch pack mine helmet shell use thick side m tape position speaker plenty loud bass response, 0.8313, 4]]"
B0051ZJ6TK,[0.0],[1],"[[adapter, charge, whatsoever]]","[[adapter charge whatsoever, 0.0, 1]]"
B00529PYU0,"[0.6705, 0.9473]","[5, 5]","[[get, couple, hour, wear, say, ill, review, anyway, im, sure, soonbr, br, hex, vision, watch, band, stainless, steel, band, make, material, watch, like, invicta, michael, kor, use, link, system, bound, pin, use, hold, band, togetherbr, wrist, feel, quality, target, try, appearancebr, base, ipod, nano, mount, panel, hole, slit, hold, ipod, use, clip, require, slide, large, hole, settle, clip, insert, slit, connect, system, appear, side, reveal, hardware, look, borderline, seamless, button, connector, slot, removing, case, go, charge, moving, medium, go, secondsbr, watch, clip, fold, clasp, system, remove, watch, base, unclasp, sliding, awaybr, box, come, clip, link, case, however, youll, need, go, jeweler, type, store, deal, watch, order, get, refit, case, youre, wonder, band, come, link, attach, count, one, go, clasp, basebr, br, overall, happen, carry, ipod, nano, th, gen, apple, watch, want, hint, style, come, apple, watch, edition, bankbreaking, price, tag, functionality, apple, watch, smart, recommend, hex, vision, watch, band], [cool, hand]]","[[get couple hour wear say ill review anyway im sure soonbr br hex vision watch band stainless steel band make material watch like invicta michael kor use link system bound pin use hold band togetherbr wrist feel quality target try appearancebr base ipod nano mount panel hole slit hold ipod use clip require slide large hole settle clip insert slit connect system appear side reveal hardware look borderline seamless button connector slot removing case go charge moving medium go secondsbr watch clip fold clasp system remove watch base unclasp sliding awaybr box come clip link case however youll need go jeweler type store deal watch order get refit case youre wonder band come link attach count one go clasp basebr br overall happen carry ipod nano th gen apple watch want hint style come apple watch edition bankbreaking price tag functionality apple watch smart recommend hex vision watch band, 0.6705, 5], [cool hand, 0.9473, 5]]"
B005HMO7WI,[0.0],[5],[[get]],"[[get, 0.0, 5]]"
B005LUKCX4,[-0.4404],[1],"[[charge, ipod, plug, car, render, worthless]]","[[charge ipod plug car render worthless, -0.4404, 1]]"
