9714414997,[0.0],[5],"[[stream, netflixhulu, medium, phone]]","[[stream netflixhulu medium phone, 0.0, 5]]"
B00042LC9M,"[0.0, 0.5719, 0.9541, 0.0, 0.0]","[4, 5, 5, 5, 4]","[[work, expect], [work], [work, great, antenna, hit, branch, spring, bounce, act, height, addition, instal, tune, antenna, perfect, swr, instal, update, bending, ft, whip, recommend], [quality], [work, perfect]]","[[work expect, 0.0, 4], [work, 0.5719, 5], [work great antenna hit branch spring bounce act height addition instal tune antenna perfect swr instal update bending ft whip recommend, 0.9541, 5], [quality, 0.0, 5], [work perfect, 0.0, 4]]"
B000F7857S,"[0.886, 0.296, 0.9229, 0.0, 0.2023, 0.836, 0.5719, 0.765]","[5, 5, 5, 4, 5, 5, 5, 4]","[[ok], [perfect, fit, garmin, nuvi, firm, hold, dash, happy], [excellent, product, replace, misplace], [excellent], [work, great, itsuction, stuff, fit, garmin, gps], [perfect, fit, love], [work, advertise], [work, fine]]","[[ok, 0.886, 5], [perfect fit garmin nuvi firm hold dash happy, 0.296, 5], [excellent product replace misplace, 0.9229, 5], [excellent, 0.0, 4], [work great itsuction stuff fit garmin gps, 0.2023, 5], [perfect fit love, 0.836, 5], [work advertise, 0.5719, 5], [work fine, 0.765, 4]]"
B000FED6NO,"[0.4588, 0.4404, 0.765, 0.3612, 0.0516, 0.5719, 0.4404, 0.8849]","[5, 5, 5, 5, 5, 4, 4, 4]","[[work, great, cord, run], [price, good, device, work, fine, purpose], [product, rip, cord, wire, get, wire, quick, help, lot, work, havent, problem, wire], [fit, need, buy, radar], [fast, delivery], [get, job, done, expect], [product, work], [work, original, broke, toss, fuzzbuster, idea, check, amazon, replacement, hit]]","[[work great cord run, 0.4588, 5], [price good device work fine purpose, 0.4404, 5], [product rip cord wire get wire quick help lot work havent problem wire, 0.765, 5], [fit need buy radar, 0.3612, 5], [fast delivery, 0.0516, 5], [get job done expect, 0.5719, 4], [product work, 0.4404, 4], [work original broke toss fuzzbuster idea check amazon replacement hit, 0.8849, 4]]"
B000FVDD30,[-0.2944],[1],"[[jam, car, radio, put, comment, sound, quality, ive, way, test, give, review]]","[[jam car radio put comment sound quality ive way test give review, -0.2944, 1]]"
B000XUWXZM,[0.8628],[5],"[[flash, lead, let, everybody, know, mess, car, wish, come, longer, cable, install]]","[[flash lead let everybody know mess car wish come longer cable install, 0.8628, 5]]"
B0016BGWG8,[-0.872],[3],"[[suppose, stop, work, day, usebr, power, button, get, stuck, green, indicator, light, stop, work, turn, take, battery, outbr, radio, get, lot, cut, depend, im, drive, device, hold, dont, know, fault, device, live, metropolitan, area, frequency, usedbr, get, pay, guess]]","[[suppose stop work day usebr power button get stuck green indicator light stop work turn take battery outbr radio get lot cut depend im drive device hold dont know fault device live metropolitan area frequency usedbr get pay guess, -0.872, 3]]"
B001JPVCYI,[0.0],[3],"[[item, decent, build, year, fuse, vehicle, try, load, usb, adapter, phone, charger, burn, happen, threw, purchase, make, stand, wattage, suppose, splitter, dont, plug, thing]]","[[item decent build year fuse vehicle try load usb adapter phone charger burn happen threw purchase make stand wattage suppose splitter dont plug thing, 0.0, 3]]"
B001LIPVWC,"[0.7579, 0.6486]","[5, 3]","[[ok, price, work, maintenance, construction, clip, belt, loop, option, phone, holster, take, beat, found, make, product, well, clip, body, holster, sewn, rectangle, piece, nylon, fabric, weakest, point, product, part, tear, holdster], [husband, prefer, case, give, friend, enjoys, husband]]","[[ok price work maintenance construction clip belt loop option phone holster take beat found make product well clip body holster sewn rectangle piece nylon fabric weakest point product part tear holdster, 0.7579, 5], [husband prefer case give friend enjoys husband, 0.6486, 3]]"
B001UCIIU6,[-0.2755],[1],[[fit]],"[[fit, -0.2755, 1]]"
B001XXUOQI,"[0.0, 0.4404, 0.4588, 0.6249]","[5, 5, 5, 5]","[[replacement], [phone, charge, advertise, doesnt, feel, cheap], [get, samsung, look, connects, pc, neat]]","[[replacement, 0.0, 5], [phone charge advertise doesnt feel cheap, 0.4404, 5], [get samsung look connects pc neat, 0.4588, 5], [, 0.6249, 5]]"
