B00005UK9X,[0.6249],[5],"[[mount, keep, gps, dash, slide]]","[[mount keep gps dash slide, 0.6249, 5]]"
B00005Y6OR,[0.2732],[2],"[[work, month, run, watt, kenwood, amp, dont, crank, volume, notice, day, start, pop, yesterday, stop, work, lot, sub, year, know, expect, expect, couple, month]]","[[work month run watt kenwood amp dont crank volume notice day start pop yesterday stop work lot sub year know expect expect couple month, 0.2732, 2]]"
B000WCT5IY,[0.5704],[1],"[[say, belt, clip, loop]]","[[say belt clip loop, 0.5704, 1]]"
B0015KFSCO,[0.5719],[5],[[excellent]],"[[excellent, 0.5719, 5]]"
B0035R2QS4,"[0.2732, -0.092, 0.0, 0.0]","[3, 3, 1, 2]","[[didnt, work], [garbage], [okay, product, nothing], [didnt, hold, charge, charge, unit, charge, phone, charge, phone]]","[[didnt work, 0.2732, 3], [garbage, -0.092, 3], [okay product nothing, 0.0, 1], [didnt hold charge charge unit charge phone charge phone, 0.0, 2]]"
B0049D9L5O,[0.6249],[4],"[[work, great, charge]]","[[work great charge, 0.6249, 4]]"
B004ALFN5M,[0.6249],[5],"[[buy, ]]","[[buy , 0.6249, 5]]"
B004ZO12S6,"[0.3716, 0.7758]","[5, 3]","[[stylus, use, stylus, week, use, month, day, get], [use, iphone, play, game, go, bunch, email, hate, feel, glass, finger, resistance, dont, use, write, drawing, work, find, stylus, require, bit, pressure, play, lot, game, match, thing, think, bejewel, took, time, get, use, pressure, get, stylus, work, soften, bit, time, use, glass, screen, protector, im, sure, take, screen, sensitivity, dont, stylus, roll, someone, make, nice, quality, slim, stylus, clip, something, prevent, roll]]","[[stylus use stylus week use month day get, 0.3716, 5], [use iphone play game go bunch email hate feel glass finger resistance dont use write drawing work find stylus require bit pressure play lot game match thing think bejewel took time get use pressure get stylus work soften bit time use glass screen protector im sure take screen sensitivity dont stylus roll someone make nice quality slim stylus clip something prevent roll, 0.7758, 3]]"
B0051J3V60,[0.9493],[5],"[[find, charm, phone, pendent, light, purple, flower, glad, buy, looking, something, cool, elegant, time, scratch, flower, bead, come]]","[[find charm phone pendent light purple flower glad buy looking something cool elegant time scratch flower bead come, 0.9493, 5]]"
B0051SCUMW,[-0.6369],[1],"[[get, today, go, tomorrow, something, find, thrift, dollar, store, nobody, buy, buck, clearence, cent, cheap, feel, stuff, produce, ball, inside, dont, hold, phone, worth, crap, worst, product, ive, purchase, amazon, believe, review, star, nobody, think, good, product, dollar, store]]","[[get today go tomorrow something find thrift dollar store nobody buy buck clearence cent cheap feel stuff produce ball inside dont hold phone worth crap worst product ive purchase amazon believe review star nobody think good product dollar store, -0.6369, 1]]"
B005KYPOBQ,[-0.7506],[1],"[[arrive, break]]","[[arrive break, -0.7506, 1]]"
B005WF9OHI,"[0.7096, -0.3818, 0.6249, -0.0516]","[5, 5, 5, 5]","[[glad, get, thanks, stock], [case, break, phone], [receive, job, protect, phone], [bought, seem, pay, iphone, pristine, yeah, obsolete, thanks, case, look, function, day, buy, keep, hearing, people, ruin, phone, theyve, snap, case, fool, fool]]","[[glad get thanks stock, 0.7096, 5], [case break phone, -0.3818, 5], [receive job protect phone, 0.6249, 5], [bought seem pay iphone pristine yeah obsolete thanks case look function day buy keep hearing people ruin phone theyve snap case fool fool, -0.0516, 5]]"
B006OK0HJY,[-0.2755],[1],"[[look, photo, sent]]","[[look photo sent, -0.2755, 1]]"
B007S0ZXVG,[0.6249],[5],[[price]],"[[price, 0.6249, 5]]"
B008124JYC,[0.0],[1],"[[donhold, charge, hour]]","[[donhold charge hour, 0.0, 1]]"
B00820VJCI,[-0.4737],[2],"[[unit, drive, help, amount, station, cause, damage, tuner, block, recommend, onei, unit, pas, scosche, cant, find, today]]","[[unit drive help amount station cause damage tuner block recommend onei unit pas scosche cant find today, -0.4737, 2]]"
B00866362E,[0.7906],[4],"[[battery, fit, perfect, work, fine]]","[[battery fit perfect work fine, 0.7906, 4]]"
B0087CUZJ4,[-0.4576],[1],"[[receive, work, unsatisfied, return, paperwork]]","[[receive work unsatisfied return paperwork, -0.4576, 1]]"
B0088POBFO,[0.961],[4],"[[get, case, yesterday, look, feel, dont, know, protect, screen, drop, doesi, rubber, case, thick, fit, phone, piece, fit, im, give, cause, havent, drop, phone, seee, work]]","[[get case yesterday look feel dont know protect screen drop doesi rubber case thick fit phone piece fit im give cause havent drop phone seee work, 0.961, 4]]"
B008LFTCAK,"[-0.2732, 0.0, 0.0, 0.296, 0.5927, 0.6369]","[3, 5, 5, 3, 4, 5]","[[ok], [take, time, china, quality, price], [d], [case], [muy, bien], [get, bubble, matter]]","[[ok, -0.2732, 3], [take time china quality price, 0.0, 5], [d, 0.0, 5], [case, 0.296, 3], [muy bien, 0.5927, 4], [get bubble matter, 0.6369, 5]]"
B008LX87RG,[0.0],[5],"[[advertise, deliver, time]]","[[advertise deliver time, 0.0, 5]]"
