B0002BEX8W,"[0.0, 0.5719]","[1, 5]","[[perfect, alpine, ilx, install, chevy, avalanche], [ueless, mei, buick, lesaber]]","[[perfect alpine ilx install chevy avalanche, 0.0, 1], [ueless mei buick lesaber, 0.5719, 5]]"
B000LP4RN0,[-0.6994],[1],"[[buy, hop, louder, quality, stock, tweeter, believe, sound, well, work, start, crackling, way, make, stop, turn, volume, get, minute, hit, im, plan, switch, tweeter, annoy, havent, time, jerryrig, way, mount, stock, tweeter, enlarge, made, fit, incline, think, get, speaker, pair, issue, think, mark, poor, quality]]","[[buy hop louder quality stock tweeter believe sound well work start crackling way make stop turn volume get minute hit im plan switch tweeter annoy havent time jerryrig way mount stock tweeter enlarge made fit incline think get speaker pair issue think mark poor quality, -0.6994, 1]]"
B00176SQ3Y,[0.3612],[5],"[[idea, click, retractor, roll, inside]]","[[idea click retractor roll inside, 0.3612, 5]]"
B0018Y45US,[0.4939],[3],"[[flash, battery, cheap]]","[[flash battery cheap, 0.4939, 3]]"
B001GXQMT8,[0.8481],[5],"[[awesome, purchase, work]]","[[awesome purchase work, 0.8481, 5]]"
B001NCDBE6,[0.0],[3],"[[serve, purpose, light, weight, color, cod, gold, plat]]","[[serve purpose light weight color cod gold plat, 0.0, 3]]"
B0028ARP1W,[-0.1027],[5],[[punch]],"[[punch, -0.1027, 5]]"
B002OL2MU4,"[0.2755, 0.6249, 0.9228, 0.6369, 0.4404, 0.6418, 0.1027, 0.5719, 0.6249, 0.6249, 0.8883, 0.5994, 0.4404, 0.5095, 0.6369, -0.5574, 0.9205, 0.6249, 0.3892, 0.2732, 0.8402, 0.3919, 0.34, 0.4404, 0.4588, 0.4215, 0.9457, 0.672, 0.6982, 0.9001, 0.6249, -0.1531, 0.3612, 0.0]","[5, 5, 5, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 5, 5, 1, 5, 5]","[[happy], [use, garmin, gps, solid, mounting, gps, slide, dash, driver, seat], [receive, way, company, say, get, satisfy, packaging, bigger, nice, size, toyota, rav, set, dash, window, dont, ring, window, put, seat, get, car, stay, dash, turn, stop, glad, get], [grip], [hold, gps, satisfy], [perfect, accessory, work, trip, slippage, didnt, get, sooner], [stay, put], [product, doesnt, move, slide], [work, wellbr, detaches], [dash, whole, time, trip, perfect, didnt, move, leave, sand, dash, overall, accessory, gps], [product, firm], [unit, dh, want, car], [car, throw, suction, cup, friction, mount, make, life], [excellent, product, fast, ship, buy, hesitation], [dash, perfect, choice, toyota, corolla, view, block, place, corner, driver, side, nc, inspection, sticker, use], [grab, put, seat, park, want, hide, unit, allow, let, passenger, see, screen, allow, put, unit, lap, park, set, leg, journey, andor, hand, passenger, search, give, starbucks, travel, suction, cup, unit, handle, respect], [work, great], [hold, garmin, firm, better, fall, windshield, time], [work, wifes, ford, edge, buy, year], [better, look, profile], [friction, mount, well, windshield, mount, suction, device, stay, put, stay, line, vision, drive], [item, work, sits, dash, stuff, doesnt, move, drive, crazy], [say, keep, dash, fall], [way, mount, gps], [work, great, money], [use, design, base], [beanbag, base, surface], [buy, garmin, buy, period, need, ignore, innate, desire, save, moneybr, br, garmin, balk, spending, money, purchase, thought, include, mount, type, stick, windshield, preference, matter, safety, windshield, mount, work, fall, time, matter, get, stick, drive, crowd, highway, mount, come, tumble, cause, accident, swerve, incident, scar, convince, invest, mount, felt, spend, garmin, money, waste, garmin, commit, suicide, breaking, windshield, mountbr, br, mount, attach, garmin, come, need, take, garmin, inside, update, swerve, idiot, road, garmin, doesnt, budge, shift, bit, depend, sun, shin, think, safety, consideration, make, expense, convenience, ease, use, make, well, purchase], [work, say, improvement, window, mount], [work, great, hold, garmin, gps, weight, keep, gps, move, drive, allow, place, gps, dash, way, glance, need, trip, wish, fit, unit, gps, glove, box, hide], [quality, gone, way, bag, sand, one, make, falling, apart], [item, work, fine, expect]]","[[happy, 0.2755, 5], [use garmin gps solid mounting gps slide dash driver seat, 0.6249, 5], [receive way company say get satisfy packaging bigger nice size toyota rav set dash window dont ring window put seat get car stay dash turn stop glad get, 0.9228, 5], [grip, 0.6369, 5], [hold gps satisfy, 0.4404, 4], [perfect accessory work trip slippage didnt get sooner, 0.6418, 5], [stay put, 0.1027, 4], [product doesnt move slide, 0.5719, 5], [work wellbr detaches, 0.6249, 5], [dash whole time trip perfect didnt move leave sand dash overall accessory gps, 0.6249, 5], [product firm, 0.8883, 5], [unit dh want car, 0.5994, 5], [car throw suction cup friction mount make life, 0.4404, 5], [excellent product fast ship buy hesitation, 0.5095, 5], [dash perfect choice toyota corolla view block place corner driver side nc inspection sticker use, 0.6369, 5], [grab put seat park want hide unit allow let passenger see screen allow put unit lap park set leg journey andor hand passenger search give starbucks travel suction cup unit handle respect, -0.5574, 5], [work great, 0.9205, 5], [hold garmin firm better fall windshield time, 0.6249, 5], [work wifes ford edge buy year, 0.3892, 4], [better look profile, 0.2732, 5], [friction mount well windshield mount suction device stay put stay line vision drive, 0.8402, 5], [item work sits dash stuff doesnt move drive crazy, 0.3919, 5], [say keep dash fall, 0.34, 4], [way mount gps, 0.4404, 5], [work great money, 0.4588, 5], [use design base, 0.4215, 5], [beanbag base surface, 0.9457, 5], [buy garmin buy period need ignore innate desire save moneybr br garmin balk spending money purchase thought include mount type stick windshield preference matter safety windshield mount work fall time matter get stick drive crowd highway mount come tumble cause accident swerve incident scar convince invest mount felt spend garmin money waste garmin commit suicide breaking windshield mountbr br mount attach garmin come need take garmin inside update swerve idiot road garmin doesnt budge shift bit depend sun shin think safety consideration make expense convenience ease use make well purchase, 0.672, 5], [work say improvement window mount, 0.6982, 5], [work great hold garmin gps weight keep gps move drive allow place gps dash way glance need trip wish fit unit gps glove box hide, 0.9001, 5], [quality gone way bag sand one make falling apart, 0.6249, 5], [item work fine expect, -0.1531, 1], [, 0.3612, 5], [, 0.0, 5]]"
B003PPGOC0,"[0.5302, 0.3818, 0.4927, -0.3412, 0.0, 0.6369, 0.0, 0.9032, 0.8859, 0.2732, 0.7096, 0.9552, -0.8733, 0.7425, 0.9058, 0.6249, -0.0387, 0.5504, 0.9909, 0.4404, 0.5423, 0.7579, 0.8422, 0.959, 0.6486, 0.7003, 0.8271, 0.7906, 0.8214, 0.6576, 0.6249, 0.9752, 0.6597, 0.9893, 0.8519, -0.305, -0.296, 0.9245, 0.9347, 0.9337, 0.8765]","[5, 5, 5, 5, 1, 5, 3, 5, 5, 4, 4, 5, 3, 5, 4, 5, 2, 5, 5, 5, 4, 3, 3, 5, 5, 4, 5, 5, 5, 4, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 4]","[[want, love, thing, ok, forget, travel, bumpy, road, come, power, port, fall, cause, lose, power, drop, connection, phone, need, transmit, channel, reset, mile, pick, lot, assume, youre, get, something, transmit, channel, use, reduce, volume, phone, bluetooth, half, turn, car, audio, sound, call, ok, get, volume, set, hear, person, youre, talk], [work, part, plug, cigarette, fell, apart, month, tape, work, bit, make, sure, connection, solid], [device, function, ok, opinion, issuesbr, br, seem, fit, loose, power, outlet, stay, position, vibrate, plugbr, pick, hear, bit, listening, music, phone, try, tune, station, help], [work, tahoe, pair, phone, easy, tonuse], [work, great, price, complaint, shut], [thing, amaze, sound, perfect, replace, overprice, itrip, boy, im, glad], [husband, us, love], [work, city, city, noise, delivers, intent, replacement, radio, antenna, compete, deliver, intent, find, blank, station], [fm, transmitter, spent, decide, look, online, better, prepare, pay, take, get, decent, im, glad, find, read, review, review, decide, try, glad, work, perfect, recommend, anyone, interest, get, area, live, seem, station, use, im, put, station, cities, dont, change, station, money, wont, regret, get], [sound, quality, radio, cant, get, well, distortion, occur, remember, turn, device, volume, use, car, volume, adjustment], [awesome, product, sound, quality, awesome, pair, autopairs, call, quality, android, device, fm, transmitter], [produt], [coolest, thing, buy, time, recommend, anyone, easy, use, call, clarity, fm, modulaters, buy, year, update, buy, gogroove, work, living, use, everyday, multipal, vehicle, love, buy, break], [yuk], [transmitter, ive, buy, friend, get, car, aux, use, bluetooth, play, music, use, guest, mobile], [well, piece, junk, pick, auto, part, store, work, kind, weak, simple, device, doesnt, take, work, figure, like, buy, car, built, bluetooth], [vehicle, equip, input, sound, jack, use, fm, channel, match, fm, radiobr, kid, seat, connect, bluetooth, dobr, cord, front, car, seat], [work, great, get, start, thing, bug, charge, phone, amp, port, music, playing, start, get, noise, go, power, outlet, close, cup, holder, drink, put, turn, device, went, bump, power, button], [sound, bluetooth, work], [wish, neck, longerbr, keep, bump, choice, location, steer, wheelbr, work], [work, good], [year, break, issue, perform, fact, charge, phone, play, music, make, winner, wish, neck, bit, smaller, money], [work, great], [setup, work, aux, cable, car, aux, connection, want, listen, music, phone, device, need, usb, port, charge, device], [service, product, ], [try, product, try, get, way, listen, smartphones, medium, iheartradio, others, ability, take, hand, call, lot, success, problem, stem, hand, call, function, person, youre, speak, cant, hear, echosbr, br, product, excellent, sound, hand, work, sound, transmit, voice, phone, conversation, drive, window, product, try, cam, close, complaint, doesnt, way, hold, phone, suction, cup, windshield, buy, product, wellbr, br, picture, description, know, wouldnt, work, phone, holder, wasnt, wish, moneybr, br, asinbppgoc, gogroove, flexsmart, x, bluetooth, wireless, incar, fm, transmitter, usb, charge, music, control, handsfree, call, work, apple, samsung, htc, lg, sony, amp, smartphones, tablet, mp, player], [work, desire, quality, sound, quality, falter, time, output, average, fm, stereo, quality], [thing, work, recommend], [cant, believe, live, thing, suck, droid, sound, galaxy, thing, rock, sound, tune, fm, pair, repair, control, work, advertise, accessory, mount, good, solid, transmits, fm, inside, jeep, antenna, passenger, side, front, drop, out, use, frequency, seems, frequency, lock, reception, warn, link, quiet, audio, stream, smartphone, pair, dont, turn, radio, audio, look, sound, event, come, message, go, windshield, hiss, distortion, nice, bright, clean, digital, connection, legacy, stereobr, charge, usb, port, work, device, get, result, part, travel, gear, money, spend, device], [work, great, exception, inline, port, loose, pull, plug, make, connection, work, neck, plus, shift], [month, use, doesnt, reflect, deal, adjust, reflect, radio, station, tricky, idea, nice, doesnt, bend, need], [thing], [use, year, fm, transmitter, ive, buy, product], [work, knock, loud, beep, make, pair], [well, fm, transmitter, ive, buy, car, sound, quality, job, block, radio, station, bluetooth, work], [work, great, nissan, xterra], [wont, charge, month], [need, play, sound, work, expect], [work, complaint], [operator, error, highway, fm, frequency, change, bet, hand, free, someone, help, problem, appreciate], [work, advertise, plug, turn, pairing, pair, phone, click, find, station, tune, radio, station, hit, play, apple, music, solve, problem, kid, adult, rotate, aux, truck, play, others, problem, solve]]","[[want love thing ok forget travel bumpy road come power port fall cause lose power drop connection phone need transmit channel reset mile pick lot assume youre get something transmit channel use reduce volume phone bluetooth half turn car audio sound call ok get volume set hear person youre talk, 0.5302, 5], [work part plug cigarette fell apart month tape work bit make sure connection solid, 0.3818, 5], [device function ok opinion issuesbr br seem fit loose power outlet stay position vibrate plugbr pick hear bit listening music phone try tune station help, 0.4927, 5], [work tahoe pair phone easy tonuse, -0.3412, 5], [work great price complaint shut, 0.0, 1], [thing amaze sound perfect replace overprice itrip boy im glad, 0.6369, 5], [husband us love, 0.0, 3], [work city city noise delivers intent replacement radio antenna compete deliver intent find blank station, 0.9032, 5], [fm transmitter spent decide look online better prepare pay take get decent im glad find read review review decide try glad work perfect recommend anyone interest get area live seem station use im put station cities dont change station money wont regret get, 0.8859, 5], [sound quality radio cant get well distortion occur remember turn device volume use car volume adjustment, 0.2732, 4], [awesome product sound quality awesome pair autopairs call quality android device fm transmitter, 0.7096, 4], [produt, 0.9552, 5], [coolest thing buy time recommend anyone easy use call clarity fm modulaters buy year update buy gogroove work living use everyday multipal vehicle love buy break, -0.8733, 3], [yuk, 0.7425, 5], [transmitter ive buy friend get car aux use bluetooth play music use guest mobile, 0.9058, 4], [well piece junk pick auto part store work kind weak simple device doesnt take work figure like buy car built bluetooth, 0.6249, 5], [vehicle equip input sound jack use fm channel match fm radiobr kid seat connect bluetooth dobr cord front car seat, -0.0387, 2], [work great get start thing bug charge phone amp port music playing start get noise go power outlet close cup holder drink put turn device went bump power button, 0.5504, 5], [sound bluetooth work, 0.9909, 5], [wish neck longerbr keep bump choice location steer wheelbr work, 0.4404, 5], [work good, 0.5423, 4], [year break issue perform fact charge phone play music make winner wish neck bit smaller money, 0.7579, 3], [work great, 0.8422, 3], [setup work aux cable car aux connection want listen music phone device need usb port charge device, 0.959, 5], [service product , 0.6486, 5], [try product try get way listen smartphones medium iheartradio others ability take hand call lot success problem stem hand call function person youre speak cant hear echosbr br product excellent sound hand work sound transmit voice phone conversation drive window product try cam close complaint doesnt way hold phone suction cup windshield buy product wellbr br picture description know wouldnt work phone holder wasnt wish moneybr br asinbppgoc gogroove flexsmart x bluetooth wireless incar fm transmitter usb charge music control handsfree call work apple samsung htc lg sony amp smartphones tablet mp player, 0.7003, 4], [work desire quality sound quality falter time output average fm stereo quality, 0.8271, 5], [thing work recommend, 0.7906, 5], [cant believe live thing suck droid sound galaxy thing rock sound tune fm pair repair control work advertise accessory mount good solid transmits fm inside jeep antenna passenger side front drop out use frequency seems frequency lock reception warn link quiet audio stream smartphone pair dont turn radio audio look sound event come message go windshield hiss distortion nice bright clean digital connection legacy stereobr charge usb port work device get result part travel gear money spend device, 0.8214, 5], [work great exception inline port loose pull plug make connection work neck plus shift, 0.6576, 4], [month use doesnt reflect deal adjust reflect radio station tricky idea nice doesnt bend need, 0.6249, 5], [thing, 0.9752, 5], [use year fm transmitter ive buy product, 0.6597, 5], [work knock loud beep make pair, 0.9893, 5], [well fm transmitter ive buy car sound quality job block radio station bluetooth work, 0.8519, 5], [work great nissan xterra, -0.305, 4], [wont charge month, -0.296, 5], [need play sound work expect, 0.9245, 5], [work complaint, 0.9347, 5], [operator error highway fm frequency change bet hand free someone help problem appreciate, 0.9337, 5], [work advertise plug turn pairing pair phone click find station tune radio station hit play apple music solve problem kid adult rotate aux truck play others problem solve, 0.8765, 4]]"
B003TMBIYS,"[-0.3534, 0.0]","[4, 5]","[[need], [dock, cradle, work, fine, problem, replace, antenna, cable, connection, keep, loosen, signal]]","[[need, -0.3534, 4], [dock cradle work fine problem replace antenna cable connection keep loosen signal, 0.0, 5]]"
B0042TY68C,[-0.4404],[3],"[[extend, battery, doubt, using, heat, battery, life, turn, garbage]]","[[extend battery doubt using heat battery life turn garbage, -0.4404, 3]]"
