B0007L8BY4,[-0.3384],[1],"[[speaker, tear, apart, installation, speaker, sound, quality]]","[[speaker tear apart installation speaker sound quality, -0.3384, 1]]"
B000IXP96Y,[0.0],[5],[[say]],"[[say, 0.0, 5]]"
B000JLC3PK,[0.3612],[4],"[[delivery, recommend]]","[[delivery recommend, 0.3612, 4]]"
B000KE47AK,"[-0.296, -0.7964]","[5, 1]","[[replacement, damage, remote, programming, hassle], [alarm, company, get, work, viper, help, stick, useless, alarm]]","[[replacement damage remote programming hassle, -0.296, 5], [alarm company get work viper help stick useless alarm, -0.7964, 1]]"
B0025KV6LU,[0.8074],[5],"[[battery, work, gave, phone, friend, need, work, month]]","[[battery work gave phone friend need work month, 0.8074, 5]]"
B002J9GHJI,"[0.3322, 0.6249]","[2, 4]","[[play, send, buy, kind], [price, couldnt, ask]]","[[play send buy kind, 0.3322, 2], [price couldnt ask, 0.6249, 4]]"
B003OB6HE0,[0.5719],[5],"[[put, wife, car, replacement, kicker, combo, setup, find, woofer, production, see, brand, make, excellent, subwoofer, make, wife, system]]","[[put wife car replacement kicker combo setup find woofer production see brand make excellent subwoofer make wife system, 0.5719, 5]]"
B003TRELC4,[-0.6486],[1],"[[ruin, battery, phone, overheat, longer, use, phone, give, zero, star]]","[[ruin battery phone overheat longer use phone give zero star, -0.6486, 1]]"
B003YMG6QI,[0.1901],[3],"[[work, car, car, wash, guy, take, try, husband, truck, suv, wont, work, dont, know]]","[[work car car wash guy take try husband truck suv wont work dont know, 0.1901, 3]]"
B0044DEAUA,"[0.8834, 0.5719, 0.2023]","[5, 5, 5]","[[work, great, battery, life, great], [perfect], [work]]","[[work great battery life great, 0.8834, 5], [perfect, 0.5719, 5], [work, 0.2023, 5]]"
B0046H8ZDW,[-0.469],[5],"[[forget, theyre, problem, sleep]]","[[forget theyre problem sleep, -0.469, 5]]"
B004EKHQTA,[0.0],[1],"[[quality, case]]","[[quality case, 0.0, 1]]"
B004JHCDBY,[-0.273],[1],"[[instal, battery, work, week, wont, hold, charge, worth, hassle, return, shipping, charge, listen, review]]","[[instal battery work week wont hold charge worth hassle return shipping charge listen review, -0.273, 1]]"
B004PEIGFS,[-0.7101],[3],"[[price, expect, fail]]","[[price expect fail, -0.7101, 3]]"
B004UDRREK,[0.6369],[1],"[[didnt, work, click, button, recharge, wont, nothing, buy, case, work, walmart, store, past]]","[[didnt work click button recharge wont nothing buy case work walmart store past, 0.6369, 1]]"
B004W3LKZ0,[-0.1779],[3],"[[advise, tap, cord, doesnt, bend, microusb, port, buy, bent, break, month, tap, wont, bend, see, picture]]","[[advise tap cord doesnt bend microusb port buy bent break month tap wont bend see picture, -0.1779, 3]]"
B004WIQW3U,"[0.6369, 0.0]","[5, 1]",[[come]],"[[come, 0.6369, 5], [, 0.0, 1]]"
B005ES8SRU,[0.9106],[5],"[[fit, great, bmw, center, console, try, model, allow, console, fit, work]]","[[fit great bmw center console try model allow console fit work, 0.9106, 5]]"
B005XLSZ44,"[0.2144, 0.7906]","[3, 5]","[[camera, quality, view, easy, install], [deal, price, guess, poor, picture, monitor, work, night, run, work, light]]","[[camera quality view easy install, 0.2144, 3], [deal price guess poor picture monitor work night run work light, 0.7906, 5]]"
B006CZ0C3W,[0.7003],[1],"[[sd, card, aux, line, good, work]]","[[sd card aux line good work, 0.7003, 1]]"
B0070B0WXC,[0.0],[5],[[need]],"[[need, 0.0, 5]]"
B0073FCPSK,"[0.7738, 0.0, -0.1406, -0.6486, 0.8271, 0.8425, 0.0, 0.296, 0.548, 0.2648, 0.4401, 0.0]","[4, 5, 3, 1, 1, 5, 5, 3, 5, 5, 1, 5]","[[product, describe], [buy, seem, compact, usb, outlet, perfect, travel, end, week, trip, degrade, wouldnt, charge, anything, ipad, iphone, kindle, camera, work, couple, item, product], [havent, problem, plug, phone, usb, power, device, need, power, outlet, decent, price, work, seem, nicer, quality, product, usb, wall, adapter], [charge, fast, seems, get], [buy, receive, everything, work, return, period, day, delivery, date, today, august, port, stop, work, day, port, stop, work, day, use, day, return, period, try, contact, seller, exchange, couldnt, know, shouldnt, expect, kind, brand, buy, least, year, garbage, dont, waste, money], [dead, arrival, forget, clean, email], [problem, work, port, nice], [super, charger, beat, death], [describe, android], [bit, bulky, work, fine], [buy, referring, freinds, use, quality, price, pay, amp, iphone, older, version, handle, amp, fear, amp, allow, charge, device, lower, usb, outlet, amp, fact, plug, allow, travel, worry, bend, plug, builtin, charge, protection, cut, charge, device, reach, charge, come, package], [work, amp, charger, charge, ipod, faster, charger, help, however, start, notice, plug, screen, ipod, start, malfunction, like, charger, read, online, party, charger, something, ill, get, purpose, work, fine]]","[[product describe, 0.7738, 4], [buy seem compact usb outlet perfect travel end week trip degrade wouldnt charge anything ipad iphone kindle camera work couple item product, 0.0, 5], [havent problem plug phone usb power device need power outlet decent price work seem nicer quality product usb wall adapter, -0.1406, 3], [charge fast seems get, -0.6486, 1], [buy receive everything work return period day delivery date today august port stop work day port stop work day use day return period try contact seller exchange couldnt know shouldnt expect kind brand buy least year garbage dont waste money, 0.8271, 1], [dead arrival forget clean email, 0.8425, 5], [problem work port nice, 0.0, 5], [super charger beat death, 0.296, 3], [describe android, 0.548, 5], [bit bulky work fine, 0.2648, 5], [buy referring freinds use quality price pay amp iphone older version handle amp fear amp allow charge device lower usb outlet amp fact plug allow travel worry bend plug builtin charge protection cut charge device reach charge come package, 0.4401, 1], [work amp charger charge ipod faster charger help however start notice plug screen ipod start malfunction like charger read online party charger something ill get purpose work fine, 0.0, 5]]"
B007D6J64K,"[0.6413, 0.3716]","[4, 1]","[[price, great, take, order, case, doesnt], [case, love, protection, thing, didnt, charger, doesnt, fit, phone, case]]","[[price great take order case doesnt, 0.6413, 4], [case love protection thing didnt charger doesnt fit phone case, 0.3716, 1]]"
B007GYBTGW,"[0.81, 0.4404, 0.7178]","[4, 4, 5]","[[vita, fit, seem, protect, fall, wish, half, inch, thicker, cord, fit, inside, recommend], [case, fit, lot, room, cartridge, satisfy, quality]]","[[vita fit seem protect fall wish half inch thicker cord fit inside recommend, 0.81, 4], [case fit lot room cartridge satisfy quality, 0.4404, 4], [, 0.7178, 5]]"
B007PYMFZ2,"[0.4404, 0.6369]","[4, 5]",[[otterbox]],"[[otterbox, 0.4404, 4], [, 0.6369, 5]]"
B0081CWCHI,"[0.0, -0.7579]","[5, 1]","[[power, dc, purchase, run, sirius, radio, car, adaptor, power, source, plug, siruis, radio, house, plan, take, sirius, radio, car], [order, pump, use, blow, swim, pool, work, hate, throw, box, return, product, waste, money]]","[[power dc purchase run sirius radio car adaptor power source plug siruis radio house plan take sirius radio car, 0.0, 5], [order pump use blow swim pool work hate throw box return product waste money, -0.7579, 1]]"
B0083WJZB2,[0.9432],[5],"[[love, phone, case, make, product, buy, fiance, red, fiance, careless, come, phone, drop, bought, buy, phone, love, love, love, case]]","[[love phone case make product buy fiance red fiance careless come phone drop bought buy phone love love love case, 0.9432, 5]]"
B008VIKGB6,[0.8807],[4],"[[value, ship, son, love]]","[[value ship son love, 0.8807, 4]]"
B008Y2SPH6,"[0.4927, 0.0, 0.9681, 0.6249, -0.1027, 0.296, 0.4404]","[4, 5, 5, 5, 3, 3, 5]","[[product, get, deliver, time], [affect], [replacement, antenna, baofeng, gt, file, plastic, groove, section, antenna, base, fit, base, radio, baofeng, gt, rubber, ducky, antenna, keep, break, resoldering, connection, multiple, time, decide, experiment, replacement, antenna, antenna, excellent, job, sturdy, base, inch, recommend, antenna, buy], [ok, work], [work, give, range, hear, call, im, inside, warehouse], [work, stock, came, baofeng, ht, adn, get, hot], [antenna]]","[[product get deliver time, 0.4927, 4], [affect, 0.0, 5], [replacement antenna baofeng gt file plastic groove section antenna base fit base radio baofeng gt rubber ducky antenna keep break resoldering connection multiple time decide experiment replacement antenna antenna excellent job sturdy base inch recommend antenna buy, 0.9681, 5], [ok work, 0.6249, 5], [work give range hear call im inside warehouse, -0.1027, 3], [work stock came baofeng ht adn get hot, 0.296, 3], [antenna, 0.4404, 5]]"
B009GCTBMG,[0.5719],[5],"[[buy, excellent, product, build, phone, clumsy]]","[[buy excellent product build phone clumsy, 0.5719, 5]]"
B009LNVTAC,"[0.7732, 0.2732]","[5, 3]","[[stylus, good, look], [hand, use, tablet, tip, squishywas, expect, something, longer, sturdy, tip, case, ship]]","[[stylus good look, 0.7732, 5], [hand use tablet tip squishywas expect something longer sturdy tip case ship, 0.2732, 3]]"
B009NVXGAI,"[0.2732, 0.5994, 0.0734, -0.5106, -0.5423, 0.1779, 0.0, 0.0, -0.9174, -0.3089, 0.6249]","[5, 1, 1, 1, 1, 1, 1, 2, 3, 4, 5]","[[get, work, week, work, instruction, sheet, super, write, someone], [work, great, put, sealant, ], [prof], [water, get, fog, use], [rearview, camera, work, purchase, co, worker, wait, hook, get, refund, get, cool, license, plate, decorbr, br, p, coworkers, work, didnt, feel, ask, refund], [doa, say, return], [get, pay, isnt, backup, camera, see, super, clear, color, distort], [cant, believe, clarity, handy, view, monitor, smartphone], [rainfall, water, gotin, camera, end, purchase, item], [work, guide, line]]","[[get work week work instruction sheet super write someone, 0.2732, 5], [work great put sealant , 0.5994, 1], [prof, 0.0734, 1], [water get fog use, -0.5106, 1], [rearview camera work purchase co worker wait hook get refund get cool license plate decorbr br p coworkers work didnt feel ask refund, -0.5423, 1], [doa say return, 0.1779, 1], [get pay isnt backup camera see super clear color distort, 0.0, 1], [cant believe clarity handy view monitor smartphone, 0.0, 2], [rainfall water gotin camera end purchase item, -0.9174, 3], [work guide line, -0.3089, 4], [, 0.6249, 5]]"
B00AG95K32,[0.4404],[5],"[[need, price, quick, ship]]","[[need price quick ship, 0.4404, 5]]"
B00ASJMYFW,[0.0],[5],[[]],"[[, 0.0, 5]]"
