B001AY18U6,"[0.296, 0.7574, 0.5719, 0.0]","[5, 5, 5, 5]","[[happy, fit], [perfect, need], [ok], [hubby, beat, keep, work]]","[[happy fit, 0.296, 5], [perfect need, 0.7574, 5], [ok, 0.5719, 5], [hubby beat keep work, 0.0, 5]]"
B002BS5YAA,"[0.8625, 0.0]","[5, 3]","[[cant, beat, price, sound, pioneer, im, sure, sound, well, amp, spend, money, amp, skimp, want, quality, audio], [woofer, decent, tweeter, khz, produce, high, give, headaces]]","[[cant beat price sound pioneer im sure sound well amp spend money amp skimp want quality audio, 0.8625, 5], [woofer decent tweeter khz produce high give headaces, 0.0, 3]]"
B0036D6O2Q,[0.7438],[3],"[[line, run, bottom, center, dont, time, send, upset, mount, get, picture, blue, ray, passenger, van, monitor, van, kid, want, watch, monitor, want, pickystill, blow, spending, money, mount, find, lineproblem, purchase, thing, primepeople, expect, pay, ship, thing, product, badi, dont, time, itit, ok, otherwise]]","[[line run bottom center dont time send upset mount get picture blue ray passenger van monitor van kid want watch monitor want pickystill blow spending money mount find lineproblem purchase thing primepeople expect pay ship thing product badi dont time itit ok otherwise, 0.7438, 3]]"
B003WM53EQ,[0.0],[5],"[[work, expect]]","[[work expect, 0.0, 5]]"
B004CGDYTM,"[0.0, 0.0]","[3, 5]","[[brand, battery, smartphone, work, way, suppose]]","[[brand battery smartphone work way suppose, 0.0, 3], [, 0.0, 5]]"
B004E329L2,[0.1901],[5],"[[husband, year, buy, store, look, use, pay, lot]]","[[husband year buy store look use pay lot, 0.1901, 5]]"
B004ET07XI,[0.8201],[5],"[[watch, didnt, cost, pricy, love, watch, year, last, tick]]","[[watch didnt cost pricy love watch year last tick, 0.8201, 5]]"
B006ZZPDV0,[0.0],[2],"[[egypt, use, mobinil, wireless, g, usb, doesnt, work]]","[[egypt use mobinil wireless g usb doesnt work, 0.0, 2]]"
B007948AXY,[0.6249],[5],"[[work, great]]","[[work great, 0.6249, 5]]"
B007IXLQ7S,[0.296],[3],[[ok]],"[[ok, 0.296, 3]]"
B008CRJ9PK,[-0.1406],[2],"[[battery, arrive, wont, charge, there, x, icon, startupbr, br, rma, issue, wait, result]]","[[battery arrive wont charge there x icon startupbr br rma issue wait result, -0.1406, 2]]"
B008NBLVGK,[0.6369],[5],"[[arrive, work]]","[[arrive work, 0.6369, 5]]"
B008OHNZI0,"[0.5719, 0.982, 0.7269, 0.6249, 0.9309]","[5, 5, 5, 5, 5]","[[instal, privacy, screen, protector, go, term, installation, follow, instruction, provide, wont, air, bubble, remove, im, worry, turn, problem, confidence, tech, armor, assist, im, satisfy, term, functionality, degree, view, angle, screen, im, happy, purchase, purchase, tech, armor, future], [ship, product], [love, screen, protector, material, thickercant, believe, pay, protector, le, recommend, get, yesterday, say, take, longer, ship, get, love, love, product], [company, offer, life, time, warranty, product, ive, experience, privacy, screen, protector, scratch, month, wear, tear], [excellent]]","[[instal privacy screen protector go term installation follow instruction provide wont air bubble remove im worry turn problem confidence tech armor assist im satisfy term functionality degree view angle screen im happy purchase purchase tech armor future, 0.5719, 5], [ship product, 0.982, 5], [love screen protector material thickercant believe pay protector le recommend get yesterday say take longer ship get love love product, 0.7269, 5], [company offer life time warranty product ive experience privacy screen protector scratch month wear tear, 0.6249, 5], [excellent, 0.9309, 5]]"
B0098FKL34,[0.4404],[5],"[[sturdy, good, protection]]","[[sturdy good protection, 0.4404, 5]]"
B009B100J0,[-0.0258],[3],"[[work, complaint, leave, mark, backside, phone]]","[[work complaint leave mark backside phone, -0.0258, 3]]"
B009BXL6ZK,[0.4404],[5],[[product]],"[[product, 0.4404, 5]]"
B00A3B0PE2,"[0.0, -0.0382]","[1, 1]","[[screen, isnt, grey, think, push, letter, time, get, show], [case, fit, phone, cover, stay, shut, make, use, flap, get, way, use, phone]]","[[screen isnt grey think push letter time get show, 0.0, 1], [case fit phone cover stay shut make use flap get way use phone, -0.0382, 1]]"
B00AASFMSW,"[-0.3412, 0.0129]","[3, 3]","[[cool, look, theory, crack, broke, function, quality, expect], [wood]]","[[cool look theory crack broke function quality expect, -0.3412, 3], [wood, 0.0129, 3]]"
B00AB7FVCY,"[0.765, 0.6249]","[5, 5]","[[thank, muchbr, phone, great]]","[[thank muchbr phone great, 0.765, 5], [, 0.6249, 5]]"
