B000O52ZY0,[0.4404],[5],"[[well, speaker, stock, tahoe]]","[[well speaker stock tahoe, 0.4404, 5]]"
B000P0PF9G,"[0.6249, 0.0, 0.6249, 0.886, 0.5994, 0.7615, 0.7906]","[5, 4, 5, 5, 5, 5, 4]","[[polk, great], [goog], [sound, great], [put, jetta, nice, fit, cut, speaker, wire, clip, car, speaker, tweeter, connection, wire, directlycoaxialtwin, wire, amp, eq, speaker, everything, want, need, great, sound, opinion, nice, bass, inch, speaker], [bit, trick, install, toyota, tundra, bit, reengineering, soldering, get, do, soundas, replace, front, door, speaker], [install, aftermarket, fare, hd, road, king, sound, great], [love]]","[[polk great, 0.6249, 5], [goog, 0.0, 4], [sound great, 0.6249, 5], [put jetta nice fit cut speaker wire clip car speaker tweeter connection wire directlycoaxialtwin wire amp eq speaker everything want need great sound opinion nice bass inch speaker, 0.886, 5], [bit trick install toyota tundra bit reengineering soldering get do soundas replace front door speaker, 0.5994, 5], [install aftermarket fare hd road king sound great, 0.7615, 5], [love, 0.7906, 4]]"
B000V4PZBY,[0.4404],[5],[[expect]],"[[expect, 0.4404, 5]]"
B001RJJ2UM,[0.4215],[5],[[nice]],"[[nice, 0.4215, 5]]"
B001T6VUYO,[0.6249],[5],"[[wish, check, amazon, tell, get, phone, battery, verse, amazon, rock]]","[[wish check amazon tell get phone battery verse amazon rock, 0.6249, 5]]"
B003WM3JUG,[0.1611],[1],"[[reviewer, mine, miss, part, attachment, mount, cradle, look, arkons, quality, control, isnt]]","[[reviewer mine miss part attachment mount cradle look arkons quality control isnt, 0.1611, 1]]"
B004C04P9Q,[0.7351],[5],"[[excellent, thank]]","[[excellent thank, 0.7351, 5]]"
B004EK7EG0,"[0.7096, 0.4927, 0.6249]","[5, 5, 5]","[[work, range, antenna, get, swr], [work, expect, meter, run, watt, issue]]","[[work range antenna get swr, 0.7096, 5], [work expect meter run watt issue, 0.4927, 5], [, 0.6249, 5]]"
B004LB2HCI,[0.8316],[5],"[[excellent, work]]","[[excellent work, 0.8316, 5]]"
B004MYFTFQ,"[-0.1027, -0.2023, 0.5719, -0.6133]","[4, 1, 5, 2]","[[voice, recognition, respond, gps, understand, command, frustrate], [return, mine, max, volume, way, hear, tomtoms, way, louder, voice, recognition], [work, battery, difficult, replace], [boyfriend, love]]","[[voice recognition respond gps understand command frustrate, -0.1027, 4], [return mine max volume way hear tomtoms way louder voice recognition, -0.2023, 1], [work battery difficult replace, 0.5719, 5], [boyfriend love, -0.6133, 2]]"
B004PGM9PO,"[0.8271, 0.0, 0.5267, 0.9255, 0.6997, 0.9349, 0.5719]","[2, 3, 5, 5, 5, 4, 5]","[[work, make, press, tx, button, wait, second, speak, otherwise, word, get, kind, radio, youre, use, quality, radio, transmit, take, get, use, tobr, decent, quality, radio, ok, range, work, water, resource, need, radio, test, waterproof, couple, occasion, work], [unit, come, describe, packagingvery, shape, unit, advertise, distancei, havent, get, work, milehoping, waterbut, look, term, performance], [charge, stand, didnt, work, couldnt, charge, return], [replace, set, motorola, radio, start, fail, work, great, understand, others, message, use, mini, cooper, bmw, z, series, car, club, drive], [belt, clip, break, radio, use, day, issue, break, belt, clip], [perfect, trip], [own, way, radio, year, way, radio, work, mile, wooded, terrain, please, seller, recommend]]","[[work make press tx button wait second speak otherwise word get kind radio youre use quality radio transmit take get use tobr decent quality radio ok range work water resource need radio test waterproof couple occasion work, 0.8271, 2], [unit come describe packagingvery shape unit advertise distancei havent get work milehoping waterbut look term performance, 0.0, 3], [charge stand didnt work couldnt charge return, 0.5267, 5], [replace set motorola radio start fail work great understand others message use mini cooper bmw z series car club drive, 0.9255, 5], [belt clip break radio use day issue break belt clip, 0.6997, 5], [perfect trip, 0.9349, 4], [own way radio year way radio work mile wooded terrain please seller recommend, 0.5719, 5]]"
B005F1IAAQ,[0.6249],[5],"[[work, great]]","[[work great, 0.6249, 5]]"
