9984575489,[0.3612],[1],"[[sctraches, side, use, year]]","[[sctraches side use year, 0.3612, 1]]"
B0000AQQUY,[0.6249],[4],"[[work, great, give, need, fish, want, transducer, front, console, sonar, us, transducer, transom]]","[[work great give need fish want transducer front console sonar us transducer transom, 0.6249, 4]]"
B0002JTD2A,[0.296],[5],"[[stable, power, easytoread, ammeter]]","[[stable power easytoread ammeter, 0.296, 5]]"
B0007NWLXO,[-0.6908],[4],"[[purchase, replace, older, plantronics, headset, chair, fit, round, part, rotate, ear, strain, pain, wear, period, time, mouth, piece, rotate, away, mouth]]","[[purchase replace older plantronics headset chair fit round part rotate ear strain pain wear period time mouth piece rotate away mouth, -0.6908, 4]]"
B000MCKAHE,"[0.0, 0.6249]","[4, 5]","[[sound, great], [price, beat]]","[[sound great, 0.0, 4], [price beat, 0.6249, 5]]"
B000VNJDEU,[0.0],[1],"[[hold, charge]]","[[hold charge, 0.0, 1]]"
B002B5HT9M,[-0.8957],[1],"[[din, stereo, doesnt, fit, openingbr, instruction, thats, vague, part, confusingbr, waste, end, trash, ill, need, buy, different, kit]]","[[din stereo doesnt fit openingbr instruction thats vague part confusingbr waste end trash ill need buy different kit, -0.8957, 1]]"
B0032FOKAG,[0.5423],[5],"[[mmmmmmmm, sound, dream]]","[[mmmmmmmm sound dream, 0.5423, 5]]"
B004HKBY8G,"[0.765, 0.9498, 0.8658]","[5, 4, 5]","[[product, save, make, head, unit, accepts, plug, head, unit, wire, setup], [everything, fine, useful, expect, delivery, service], [device, tuck, radio, difficulty, programming, correct, attempt, function, factory, retain, case, overall, great, product, good, support, well, lose, steer, wheel, function]]","[[product save make head unit accepts plug head unit wire setup, 0.765, 5], [everything fine useful expect delivery service, 0.9498, 4], [device tuck radio difficulty programming correct attempt function factory retain case overall great product good support well lose steer wheel function, 0.8658, 5]]"
B004M4P4PQ,[0.4404],[5],"[[cover, finder, work, expect]]","[[cover finder work expect, 0.4404, 5]]"
B005612TNE,"[0.0, 0.7964]","[4, 5]","[[sent, gift, year, love], []]","[[sent gift year love, 0.0, 4], [, 0.7964, 5]]"
B005FUZMGW,[0.0],[5],[[want]],"[[want, 0.0, 5]]"
B0065M5NU4,[0.7906],[4],"[[ok, voltage, alarm, come, batteries, show, volt, cooling, fan, unit, come, remote, battery, total, amp, hour, work, battery, bank]]","[[ok voltage alarm come batteries show volt cooling fan unit come remote battery total amp hour work battery bank, 0.7906, 4]]"
B006V6N9NM,[-0.4019],[3],"[[dont, know, work, fault, check, phone, use, product]]","[[dont know work fault check phone use product, -0.4019, 3]]"
B007COT5BC,[0.7003],[5],"[[product, johnn]]","[[product johnn, 0.7003, 5]]"
B007UT6DQ4,[0.5719],[5],[[excellent]],"[[excellent, 0.5719, 5]]"
B007X938XM,[0.4404],[4],"[[silicone, skin, good]]","[[silicone skin good, 0.4404, 4]]"
B0086U3QIO,[-0.765],[1],"[[drop, ipod, touch, shatter, mention, ipod, slip, pocket, suppose, hold, tight, call, case, leather, pouch, extreme, let, get]]","[[drop ipod touch shatter mention ipod slip pocket suppose hold tight call case leather pouch extreme let get, -0.765, 1]]"
