B0009SUEX6,[0.5719],[5],"[[excellent, product]]","[[excellent product, 0.5719, 5]]"
B000XYN5RS,[0.9812],[3],"[[need, something, white, elephant, party, year, think, cool, great, gift, monitor, number, people, gift, others, winner, team, ask, work, reason, star, cute, gift, look, something, keep, drink, chill, choice, wasnt, look, suppose, keep, cooler, find, work, think, look, desk, itbr, plug, usb, port, fan, associate, case, wondering, sound, loud, noticeablebr, br, overall, gift, something, white, elephant]]","[[need something white elephant party year think cool great gift monitor number people gift others winner team ask work reason star cute gift look something keep drink chill choice wasnt look suppose keep cooler find work think look desk itbr plug usb port fan associate case wondering sound loud noticeablebr br overall gift something white elephant, 0.9812, 3]]"
B000YR4JRO,[0.3612],[5],"[[fit, custom, radio, install, nissan, frontier]]","[[fit custom radio install nissan frontier, 0.3612, 5]]"
B0013MWT12,[0.787],[4],"[[built, box, good, size, give, star, sq, hdc, dose, fit, bore, anther, inch, inch, fit, ok, work]]","[[built box good size give star sq hdc dose fit bore anther inch inch fit ok work, 0.787, 4]]"
B0015A4V0E,[0.0],[5],[[purchase]],"[[purchase, 0.0, 5]]"
B003BDPVX4,[0.6369],[5],"[[item, order, carry, cell, phone, look, convenient]]","[[item order carry cell phone look convenient, 0.6369, 5]]"
B003KD1PJY,[0.891],[5],"[[value, great, handy]]","[[value great handy, 0.891, 5]]"
B0042ESTSK,"[0.6249, 0.4927]","[5, 5]","[[case, heart, rate, monitor, life, bought, case, watch, monitor, strap], [carrying, garmin, edge, accompany, equipment]]","[[case heart rate monitor life bought case watch monitor strap, 0.6249, 5], [carrying garmin edge accompany equipment, 0.4927, 5]]"
B00433SP9S,[-0.4215],[4],"[[bottom, case, charger, connects, break, month]]","[[bottom case charger connects break month, -0.4215, 4]]"
B0046E47IM,"[0.6124, -0.5423, 0.0]","[5, 1, 5]","[[horrid, put, find, bed, morning, found, dog], [deal, fit], [job]]","[[horrid put find bed morning found dog, 0.6124, 5], [deal fit, -0.5423, 1], [job, 0.0, 5]]"
B004EFEJ0Y,[-0.296],[1],"[[work, ]]","[[work , -0.296, 1]]"
B004K4Y80K,"[-0.2755, 0.4588]","[1, 5]","[[work, lg, g, make, neat, keep, compartment], [charger, week, cord, jam, recommend, product]]","[[work lg g make neat keep compartment, -0.2755, 1], [charger week cord jam recommend product, 0.4588, 5]]"
B004TS2GJC,[0.2382],[3],"[[phone, people, tech]]","[[phone people tech, 0.2382, 3]]"
B004V3XM9S,[-0.3506],[3],"[[problem, wifes, iphones, develop, issue, wifi, become, disable, cheap, use, android, phone, bell, whistle]]","[[problem wifes iphones develop issue wifi become disable cheap use android phone bell whistle, -0.3506, 3]]"
B005HR9VSI,[-0.6055],[1],"[[worst, product, phone, keep, turn, charge, problem, put, password, min, take, verizon, store, tell, format, throgh, computer, didnt, work, dont, buy]]","[[worst product phone keep turn charge problem put password min take verizon store tell format throgh computer didnt work dont buy, -0.6055, 1]]"
B005J6OO02,[0.5994],[5],"[[wife, love]]","[[wife love, 0.5994, 5]]"
B005P5UMY4,"[-0.4391, -0.6126, 0.6249, 0.6119]","[1, 2, 5, 4]","[[wire, picture, camera, wash, slightest, sun, light], [view, grid, know, anything, close, end, buy, front, switch, rear, front, change, gear, switch, button, front, rear], [worker, ok, set, recommend, star, screen, shot], [hook, unit, monitor, work, dissatisfy]]","[[wire picture camera wash slightest sun light, -0.4391, 1], [view grid know anything close end buy front switch rear front change gear switch button front rear, -0.6126, 2], [worker ok set recommend star screen shot, 0.6249, 5], [hook unit monitor work dissatisfy, 0.6119, 4]]"
B005VFOBSQ,[0.0],[2],"[[access, keep, tear, rip, couple, month, use, thats, done, meand]]","[[access keep tear rip couple month use thats done meand, 0.0, 2]]"
B006AL81MW,[0.9681],[4],"[[purchase, package, case, im, please, reminds, spigen, case, see, iphones, minimalist, provide, protection, corner, case, doesnt, add, bulk, device, feel, balance, protection, maintain, slim, dimension, walkmanbr, br, case, make, material, allow, slip, pocket, material, isnt, sticky, stretchy, silicone, case, purchase, case, hope, yellow, time, dont, use, belt, clip, holster, chief, concern, shop, productbr, br, reviewer, comment, bump, case, mean, belt, clip, doesnt, bother, look, prominent, picture, flexibility, use, holster, want, note, holster, seem, cheap, doubt, breaking, fact, im, sure, trust, holster, retain, device, im, okay, mention, earlier, purchase, package, case, armband, use, exercisebr, br, im, real, impress, screen, protector, thickness, feel, device, think, package, good, purchase, recommend]]","[[purchase package case im please reminds spigen case see iphones minimalist provide protection corner case doesnt add bulk device feel balance protection maintain slim dimension walkmanbr br case make material allow slip pocket material isnt sticky stretchy silicone case purchase case hope yellow time dont use belt clip holster chief concern shop productbr br reviewer comment bump case mean belt clip doesnt bother look prominent picture flexibility use holster want note holster seem cheap doubt breaking fact im sure trust holster retain device im okay mention earlier purchase package case armband use exercisebr br im real impress screen protector thickness feel device think package good purchase recommend, 0.9681, 4]]"
B007B5ZPGG,"[0.7906, 0.1027]","[5, 1]","[[work, fine, charge, month, use], [product, price]]","[[work fine charge month use, 0.7906, 5], [product price, 0.1027, 1]]"
B007NA9WXG,"[0.2023, 0.4767, 0.3716]","[5, 4, 4]","[[droid, phone, work, fine, sim, card, order, use, phone, droid, ], [ok, worth, price], [phone, work, front, camera, suck, phone]]","[[droid phone work fine sim card order use phone droid , 0.2023, 5], [ok worth price, 0.4767, 4], [phone work front camera suck phone, 0.3716, 4]]"
B007Y2YX7S,[0.6597],[4],"[[look, case]]","[[look case, 0.6597, 4]]"
B0085I4BA4,[0.6908],[4],"[[buy, get, cheap, love, case, seem, cheap, like]]","[[buy get cheap love case seem cheap like, 0.6908, 4]]"
B009QSWGAE,"[0.3612, 0.0]","[5, 1]","[[price], [fit, ipod, get]]","[[price, 0.3612, 5], [fit ipod get, 0.0, 1]]"
B00AF10CCU,[0.9429],[4],"[[flash, light, bright, get, good, battery, life, construction, department, expect, price, allow, vehicle, get, lose, wont, id, order, need, light, drawer, cabinet, good, hike, tent, camper]]","[[flash light bright get good battery life construction department expect price allow vehicle get lose wont id order need light drawer cabinet good hike tent camper, 0.9429, 4]]"
B00AF975YK,[0.2263],[3],"[[nice, sturdy, color, start, phone]]","[[nice sturdy color start phone, 0.2263, 3]]"
B00AI87GFG,[-0.4215],[1],"[[broke, week, junk]]","[[broke week junk, -0.4215, 1]]"
B00AT6N7CS,[0.1184],[5],"[[light, weight, case, perfect, adult, use, recommend, child, tablet]]","[[light weight case perfect adult use recommend child tablet, 0.1184, 5]]"
B00B2G9WSC,[0.8316],[5],"[[quality, fit, phone, perfect, come, estimate, date]]","[[quality fit phone perfect come estimate date, 0.8316, 5]]"
B00B8ZB41K,[0.6808],[3],"[[wish, tail, stay, well]]","[[wish tail stay well, 0.6808, 3]]"
B00BEJOPNO,[0.7343],[5],"[[buy, wife, sister, saw, love, bought, turn, buy, kid, drawback, side, tone, ie, dont, hear, speak, deal, get, use, bought, reduction, radiation, people, know, come, brain, cancer, course, make, feel, safer, clear, sound, phone, use, samsung, galaxy, iii, lg, volt, apple, ]]","[[buy wife sister saw love bought turn buy kid drawback side tone ie dont hear speak deal get use bought reduction radiation people know come brain cancer course make feel safer clear sound phone use samsung galaxy iii lg volt apple , 0.7343, 5]]"
B00BIETAI0,[0.4215],[5],[[nice]],"[[nice, 0.4215, 5]]"
B00BPK5964,"[-0.7684, 0.6369, -0.0294, 0.7783, 0.8537]","[2, 5, 4, 5, 5]","[[get, rubber, tip, one], [weight, length, take, tap, tablet, react, older, fat, tip, medge, stylus, issuesbr, ill, keep, tip, im, disappoint, function], [work, pack, buy, keep, lose, dont, attach, tablet, make, tip, stay, screw, work, tap], [pen, great, purchase, pen, pen], [buy, product]]","[[get rubber tip one, -0.7684, 2], [weight length take tap tablet react older fat tip medge stylus issuesbr ill keep tip im disappoint function, 0.6369, 5], [work pack buy keep lose dont attach tablet make tip stay screw work tap, -0.0294, 4], [pen great purchase pen pen, 0.7783, 5], [buy product, 0.8537, 5]]"
B00CIUAK9G,"[-0.765, 0.0]","[1, 5]","[[excelente, gracias], [piece, junk, apps, crash, photo, cant, send, text, photo, version, well, disappointment, wont, keep]]","[[excelente gracias, -0.765, 1], [piece junk apps crash photo cant send text photo version well disappointment wont keep, 0.0, 5]]"
B00CR74FKA,[0.0],[5],"[[expect, quick, delivery]]","[[expect quick delivery, 0.0, 5]]"
