105995656X,[0.6597],[5],"[[issue, productbut, wireless, solution, send, replacement, excellent, customer, service]]","[[issue productbut wireless solution send replacement excellent customer service, 0.6597, 5]]"
B0002BG69Q,"[0.8555, 0.8674, 0.6249]","[2, 5, 5]","[[work, radio, bought, car, friend, cross, wire, assume, didnt, work, get, figure, perfect], [type, color, guide, harness, receive, unpackaged, harness, envelope, isnt, metra, harness, search, search, use, online, schematic, match, car, wire, harness, everything, work, fine, end, head, unit, car, radio, light, dont, turn, headlight, turn, suppose, connect, disconnect, reconnect, dozen, wire, combination, make, wire, time, consumingwasting, time, ill, buy, brand, part, metra, make, china, junk, come, info, instruction, type, help, number, website, address, help, company, give]]","[[work radio bought car friend cross wire assume didnt work get figure perfect, 0.8555, 2], [type color guide harness receive unpackaged harness envelope isnt metra harness search search use online schematic match car wire harness everything work fine end head unit car radio light dont turn headlight turn suppose connect disconnect reconnect dozen wire combination make wire time consumingwasting time ill buy brand part metra make china junk come info instruction type help number website address help company give, 0.8674, 5], [, 0.6249, 5]]"
B0007KK2CE,[-0.2755],[3],"[[fit, chevy, tahoe, state]]","[[fit chevy tahoe state, -0.2755, 3]]"
B000FMPENQ,"[-0.5106, 0.3626, -0.2057, -0.1027]","[1, 4, 3, 1]","[[blew, turn, loud, hear, road, noise, worthless, get, pay, forbr, ], [sound, isnt, get, pay, end, repair, jl, audio, speaker, reintalled, return, pyle], [dont, handle, power], [speaker, shock, sound, consider, price]]","[[blew turn loud hear road noise worthless get pay forbr , -0.5106, 1], [sound isnt get pay end repair jl audio speaker reintalled return pyle, 0.3626, 4], [dont handle power, -0.2057, 3], [speaker shock sound consider price, -0.1027, 1]]"
B000TA4WNW,"[0.0, -0.1027]","[1, 3]","[[power, v, dc, product, cause, amount, fm, transmitter, point, listing, music, irritate, converter, performs, fm, transmitter], [didnt, work]]","[[power v dc product cause amount fm transmitter point listing music irritate converter performs fm transmitter, 0.0, 1], [didnt work, -0.1027, 3]]"
B001GBG7NG,[0.1967],[5],"[[nothing, spent, money, use]]","[[nothing spent money use, 0.1967, 5]]"
B001HE2ENY,[0.7906],[5],"[[thanks, nano, work, cover, scratch]]","[[thanks nano work cover scratch, 0.7906, 5]]"
B004BAXAHA,[-0.6597],[1],"[[replace, week, stop, work]]","[[replace week stop work, -0.6597, 1]]"
B004QTBQ2C,[0.3182],[4],[[cool]],"[[cool, 0.3182, 4]]"
B0051HAYQ2,"[0.6249, 0.6369]","[5, 5]","[[expect], [everything, order, awesome, grill, mat, wasnt, look]]","[[expect, 0.6249, 5], [everything order awesome grill mat wasnt look, 0.6369, 5]]"
B0052ZQ5RA,[0.8481],[5],"[[work, great, price]]","[[work great price, 0.8481, 5]]"
