1061799832,[-0.296],[5],"[[work, advertise, issue]]","[[work advertise issue, -0.296, 5]]"
9713019164,[0.5719],[5],"[[purchase, item, replacement, daughter, phone, broke, work]]","[[purchase item replacement daughter phone broke work, 0.5719, 5]]"
998382082X,[0.1664],[5],"[[find, try, store, san, francisco, luck, item, way, date, say, yeah, phone, work, lead, light, tell, power]]","[[find try store san francisco luck item way date say yeah phone work lead light tell power, 0.1664, 5]]"
B00003WGP5,[-0.296],[5],"[[work, need, arrive, part, advertise, arrive, time, issue]]","[[work need arrive part advertise arrive time issue, -0.296, 5]]"
B002VDSZII,[0.0],[1],"[[product, crack, lcd, screen, somehow, think, product, replace, crack, screen]]","[[product crack lcd screen somehow think product replace crack screen, 0.0, 1]]"
B0030CNH8W,[0.0],[4],"[[say, piece, wire, work]]","[[say piece wire work, 0.0, 4]]"
B0038OLL2Q,"[-0.8086, 0.2732, 0.8481]","[1, 3, 4]","[[way, rate, item, minus, star, rate, hunk, minus, ten, starsbr, br, buy, thing, year, anticipation, convert, cassette, mp, retire, try, get, garbage, work, fail, respectbr, br, load, program, disc, instruct, download, itunes, try, program, start, record, got, message, need, download, itunes, run, repair, program, itunes, avail, workbr, br, bottom, line, get, computer, use, window, recognize, thing, way, shape, form, im, go, send, dont, want, unfortunate, person, get, y, thing, im, take, lb, sledge, hammer, thing, morning], [work, expect], [order, yesterday, get, today, minute, open, box, use, use, include, software, use, audio, hijack, find, usb, audio, hardware, clickbr, br, sound, work, need, engineering, degree, work, machine, ion, product, work, wellbr, br, course, weeksmonths, issue, revisit, review]]","[[way rate item minus star rate hunk minus ten starsbr br buy thing year anticipation convert cassette mp retire try get garbage work fail respectbr br load program disc instruct download itunes try program start record got message need download itunes run repair program itunes avail workbr br bottom line get computer use window recognize thing way shape form im go send dont want unfortunate person get y thing im take lb sledge hammer thing morning, -0.8086, 1], [work expect, 0.2732, 3], [order yesterday get today minute open box use use include software use audio hijack find usb audio hardware clickbr br sound work need engineering degree work machine ion product work wellbr br course weeksmonths issue revisit review, 0.8481, 4]]"
B003GSLDUY,[0.9893],[5],"[[stereo, kit, put, cooler, float, trip, order, people, know, make, pro, kit, includes, everything, need, wire, amp, speaker, aux, hookup, phone, ipod, etc, speaker, dont, play, bass, heavy, music, volume, crank, max, speaker, sound, decent, amp, fit, place, cooler, atv, motorcycle, con, volume, knob, come, volume, go, knob, increase, oclock, oclock, maxed, knob, max, oclock, rest, way, nothing, doesnt, get, louder, isnt, deal, something, want, point, people, bag, meant, hold, cellphone, ipod, cellphone, case, bag, remove, case, galaxy, case, wouldnt, fit, bag, kit, money, expect, super, loud, music, clear, concert, look, product, remind, everybody, speaker, piece, get, pay, believe, people, product, keep, mind, cheap, kit, work, someone, look, music, boat, atv, cooler, need, something, cheap, doesnt, sound, go, get, product, wont, disappoint]]","[[stereo kit put cooler float trip order people know make pro kit includes everything need wire amp speaker aux hookup phone ipod etc speaker dont play bass heavy music volume crank max speaker sound decent amp fit place cooler atv motorcycle con volume knob come volume go knob increase oclock oclock maxed knob max oclock rest way nothing doesnt get louder isnt deal something want point people bag meant hold cellphone ipod cellphone case bag remove case galaxy case wouldnt fit bag kit money expect super loud music clear concert look product remind everybody speaker piece get pay believe people product keep mind cheap kit work someone look music boat atv cooler need something cheap doesnt sound go get product wont disappoint, 0.9893, 5]]"
B003TUSWG2,"[0.0, 0.2732]","[2, 5]","[[doesnt, charge, fast], [work]]","[[doesnt charge fast, 0.0, 2], [work, 0.2732, 5]]"
B003XW8UPO,"[0.6249, 0.5994, -0.6956]","[5, 5, 5]","[[buy, year, half, going, knock, suppose, explode], [work, fine, life, dwindle, oem, battery, solid, replacement]]","[[buy year half going knock suppose explode, 0.6249, 5], [work fine life dwindle oem battery solid replacement, 0.5994, 5], [, -0.6956, 5]]"
B005I6V39I,"[0.2023, 0.4404]","[5, 4]","[[work, fine, price]]","[[work fine price, 0.2023, 5], [, 0.4404, 4]]"
B005Q74EEU,[0.5719],[4],"[[give, niece, put, mini, ipod, love]]","[[give niece put mini ipod love, 0.5719, 4]]"
B0069S8PB8,"[0.5389, 0.0]","[5, 2]","[[perfect, caveman, husband, doesnt, want, smartphone, hook, verizon, acct, hitch], [buy, battery, came, keep, charge, day]]","[[perfect caveman husband doesnt want smartphone hook verizon acct hitch, 0.5389, 5], [buy battery came keep charge day, 0.0, 2]]"
B00792QCE0,[0.7351],[5],"[[perfect, fit]]","[[perfect fit, 0.7351, 5]]"
