B0002SYC5O,"[0.3612, 0.1531]","[5, 3]","[[get, time, expect, thank, product, describe], [ok, way, lot, extension]]","[[get time expect thank product describe, 0.3612, 5], [ok way lot extension, 0.1531, 3]]"
B000MCKA1K,"[0.7574, 0.8402]","[5, 5]","[[amp, sub, pound, crazy, love], [amplifier, please]]","[[amp sub pound crazy love, 0.7574, 5], [amplifier please, 0.8402, 5]]"
B000MPMHK4,"[-0.9211, 0.5994]","[2, 5]","[[transducer, receive, time, instal, problem, unit, place, service, start, problem, gps, minute, power, unit, background, dim, power, unit, restart, start, problem, return], [satisfy]]","[[transducer receive time instal problem unit place service start problem gps minute power unit background dim power unit restart start problem return, -0.9211, 2], [satisfy, 0.5994, 5]]"
B0018P7WZ2,"[0.9423, -0.7096]","[5, 5]","[[excellent, product, usb, music, play, use, aux, jack, talk, hand, iphone, phone, ring, stop, phone, hang, phone, music, start, make, vehicle, tech, pricebr, br, friend, saw, order], [buy, home, car, ipod, die, cost, incompatibility, issue, talk, buy, work, expect, couldnt, believe, price, put, mp, sd, card, usb, stick, youre, business, youre, fm, radio, headphone]]","[[excellent product usb music play use aux jack talk hand iphone phone ring stop phone hang phone music start make vehicle tech pricebr br friend saw order, 0.9423, 5], [buy home car ipod die cost incompatibility issue talk buy work expect couldnt believe price put mp sd card usb stick youre business youre fm radio headphone, -0.7096, 5]]"
B001GQ2Q04,"[0.765, 0.0]","[5, 4]","[[expect, plastic, mount, bracket], [fit, great, look, factory]]","[[expect plastic mount bracket, 0.765, 5], [fit great look factory, 0.0, 4]]"
B001HBOYLC,[0.7269],[4],"[[flag, price, yankee, flag, hardware, hang, replace, something, bit, sturdier]]","[[flag price yankee flag hardware hang replace something bit sturdier, 0.7269, 4]]"
B001RHS8IQ,[0.296],[3],[[ok]],"[[ok, 0.296, 3]]"
B0041HQ41C,[0.8724],[5],"[[work, great, cord, fall, charge, store, backup]]","[[work great cord fall charge store backup, 0.8724, 5]]"
B004GO10VE,[0.6249],[5],"[[work, great]]","[[work great, 0.6249, 5]]"
B004GV03JM,[0.9964],[5],"[[know, option, price, use, head, try, im, take, trip, uk, stop, netherlands, want, use, sim, lock, att, gophone, zte, z, flip, phone, get, gift, unlock, phone, cost, get, code, separate, website, find, unlock, phone, lot, tutorial, sim, stuff, phone, standard, size, sim, slot, phone, sim, fit, charm, allinone, size, sim, anyway, wasnt, worry, itd, fit, unlock, phone, need, activate, sim, inside, set, detail, instruction, activate, come, product, give, option, instruction, download, app, smart, phone, go, account, website, order, activatebr, br, activate, select, america, region, ask, att, phone, say, north, america, screen, boom, second, got, text, message, phone, number, boom, number, hand, time, test, call, decide, use, regular, phone, verizon, samsung, call, phone, call, number, success, use, gophone, call, regular, phone, add, symbol, enter, country, code, enter, area, code, instruction, tell, gophone, heard, nothing, phone, start, ringing, husband, pick, bam, success, text, message, decide, take, gophone, text, dear, mum, life, city, get, goodbr, br, download, app, use, login, account, check, see, damage, show, credit, limit, show, phone, call, place, sort, date, time, time, message, number, number, make, call, cost, outbound, phone, call, verizon, phone, cost, go, telestials, find, rate, finder, tool, select, appropriate, sim, card, site, break, paying, call, youre, call, select, region, call, region, make, call, tool, play, tool, give, idea, cost, go, location, website, use, tool, select, dollar, show, rate, say, call, call, text, message, meaning, im, locate, use, phone, number, texting, phone, number, say, yup, charge, surprise, use, uk, number, uk, dont, worry, cheap, freebr, br, lesson, go, use, rate, finder, tool, homework, location, ratesbr, spent, buck, sim, acquire, unlock, code, phone, purchase, flip, phone, freebr, br, update, post, uk, tripbr, im, happy, sim, turn, stay, bradfordonavon, uk, country, service, way, outbound, call, country, type, sign, country, code, number, click, call, give, error, message, look, hung, second, call, start, ring, connects, try, call, weird, credit, leave, week, leave, account, recharge, account, call, hubby, mom, call, day, say, im, make, uk, call, time, phone, come, travel, buddy, phone, viber, app, smartphone, wish, phone, cottage, wifi, country, relying, wifi, fun, make, call, give, phone, call, mom, didnt, homework, pthe, number, click, call, give, error, message, look, hung, second, call, start, ring, connects, try, call, weird, credit, leave, week, leave, account, recharge, account, call, hubby, mom, call, day, say, im, make, uk, call, time, phone, come, travel, buddy, phone, viber, app, smartphone, wish, phone, cottage, wifi, country, relying, wifi, fun, make, call, give, phone, call, mom, didnt, homework, p]]","[[know option price use head try im take trip uk stop netherlands want use sim lock att gophone zte z flip phone get gift unlock phone cost get code separate website find unlock phone lot tutorial sim stuff phone standard size sim slot phone sim fit charm allinone size sim anyway wasnt worry itd fit unlock phone need activate sim inside set detail instruction activate come product give option instruction download app smart phone go account website order activatebr br activate select america region ask att phone say north america screen boom second got text message phone number boom number hand time test call decide use regular phone verizon samsung call phone call number success use gophone call regular phone add symbol enter country code enter area code instruction tell gophone heard nothing phone start ringing husband pick bam success text message decide take gophone text dear mum life city get goodbr br download app use login account check see damage show credit limit show phone call place sort date time time message number number make call cost outbound phone call verizon phone cost go telestials find rate finder tool select appropriate sim card site break paying call youre call select region call region make call tool play tool give idea cost go location website use tool select dollar show rate say call call text message meaning im locate use phone number texting phone number say yup charge surprise use uk number uk dont worry cheap freebr br lesson go use rate finder tool homework location ratesbr spent buck sim acquire unlock code phone purchase flip phone freebr br update post uk tripbr im happy sim turn stay bradfordonavon uk country service way outbound call country type sign country code number click call give error message look hung second call start ring connects try call weird credit leave week leave account recharge account call hubby mom call day say im make uk call time phone come travel buddy phone viber app smartphone wish phone cottage wifi country relying wifi fun make call give phone call mom didnt homework pthe number click call give error message look hung second call start ring connects try call weird credit leave week leave account recharge account call hubby mom call day say im make uk call time phone come travel buddy phone viber app smartphone wish phone cottage wifi country relying wifi fun make call give phone call mom didnt homework p, 0.9964, 5]]"
B004GVZEM8,[0.7947],[5],"[[work, install, fact, u, take, bracket, take, apart]]","[[work install fact u take bracket take apart, 0.7947, 5]]"
