1059359189,"[0.0382, 0.6249]","[1, 5]","[[break, item], [work, great]]","[[break item, 0.0382, 1], [work great, 0.6249, 5]]"
5891060302,[-0.4168],[4],"[[case, flimsy, wont, protect, phone, steal, price]]","[[case flimsy wont protect phone steal price, -0.4168, 4]]"
9788925316,[-0.8271],[1],"[[waste, money, mine, broke, week]]","[[waste money mine broke week, -0.8271, 1]]"
B000K4V564,"[-0.0205, 0.6546]","[5, 4]","[[perfect, fit, nice, fit], [kit, look, nice, car, instruction, piece, suppose, replace, lcd, screen, doesnt, fit, take, time, figure, bracket, come, kit, use, put, lcd, screen, note, instruction, say, nothing, figure, happy, guy, figure, aggravate, product]]","[[perfect fit nice fit, -0.0205, 5], [kit look nice car instruction piece suppose replace lcd screen doesnt fit take time figure bracket come kit use put lcd screen note instruction say nothing figure happy guy figure aggravate product, 0.6546, 4]]"
B000KZRE5E,[0.1632],[2],"[[im, sure, time, id, get, use, way, thing, work, im, lazy, im, frustrate, autocalibration, review, want, log, data, time, useless, gopro, sit, recording, dont, ridiculousbr, br, wasnt, cheap, sting, bite, tesla, sting, think, awesome, tesla, model, car, theni, dont, care, gforce, monitor, anymore, phone, app, work, well, log, data, go, galaxy, sbr, br, waiti, bet, product, benefit, add, model, line]]","[[im sure time id get use way thing work im lazy im frustrate autocalibration review want log data time useless gopro sit recording dont ridiculousbr br wasnt cheap sting bite tesla sting think awesome tesla model car theni dont care gforce monitor anymore phone app work well log data go galaxy sbr br waiti bet product benefit add model line, 0.1632, 2]]"
B000UOD5QM,[0.5719],[4],"[[excellent, product]]","[[excellent product, 0.5719, 4]]"
B001NCDB1O,[0.6369],[5],[[work]],"[[work, 0.6369, 5]]"
B00278ZQBQ,[0.3612],[5],"[[thank, d]]","[[thank d, 0.3612, 5]]"
B0029M3NSS,[0.4215],[4],[[nice]],"[[nice, 0.4215, 4]]"
B003QRBIQY,[0.4404],[5],"[[carryusefulwould, buy]]","[[carryusefulwould buy, 0.4404, 5]]"
B0047EM82I,"[-0.2755, 0.0, 0.6124]","[3, 1, 5]","[[come, bend, bubble], [pass, test, year, toss, way, tablet, protect, reccommend], [didnt, fit, tab, inch, trim]]","[[come bend bubble, -0.2755, 3], [pass test year toss way tablet protect reccommend, 0.0, 1], [didnt fit tab inch trim, 0.6124, 5]]"
B004PQK0VE,[0.6369],[5],"[[arrive, part, work]]","[[arrive part work, 0.6369, 5]]"
B004RQPBOS,[0.7501],[1],"[[year, ownership, strap, monitor, detach, center, piece, see, picture, ok, monitoring, seem, set, anything, give, star, seem, thing, need, either, go, use, monitor, get, sturdier, monitor, get, sturdier, monitor, pyle, recommend, unit, pyle]]","[[year ownership strap monitor detach center piece see picture ok monitoring seem set anything give star seem thing need either go use monitor get sturdier monitor get sturdier monitor pyle recommend unit pyle, 0.7501, 1]]"
B004TXRG4W,[0.3612],[5],[[thank]],"[[thank, 0.3612, 5]]"
B004VSZCCS,[0.0],[3],"[[rubber, cover]]","[[rubber cover, 0.0, 3]]"
B005ZG0342,[0.6538],[5],"[[love, fit, ultra, case, brand, quality]]","[[love fit ultra case brand quality, 0.6538, 5]]"
B0061GJ74C,"[0.7845, 0.5994, 0.0644]","[5, 5, 3]","[[please, phone, need, close, didn, call, everyone, pricey, need], [phone, come, expect, time, state, order, use, month, work, battery, stay, charge, day, product, look, brand, use, replacement, phone, order, order, vender], [super, phone, sturdy]]","[[please phone need close didn call everyone pricey need, 0.7845, 5], [phone come expect time state order use month work battery stay charge day product look brand use replacement phone order order vender, 0.5994, 5], [super phone sturdy, 0.0644, 3]]"
B0061SSVMY,[0.2732],[5],"[[charge, product]]","[[charge product, 0.2732, 5]]"
B0062ICRGE,"[0.7351, 0.4404, 0.7362, 0.0, -0.9009, 0.0, 0.7964, 0.296, 0.5719, 0.4404, 0.0, 0.5719, 0.7159]","[5, 4, 1, 5, 1, 4, 4, 5, 5, 5, 1, 5, 5]","[[recomendado], [apple, iphone, gb, white, unlock, activate, phone, couple, week, agobr, make, phone, call, people, end, couldnt, hear, say, voice, breaking, upbr, take, phone, apple, store, say, phone, say, phone, year], [assume, guarantee, product, month, use, phone, company, turn, punish, law, fraud, ], [investment, im, love, phone], [phone, unlock, phone, arrive, br, phone, work], [ok], [thank], [excelente], [excellent, thank], [iphone, come, wifi, adapter, work, try, contact, apple, help, bd, gift, day, bd, come, iphone, open, return, refund, iphone, return, deserves, start, messing, birthday, present], [excellent]]","[[recomendado, 0.7351, 5], [apple iphone gb white unlock activate phone couple week agobr make phone call people end couldnt hear say voice breaking upbr take phone apple store say phone say phone year, 0.4404, 4], [assume guarantee product month use phone company turn punish law fraud , 0.7362, 1], [investment im love phone, 0.0, 5], [phone unlock phone arrive br phone work, -0.9009, 1], [ok, 0.0, 4], [thank, 0.7964, 4], [excelente, 0.296, 5], [excellent thank, 0.5719, 5], [iphone come wifi adapter work try contact apple help bd gift day bd come iphone open return refund iphone return deserves start messing birthday present, 0.4404, 5], [excellent, 0.0, 1], [, 0.5719, 5], [, 0.7159, 5]]"
B006HX676K,"[0.2263, 0.9542]","[3, 4]","[[okay, work], [daughter, look, sticker, put, iphones, product, buy, isnt, anything, say, amazes, take, want, look, peel]]","[[okay work, 0.2263, 3], [daughter look sticker put iphones product buy isnt anything say amazes take want look peel, 0.9542, 4]]"
B006J4G49C,[-0.296],[5],"[[year, job, money, dont, expect, comapre, yaesu, vx, exampleit, different, class, course]]","[[year job money dont expect comapre yaesu vx exampleit different class course, -0.296, 5]]"
B006X75YLE,[0.0],[3],[[usb]],"[[usb, 0.0, 3]]"
B007AULNSQ,[0.7906],[5],"[[fit, great, look, well]]","[[fit great look well, 0.7906, 5]]"
B007C7QKNK,[-0.4588],[2],"[[use, time, metal, clip, bent, stop, use, fear, fall, belt, work, office, construction, last]]","[[use time metal clip bent stop use fear fall belt work office construction last, -0.4588, 2]]"
B007RNYU2C,"[-0.3865, 0.4404, 0.0038, 0.6124]","[1, 5, 5, 5]","[[work, charge], [charger], [product, price, job], [quality]]","[[work charge, -0.3865, 1], [charger, 0.4404, 5], [product price job, 0.0038, 5], [quality, 0.6124, 5]]"
B007X91XO8,[-0.8271],[2],"[[show, week, delivery, date, iphone, skin, thin, lock, company, email, rating, want, replace, product, rating, product, id, see, ok, buy]]","[[show week delivery date iphone skin thin lock company email rating want replace product rating product id see ok buy, -0.8271, 2]]"
B0085EWJ6G,[0.7003],[5],"[[work, good, galaxy, cord, stretch, fit, charge, phone, say]]","[[work good galaxy cord stretch fit charge phone say, 0.7003, 5]]"
B00932QJ7E,[-0.2732],[1],"[[screen, resolution, eye, purchase, use, second, clash, clan, account, read, write, screen, zooming, way, galaxy, samsung, tablet, great, clearbr, br, second, phone, keep, disconnect, wifi, restart, phone, time, get, turn, wifi, show, offbr, br, send, use, phone, hair, stuck, charger, baggie, instruction, book, standard, screen, protective, laminate, screen, camera, lens, year, dent, camera, bezel, chip, camera, lens, come, keyboard, apps, keep, pop, message, text, read, tell, turn]]","[[screen resolution eye purchase use second clash clan account read write screen zooming way galaxy samsung tablet great clearbr br second phone keep disconnect wifi restart phone time get turn wifi show offbr br send use phone hair stuck charger baggie instruction book standard screen protective laminate screen camera lens year dent camera bezel chip camera lens come keyboard apps keep pop message text read tell turn, -0.2732, 1]]"
