9713957334,"[0.4404, 0.5719]","[5, 5]","[[perfect, htcone, m], [work, good, come, fast]]","[[perfect htcone m, 0.4404, 5], [work good come fast, 0.5719, 5]]"
B0014Z1B80,[0.4215],[5],[[nice]],"[[nice, 0.4215, 5]]"
B001J7154S,[-0.2023],[5],"[[intend, kkep, nuvi, charge]]","[[intend kkep nuvi charge, -0.2023, 5]]"
B0031B7DCS,"[0.5719, -0.0867, 0.9001, 0.6249]","[5, 3, 5, 2]","[[work, great, let, get, hot, plastic, circle, warp, suction, cup, wont, stick, anymore, use, sunshade], [work, well, expectation, garmin, nuvi, lm, fit, center, stay, secure, correct, position], [excellent, product], [ok, well, product, market]]","[[work great let get hot plastic circle warp suction cup wont stick anymore use sunshade, 0.5719, 5], [work well expectation garmin nuvi lm fit center stay secure correct position, -0.0867, 3], [excellent product, 0.9001, 5], [ok well product market, 0.6249, 2]]"
B003X7INLK,[0.8834],[5],"[[thank, million, work, exceeds, expectation, get, lot, expect, got, activate, day, add, money, gophone, account, week, work, thanks]]","[[thank million work exceeds expectation get lot expect got activate day add money gophone account week work thanks, 0.8834, 5]]"
B004JBNKBC,"[0.5279, 0.6369]","[5, 5]","[[sub, hit]]","[[sub hit, 0.5279, 5], [, 0.6369, 5]]"
B004N7BIOS,[-0.2732],[2],"[[quality, picture, take, case, tint, color, case]]","[[quality picture take case tint color case, -0.2732, 2]]"
B004NRAYVQ,[0.5719],[5],"[[husband, love]]","[[husband love, 0.5719, 5]]"
B004SK60XO,[-0.5719],[3],"[[work, broke, month]]","[[work broke month, -0.5719, 3]]"
B004Y471SW,[0.0],[5],"[[everything, expect]]","[[everything expect, 0.0, 5]]"
B005SSAXSI,"[0.0, 0.8834, -0.5859, 0.3612]","[4, 5, 1, 5]","[[phone, excellent, condition, quite], [iphone, product, come, describedthank], [order, att, iphone, phone, att, packaging, go, att, store, phone, activate, tell, receive, verizon, lock, phone, son, birthday, present], [promise]]","[[phone excellent condition quite, 0.0, 4], [iphone product come describedthank, 0.8834, 5], [order att iphone phone att packaging go att store phone activate tell receive verizon lock phone son birthday present, -0.5859, 1], [promise, 0.3612, 5]]"
B005W5W006,[0.5994],[5],"[[mom, love]]","[[mom love, 0.5994, 5]]"
B006STR582,[0.7687],[5],"[[fit, great, drop, time, break]]","[[fit great drop time break, 0.7687, 5]]"
B006VYPB8A,[0.6249],[5],"[[work, great]]","[[work great, 0.6249, 5]]"
B006Z5ZTCI,[0.5859],[5],[[case]],"[[case, 0.5859, 5]]"
B007CL0N20,[0.7717],[5],"[[look, fit, vw, jetta, vent, work]]","[[look fit vw jetta vent work, 0.7717, 5]]"
B0085JA4ZY,[0.5574],[4],[[fit]],"[[fit, 0.5574, 4]]"
B008D6HKU6,"[0.4404, -0.296]","[3, 1]","[[stretch, stop, use]]","[[stretch stop use, 0.4404, 3], [, -0.296, 1]]"
B008EL5GA6,[0.2878],[5],[[worth]],"[[worth, 0.2878, 5]]"
B008EOQ0U8,[0.6711],[5],"[[buy, protect, age, ipod, great, ive, couple, year, part, snap, side, break, thats, fault, fidget, case, click, close, side, leave, itll, finebr, br, ive, drop, thing, wood, last, br, drawback, screen, drop, get, edge, screen, highlight, text, place, cursor, pain, as, everything, awesome]]","[[buy protect age ipod great ive couple year part snap side break thats fault fidget case click close side leave itll finebr br ive drop thing wood last br drawback screen drop get edge screen highlight text place cursor pain as everything awesome, 0.6711, 5]]"
B008I64QVW,[0.3612],[5],"[[thank, year, warranty, cd, player]]","[[thank year warranty cd player, 0.3612, 5]]"
B0094JDEME,[-0.4767],[1],"[[break, charge]]","[[break charge, -0.4767, 1]]"
B0099E4F1S,[-0.8552],[3],"[[nice, case, yr, dad, clip, clip, pant, pocket, case, snug, slide, case, end, leave, clip, struggle, get, garment]]","[[nice case yr dad clip clip pant pocket case snug slide case end leave clip struggle get garment, -0.8552, 3]]"
B009CPD4WK,[0.6249],[5],"[[productmy, coworker, want]]","[[productmy coworker want, 0.6249, 5]]"
B009FXMWGI,"[0.6249, 0.4404]","[5, 5]","[[awesome, phone, case, day, haf, drop, phone, bathroom, phone, bounce, foot]]","[[awesome phone case day haf drop phone bathroom phone bounce foot, 0.6249, 5], [, 0.4404, 5]]"
B00ADI04QE,[0.6187],[3],"[[rubber, wear]]","[[rubber wear, 0.6187, 3]]"
B00AR4O8WU,[0.4588],[5],"[[buy, couple, year, work, issue]]","[[buy couple year work issue, 0.4588, 5]]"
B00BJ7Q5IO,[0.0],[3],"[[need, come, perloaded, tho]]","[[need come perloaded tho, 0.0, 3]]"
