B00009UHRE,[0.0],[5],"[[perform, expect]]","[[perform expect, 0.0, 5]]"
B0007WQ8XY,"[0.7351, 0.7184]","[5, 5]","[[perfect, fit], [price, perfect, solution, job]]","[[perfect fit, 0.7351, 5], [price perfect solution job, 0.7184, 5]]"
B0009TCBZ4,[0.4902],[3],"[[go, cari, use, better, charger]]","[[go cari use better charger, 0.4902, 3]]"
B000HD79J0,[-0.2144],[3],"[[battery, seem, lose, power, less, hour, unit, work]]","[[battery seem lose power less hour unit work, -0.2144, 3]]"
B003GSLDWC,"[0.6249, 0.4404]","[5, 5]","[[work, great, use, v, dcv, ac, cooler, carry, truck, motorcycle], [thanks]]","[[work great use v dcv ac cooler carry truck motorcycle, 0.6249, 5], [thanks, 0.4404, 5]]"
B0057Z734E,"[0.431, 0.4458]","[4, 5]","[[battery, work, fine, fit, replacement, save, sisterinlaw, ditching, phone, need, turn, battery]]","[[battery work fine fit replacement save sisterinlaw ditching phone need turn battery, 0.431, 4], [, 0.4458, 5]]"
B005J7YFLY,[-0.7906],[2],"[[radio, lot, feature, price, average, performance, cant, run, gps, use, bluetooth, time, default, radio, cant, turn, turn, unit, microphone, make, bluetooth, phone, call, pic, background, noise, person, call, annoy, quality, ok, unit, fail, went, warranty, month, unit, go, uncontrolled, loudness, sound, speaker, blow, purchase, unit, replace, pioneer, unit, hd, radio, use, smartphone, gps, data, constrain, consider, buying, stand, gps]]","[[radio lot feature price average performance cant run gps use bluetooth time default radio cant turn turn unit microphone make bluetooth phone call pic background noise person call annoy quality ok unit fail went warranty month unit go uncontrolled loudness sound speaker blow purchase unit replace pioneer unit hd radio use smartphone gps data constrain consider buying stand gps, -0.7906, 2]]"
B006OAXFQG,[0.7346],[4],"[[case, form, dirt, sand, attract, case]]","[[case form dirt sand attract case, 0.7346, 4]]"
B0085JRQIM,[0.0772],[5],"[[otterbox, product, household, use, commuter, defender, armour, weve, beware, difficult, hear, caller]]","[[otterbox product household use commuter defender armour weve beware difficult hear caller, 0.0772, 5]]"
B00869EGU2,[-0.1406],[3],"[[charge, phone, lead, work, think, cheapi, mean, china, cheap]]","[[charge phone lead work think cheapi mean china cheap, -0.1406, 3]]"
B008LZ74KA,"[0.6597, 0.3818, 0.6486]","[4, 5, 5]","[[help, pinch, help, car], [philip, dvd, player, charger, work, length, reach, port, suv, continue, use, front, charger, charge, cell, phone, way, incase, wonder, use, dvd, player, work], [buy, want, need]]","[[help pinch help car, 0.6597, 4], [philip dvd player charger work length reach port suv continue use front charger charge cell phone way incase wonder use dvd player work, 0.3818, 5], [buy want need, 0.6486, 5]]"
B0091959WU,[0.9181],[5],"[[fan, bigger, phone, day, protector, love, kick, stand, drop, phone, lot, bounce, time]]","[[fan bigger phone day protector love kick stand drop phone lot bounce time, 0.9181, 5]]"
B009CAYVCC,[0.0],[1],"[[cheap, make]]","[[cheap make, 0.0, 1]]"
B009WUJE1U,"[0.6249, 0.8375, 0.0]","[5, 4, 5]","[[get, job, done], [make, sure, clean, screen, applying, youll, bubble, dont, bother]]","[[get job done, 0.6249, 5], [make sure clean screen applying youll bubble dont bother, 0.8375, 4], [, 0.0, 5]]"
B00AC4PRTI,[0.2144],[2],"[[picture, phone, different, receive, yes, phone, picture]]","[[picture phone different receive yes phone picture, 0.2144, 2]]"
B00AD5L376,[0.7269],[5],"[[say, case, charger, stylish, charge, battery, juice, leave, recharges]]","[[say case charger stylish charge battery juice leave recharges, 0.7269, 5]]"
B00B3O38GK,"[-0.7579, 0.891, 0.0, 0.5719, 0.0, -0.5574, 0.0]","[2, 5, 5, 5, 5, 2, 5]","[[tks, ], [work], [perfect], [purchase, itembr, run, electronics, repair, shop, lcddigitizer, replacement, iphone, receive, screen, plus, fast, shipping, discover, piece, housing, hardware, miss, camera, speaker, sensor, etc, hole, heat, shield, screw, diameter, screw, head, dissapointed], [mesh, earpiece, line, install, try, time, installation, screen, instal, issue, screen, price, unfortunate, experience], [goid], [work, great, u, knw, follow, direction, follow, youtube, video, instal, work]]","[[tks , -0.7579, 2], [work, 0.891, 5], [perfect, 0.0, 5], [purchase itembr run electronics repair shop lcddigitizer replacement iphone receive screen plus fast shipping discover piece housing hardware miss camera speaker sensor etc hole heat shield screw diameter screw head dissapointed, 0.5719, 5], [mesh earpiece line install try time installation screen instal issue screen price unfortunate experience, 0.0, 5], [goid, -0.5574, 2], [work great u knw follow direction follow youtube video instal work, 0.0, 5]]"
B00BD0MF4K,[0.3818],[2],"[[buy, phone, refurbish, phone, speaker, work, phone, keep, turn, battery, contact, dyna, cell, issue, response, wait, see, request, return, phone, see, pay]]","[[buy phone refurbish phone speaker work phone keep turn battery contact dyna cell issue response wait see request return phone see pay, 0.3818, 2]]"
B00BGUG3EA,[0.2023],[5],"[[work, fine, duty, phone, say, authorize, charge, cord, use]]","[[work fine duty phone say authorize charge cord use, 0.2023, 5]]"
B00BQWX2VA,[0.0],[5],"[[husband, screen, replace, piece, junk, screen, wouldnt, turn, keep, push, button, mute, etc, find, couldnt, drop, phone, water]]","[[husband screen replace piece junk screen wouldnt turn keep push button mute etc find couldnt drop phone water, 0.0, 5]]"
B00BX9K6NI,"[0.4939, 0.6249, -0.1531, -0.6497]","[1, 5, 1, 1]","[[fit, couldnt, use], [product], [doesnt, fit, phone, alignment, screw, misalign, wasnt, fix, phone, waste, money], [instal, put, pressure, corner, make, fit, crack, paper, thin, glass]]","[[fit couldnt use, 0.4939, 1], [product, 0.6249, 5], [doesnt fit phone alignment screw misalign wasnt fix phone waste money, -0.1531, 1], [instal put pressure corner make fit crack paper thin glass, -0.6497, 1]]"
B00CIOFGFK,[-0.2716],[3],"[[okay, price, annoy, arm]]","[[okay price annoy arm, -0.2716, 3]]"
B00CLA1N44,"[-0.3875, 0.2023, -0.1695]","[1, 4, 1]","[[work, htc, bought, charger, allow, return], [work, fine], [charge, plug, night, wasnt, charge, please]]","[[work htc bought charger allow return, -0.3875, 1], [work fine, 0.2023, 4], [charge plug night wasnt charge please, -0.1695, 1]]"
